"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"human","(Intercept)",0.937270757156322,0.017876073922879,75.999999998207,52.4315776047862,1.98461875359362e-61,"human",1.98461875359362e-61,"***","<0.001"
"human","PlausibilityImplausible",-0.760394006719619,0.0253331748558415,75.9999999985793,-30.0157406660098,6.80894149426304e-44,"human",6.80894149426304e-44,"***","<0.001"
"human","agent_freq_norm",0.0450639704243199,0.017972961102223,75.9999999984684,2.50732031121716,0.01429936946631,"human",0.01429936946631,"*","0.014"
"human","patient_freq_norm",0.0321073324212408,0.0191681381595183,75.9999999984172,1.67503657131651,0.09803730135198,"human",0.09803730135198,"","0.098"
"human","verb_freq_norm",0.0188928322204826,0.01344932758929,75.9999999980976,1.40474176831914,0.164172153737267,"human",0.164172153737267,"","0.164"
"human","sentence_freq_norm",-0.00501264954256593,0.0220718975100416,75.9999999984562,-0.227105510085185,0.820951491590523,"human",0.820951491590523,"","0.821"
"RoBERTa-large","(Intercept)",0.616542004362618,0.0374101892427433,43.0627920622262,16.4805903643541,3.27279775172267e-20,"baselines",6.54559550344534e-20,"***","<0.001"
"RoBERTa-large","PlausibilityImplausible",-0.106265345005055,0.0187608276166495,38.6210608146047,-5.66421413684054,1.56263249235165e-06,"baselines",1.56263249235165e-06,"***","<0.001"
"RoBERTa-large","agent_freq_norm",0.0481050143418591,0.0407079878132606,59.0889667112112,1.18170946111439,0.24205506793536,"baselines",0.32274009058048,"","0.323"
"RoBERTa-large","patient_freq_norm",0.0426558759030423,0.0406386607557339,60.4047133996639,1.04963783524839,0.298066113872854,"baselines",0.397421485163806,"","0.397"
"RoBERTa-large","verb_freq_norm",0.017886036421122,0.0384636929765179,38.4632045037954,0.465010898252577,0.644545608105637,"baselines",0.846145051757688,"","0.846"
"RoBERTa-large","sentence_freq_norm",0.023624242462757,0.0595611219350809,47.1695269099445,0.396638641033431,0.693422780444328,"baselines",0.924563707259104,"","0.925"
"BERT-large","(Intercept)",0.634253235654702,0.0384242080358841,44.6138154579625,16.5066052906641,1.28041000137816e-20,"baselines",5.12164000551263e-20,"***","<0.001"
"BERT-large","PlausibilityImplausible",-0.1441181014188,0.0220014050028276,38.4257709828476,-6.55040445827337,9.54740478661218e-08,"baselines",3.81896191464487e-07,"***","<0.001"
"BERT-large","agent_freq_norm",0.0527831502889897,0.0426710866694809,55.3510146329554,1.23697694173655,0.221318182454936,"baselines",0.32274009058048,"","0.323"
"BERT-large","patient_freq_norm",0.0575020047842707,0.0426928620502399,57.0815142905339,1.34687631662182,0.183343320416108,"baselines",0.397421485163806,"","0.397"
"BERT-large","verb_freq_norm",0.00764445312310177,0.0391301609819297,38.2672808682785,0.195359613435579,0.846145051757688,"baselines",0.846145051757688,"","0.846"
"BERT-large","sentence_freq_norm",-0.00405182210327283,0.0614034919574207,45.072107344554,-0.0659868351800335,0.947680135374619,"baselines",0.947680135374619,"","0.948"
"GPT-J","(Intercept)",0.495225555561197,0.0323126514294668,44.6612819192342,15.3260575549547,2.10680966558697e-19,"baselines",2.80907955411596e-19,"***","<0.001"
"GPT-J","PlausibilityImplausible",0.108747672044244,0.0189075997176886,38.1292060673946,5.75153238210915,1.23423595739684e-06,"baselines",1.56263249235165e-06,"***","<0.001"
"GPT-J","agent_freq_norm",-0.0258754210261245,0.0359776337069131,54.6106312626941,-0.719208529302263,0.475078933788245,"baselines",0.475078933788245,"","0.475"
"GPT-J","patient_freq_norm",-0.0172374463408955,0.0360113401228653,56.4286452319525,-0.478667172120889,0.634024984562162,"baselines",0.634024984562162,"","0.634"
"GPT-J","verb_freq_norm",-0.039193142310242,0.032844560030862,37.9723854964411,-1.19329174369864,0.240157662356468,"baselines",0.818505473698608,"","0.819"
"GPT-J","sentence_freq_norm",-0.0601203121321698,0.0516391059164844,44.5091605509692,-1.16423998954207,0.250529504663592,"baselines",0.689872222616283,"","0.69"
"GPT2-xl","(Intercept)",0.458866841310886,0.0314893491363006,41.6525404175989,14.5721284782577,5.94112532387249e-18,"baselines",5.94112532387249e-18,"***","<0.001"
"GPT2-xl","PlausibilityImplausible",0.0944844484599516,0.0152030214568226,37.6147451857959,6.21484674795024,3.00918485394325e-07,"baselines",6.0183697078865e-07,"***","<0.001"
"GPT2-xl","agent_freq_norm",-0.0446751891519684,0.034017116589256,59.6011664142389,-1.31331499055034,0.19411048094719,"baselines",0.32274009058048,"","0.323"
"GPT2-xl","patient_freq_norm",-0.0427264107613937,0.0339412739482627,60.8511152934762,-1.25883344350959,0.212898501679373,"baselines",0.397421485163806,"","0.397"
"GPT2-xl","verb_freq_norm",-0.027079739000372,0.0324476842603703,37.4613847468949,-0.834566152181332,0.409252736849304,"baselines",0.818505473698608,"","0.819"
"GPT2-xl","sentence_freq_norm",-0.0477310313032389,0.0500278803560895,46.8472694141828,-0.95408861945575,0.344936111308142,"baselines",0.689872222616283,"","0.69"
