"ItemNum","Sentence","Plausibility","Voice","TrialType","SynonymPair","NumSyn"
"1","The raider caught the illness.","Plausible","active","AI",1,"Version1"
"1","The illness caught the raider.","Implausible","active","AI",1,"Version1"
"1","The illness was caught by the raider.","Plausible","passive","AI",1,"Version1"
"1","The raider was caught by the illness.","Implausible","passive","AI",1,"Version1"
"2","The marauder contracted the disease.","Plausible","active","AI",1,"Version2"
"2","The disease contracted the marauder.","Implausible","active","AI",1,"Version2"
"2","The disease was contracted by the marauder.","Plausible","passive","AI",1,"Version2"
"2","The marauder was contracted by the disease.","Implausible","passive","AI",1,"Version2"
"3","The convict dreaded the prison.","Plausible","active","AI",2,"Version1"
"3","The prison dreaded the convict.","Implausible","active","AI",2,"Version1"
"3","The prison was dreaded by the convict.","Plausible","passive","AI",2,"Version1"
"3","The convict was dreaded by the prison.","Implausible","passive","AI",2,"Version1"
"4","The criminal feared the jail.","Plausible","active","AI",2,"Version2"
"4","The jail feared the criminal.","Implausible","active","AI",2,"Version2"
"4","The jail was feared by the criminal.","Plausible","passive","AI",2,"Version2"
"4","The criminal was feared by the jail.","Implausible","passive","AI",2,"Version2"
"5","The prostitute squandered the cash.","Plausible","active","AI",3,"Version1"
"5","The cash squandered the prostitute.","Implausible","active","AI",3,"Version1"
"5","The cash was squandered by the prostitute.","Plausible","passive","AI",3,"Version1"
"5","The prostitute was squandered by the cash.","Implausible","passive","AI",3,"Version1"
"6","The call girl wasted the money.","Plausible","active","AI",3,"Version2"
"6","The money wasted the call girl.","Implausible","active","AI",3,"Version2"
"6","The money was wasted by the call girl.","Plausible","passive","AI",3,"Version2"
"6","The call girl was wasted by the money.","Implausible","passive","AI",3,"Version2"
"7","The adventurer requested the beverage.","Plausible","active","AI",NA,NA
"7","The beverage requested the adventurer.","Implausible","active","AI",NA,NA
"7","The beverage was requested by the adventurer.","Plausible","passive","AI",NA,NA
"7","The adventurer was requested by the beverage.","Implausible","passive","AI",NA,NA
"8","The undertaker prepared the funeral.","Plausible","active","AI",4,"Version1"
"8","The funeral prepared the undertaker.","Implausible","active","AI",4,"Version1"
"8","The funeral was prepared by the undertaker.","Plausible","passive","AI",4,"Version1"
"8","The undertaker was prepared by the funeral.","Implausible","passive","AI",4,"Version1"
"9","The mortician arranged the burial.","Plausible","active","AI",4,"Version2"
"9","The burial arranged the mortician.","Implausible","active","AI",4,"Version2"
"9","The burial was arranged by the mortician.","Plausible","passive","AI",4,"Version2"
"9","The mortician was arranged by the burial.","Implausible","passive","AI",4,"Version2"
"10","The supervisor supplied the liquor.","Plausible","active","AI",5,"Version1"
"10","The liquor supplied the supervisor.","Implausible","active","AI",5,"Version1"
"10","The liquor was supplied by the supervisor.","Plausible","passive","AI",5,"Version1"
"10","The supervisor was supplied by the liquor.","Implausible","passive","AI",5,"Version1"
"11","The overseer provided the alcohol.","Plausible","active","AI",5,"Version2"
"11","The alcohol provided the overseer.","Implausible","active","AI",5,"Version2"
"11","The alcohol was provided by the overseer.","Plausible","passive","AI",5,"Version2"
"11","The overseer was provided by the alcohol.","Implausible","passive","AI",5,"Version2"
"12","The troublemaker crashed the car.","Plausible","active","AI",6,"Version1"
"12","The car crashed the troublemaker.","Implausible","active","AI",6,"Version1"
"12","The car was crashed by the troublemaker.","Plausible","passive","AI",6,"Version1"
"12","The troublemaker was crashed by the car.","Implausible","passive","AI",6,"Version1"
"13","The hooligan wrecked the vehicle.","Plausible","active","AI",6,"Version2"
"13","The vehicle wrecked the hooligan.","Implausible","active","AI",6,"Version2"
"13","The vehicle was wrecked by the hooligan.","Plausible","passive","AI",6,"Version2"
"13","The hooligan was wrecked by the vehicle.","Implausible","passive","AI",6,"Version2"
"14","The repairman fixed the tap.","Plausible","active","AI",7,"Version1"
"14","The tap fixed the repairman.","Implausible","active","AI",7,"Version1"
"14","The tap was fixed by the repairman.","Plausible","passive","AI",7,"Version1"
"14","The repairman was fixed by the tap.","Implausible","passive","AI",7,"Version1"
"15","The handyman repaired the faucet.","Plausible","active","AI",7,"Version2"
"15","The faucet repaired the handyman.","Implausible","active","AI",7,"Version2"
"15","The faucet was repaired by the handyman.","Plausible","passive","AI",7,"Version2"
"15","The handyman was repaired by the faucet.","Implausible","passive","AI",7,"Version2"
"16","The secretary organized the desk.","Plausible","active","AI",8,"Version1"
