present,simple_past,past_participle
are,were,been
is,was,been
beat,beat,beaten
become,became,become
begin,began,begun
bend,bent,bent
bet,bet,bet
bid,bid,bid
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
blow,blew,blown
break,broke,broken
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
build,built,built
burn,burned,burnt
burst,burst,burst
bust,bust,bust
buy,bought,bought
cast,cast,cast
catch,caught,caught
choose,chose,chosen
cling,clung,clung
come,came,come
cost,cost,cost
creep,crept,crept
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
do,did,done
draw,drew,drawn
dream,dreamt,dreamt
drink,drank,drunk
drive,drove,driven
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
flee,fled,fled
fling,flung,flung
fly,flew,flown
forbid,forbade,forbidden
forecast,forecast,forecast
forget,forgot,forgotten
forsake,forsook,forsaken
freeze,froze,frozen
get,got,got
give,gave,given
ground,ground,ground
go,went,gone
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
know,knew,known
lay,laid,laid
lead,led,led
learn,learnt,learnt
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
light,lit,lit
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
pay,paid,paid
prove,proved,proven
put,put,put
quit,quit,quit
read,read,read
rid,rid,rid
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
say,said,said
sing,sing,sung
see,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
sew,sewed,sewn
shake,shook,shaken
shear,sheared,shorn
shed,shed,shed
shine,shone,shone
shot,shot,shot
show,showed,shown
shut,shut,shut
sing,sang,sung
sink,sank,sunk
sit,sat,sat
slay,slew,slain
sleep,slept,slept
slide,slid,slid
sling,slung,slung
slink,slunk,slunk
slit,slit,slit
sow,sowed,sown
speak,spoke,spoken
speed,sped,sped
spend,spent,spent
spin,spun,spun
spit,spat,spat
split,split,split
spread,spread,spread
spring,sprang,sprung
stand,stood,stood
steal,stole,stolen
stick,stuck,stuck
sting,stung,stung
stink,stank,stunk
stride,strode,stridden
strike,struck,struck
string,strung,strung
strive,strove,striven
swear,swore,sworn
sweep,swept,swept
swell,swelled,swollen
swim,swam,swum
swing,swung,swung
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
teach,thought,thought
thrive,throve,thrived
throw,threw,thrown
thrust,thrust,thrust
tread,trod,trodden
understand,understood,understood
wake,woke,woken
wear,wore,worn
weave,wove,woven
weep,wept,wept
wet,wet,wet
win,won,won
wind,wound,wound
wring,wrung,wrung
write,wrote,written
