"Experiment","Category","Parameter","human","MPT-30b","GPT-J","GPT-2","RoBERTa","BERT","MeanByModel"
"DTFit","Core effects","Plausible > Implausible","-0.55 ***","-0.18 ***","-0.15 ***","-0.14 ***","-0.18 ***","-0.13 ***",-0.16
"DTFit","Surface-level effects","Agent frequency","","","","","","",0.01
"DTFit","Surface-level effects","Patient frequency","","","","","","",0.01
"DTFit","Surface-level effects","Verb frequency","","","","","","",-0.01
"DTFit","Surface-level effects","Avg. word frequency","","","","0.04 *","","",0.02
"DTFit","Surface-level effects","Sentence length","","","-0.04 ***","-0.04 ***","-0.06 ***","-0.09 ***",-0.05
"EventsRev","Core effects","Plausible > Implausible","-0.76 ***","-0.15 ***","-0.14 ***","-0.1 ***","-0.1 ***","-0.09 ***",-0.12
"EventsRev","Surface-level effects","Agent frequency","0.05 *","","0.08 *","0.08 *","0.12 **","0.08 *",0.08
"EventsRev","Surface-level effects","Patient frequency","","0.08 *","","0.08 *","0.12 ***","0.07 *",0.08
"EventsRev","Surface-level effects","Verb frequency","","","","","","",0.04
"EventsRev","Surface-level effects","Avg. word frequency","","","","","","",0
"EventsRev","Surface-level effects","Sentence length","","-0.04 **","-0.06 **","-0.05 **","","-0.07 ***",-0.04
