"Category","Metric","Difference","ChiSquared","pValAdjusted"
"human","human",0.05,5.24,"0.022 *"
"LLMs","RoBERTa",0.19,20.92,"<0.001 ***"
"LLMs","BERT",0.19,16.88,"<0.001 ***"
"LLMs","deBERTa",0.18,8.06,"0.005 **"
"LLMs","GPT-J",0.18,13.84,"<0.001 ***"
"LLMs","GPT-2",0.22,21.34,"<0.001 ***"
"LLMs","MPT-7b",0.19,13.79,"<0.001 ***"
"LLMs","MPT-30b",0.13,11.21,"<0.001 ***"
"baselines","tinyLSTM",0.3,24.37,"<0.001 ***"
"baselines","SDM",0.41,48.84,"<0.001 ***"
"baselines","thematicFit",0.11,3.33,"0.091 "
"baselines","syntax-PPMI",0.1,2.2,"0.138 "
