"Dataset","Parameter","RoBERTa","BERT","GPT-J","GPT-2"
"DTFit","Ceiling (human ratings)","0.93 ***","0.93 ***","0.93 ***","0.93 ***"
"DTFit","Early layers > human","-0.3 ***","-0.27 ***","-0.26 ***","-0.22 ***"
"DTFit","Middle layers > human","-0.11 ***","-0.15 ***","-0.08 ***","-0.15 ***"
"DTFit","Late layers > human","-0.08 ***","-0.15 ***","-0.08 ***","-0.16 ***"
"DTFit","Early layers, trend","0.03 ***","0.03 ***","0.04 ***","0.01 ***"
"DTFit","Middle layers, trend","0.01 ***","0.01 ***","",""
"DTFit","Late layers, trend","","","",""
"EventsAdapt","Ceiling (human ratings)","0.92 ***","0.92 ***","0.92 ***","0.92 ***"
"EventsAdapt","Early layers > human","-0.29 ***","-0.34 ***","-0.28 ***","-0.35 ***"
"EventsAdapt","Middle layers > human","-0.12 ***","-0.29 ***","-0.08 ***","-0.16 ***"
"EventsAdapt","Late layers > human","-0.06 ***","-0.13 ***","-0.06 ***","-0.14 ***"
"EventsAdapt","Early layers, trend","0.03 ***","0.02 ***","0.03 ***","0.01 ***"
"EventsAdapt","Middle layers, trend","0.02 ***","0.02 ***","0.01 ***","0.01 ***"
"EventsAdapt","Late layers, trend","","","",""
"EventsRev","Ceiling (human ratings)","0.99 ***","0.99 ***","0.99 ***","0.99 ***"
"EventsRev","Early layers > human","-0.41 ***","-0.45 ***","-0.27 ***","-0.36 ***"
"EventsRev","Middle layers > human","-0.3 ***","-0.38 ***","-0.16 ***","-0.17 ***"
"EventsRev","Late layers > human","-0.24 ***","-0.22 ***","-0.13 **","-0.2 ***"
"EventsRev","Early layers, trend","0.02 ***","","0.03 ***","0.01 ***"
"EventsRev","Middle layers, trend","0.02 **","","",""
"EventsRev","Late layers, trend","","","",""
