"Dataset","Parameter","MPT","GPT-J","GPT-2","RoBERTa","BERT"
"DTFit","Ceiling (human ratings)","0.93 ***","0.93 ***","0.93 ***","0.93 ***","0.93 ***"
"DTFit","Early layers > human","-0.42 ***","-0.26 ***","-0.22 ***","-0.3 ***","-0.27 ***"
"DTFit","Middle layers > human","-0.05 **","-0.08 ***","-0.15 ***","-0.11 ***","-0.15 ***"
"DTFit","Late layers > human","-0.04 *","-0.08 ***","-0.16 ***","-0.08 ***","-0.15 ***"
"DTFit","Early layers, trend","0.01 ***","0.04 ***","0.01 ***","0.03 ***","0.03 ***"
"DTFit","Middle layers, trend","0.01 ***","","","0.01 ***","0.01 ***"
"DTFit","Late layers, trend","","","","",""
"EventsAdapt","Ceiling (human ratings)","0.92 ***","0.92 ***","0.92 ***","0.92 ***","0.92 ***"
"EventsAdapt","Early layers > human","-0.32 ***","-0.28 ***","-0.35 ***","-0.29 ***","-0.34 ***"
"EventsAdapt","Middle layers > human","-0.06 ***","-0.08 ***","-0.16 ***","-0.12 ***","-0.29 ***"
"EventsAdapt","Late layers > human","","-0.06 ***","-0.14 ***","-0.06 ***","-0.13 ***"
"EventsAdapt","Early layers, trend","0.01 ***","0.03 ***","0.01 ***","0.03 ***","0.02 ***"
"EventsAdapt","Middle layers, trend","0.01 ***","0.01 ***","0.01 ***","0.02 ***","0.02 ***"
"EventsAdapt","Late layers, trend","","","","",""
"EventsRev","Ceiling (human ratings)","0.99 ***","0.99 ***","0.99 ***","0.99 ***","0.99 ***"
"EventsRev","Early layers > human","-0.37 ***","-0.27 ***","-0.36 ***","-0.41 ***","-0.45 ***"
"EventsRev","Middle layers > human","-0.21 ***","-0.16 ***","-0.17 ***","-0.3 ***","-0.38 ***"
"EventsRev","Late layers > human","-0.13 **","-0.13 **","-0.2 ***","-0.24 ***","-0.22 ***"
"EventsRev","Early layers, trend","0.01 **","0.03 ***","0.01 ***","0.02 ***",""
"EventsRev","Middle layers, trend","","","","0.02 **",""
"EventsRev","Late layers, trend","","","","",""
