"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","pValAdjusted","pLabel","pValFinal"
"thematicFit_addition","(Intercept)",0.417608793538833,0.00771317706534501,433.062646343496,54.1422542229884,6.63337421750091e-195,3.98002453050054e-194,"***","<0.001"
"thematicFit_addition","PlausibilityImplausible",0.0208336293190435,0.00906974190856862,1000.23408505451,2.29704764799988,0.0218218875917418,0.130931325550451,"","0.131"
"thematicFit_addition","TrialTypeAAN",0.0570505753694855,0.0110438028295902,428.291205164701,5.16584515766862,3.6756854622882e-07,2.20541127737292e-06,"***","<0.001"
"thematicFit_addition","TrialTypeAI",0.0630356854622572,0.0115345225251829,456.54223291095,5.4649583738411,7.62909229640047e-08,4.57745537784028e-07,"***","<0.001"
"thematicFit_addition","VoiceA>P",0.0342420173353197,0.0141436909382501,1453.42175955207,2.4210100096797,0.0155992736456013,0.0187191283747215,"*","0.019"
"thematicFit_addition","agent_freq_norm",0.00194013382320938,0.00463750227734398,705.537147254365,0.418357492283658,0.675813069700266,0.810975683640319,"","0.811"
"thematicFit_addition","patient_freq_norm",0.00102729290390064,0.00462704228970288,704.475093798319,0.222019346178616,0.824363168558017,0.98923580226962,"","0.989"
"thematicFit_addition","verb_freq_norm",-0.00406286753099613,0.00369787380942994,404.570180910836,-1.0987036714545,0.27255075139368,0.327060901672415,"","0.327"
"thematicFit_addition","sentence_freq_norm",0.0175759255911141,0.00664494229742987,518.910057325668,2.64500800825796,0.00841647882399272,0.0252494364719782,"*","0.025"
"thematicFit_addition","PlausibilityImplausible:TrialTypeAAN",-0.058397703426012,0.0130519270680659,999.737049203048,-4.4742590976388,8.54757026469383e-06,5.1285421588163e-05,"***","<0.001"
"thematicFit_addition","PlausibilityImplausible:TrialTypeAI",-0.0726795251232782,0.0135752289260884,1006.45089633263,-5.35383421664479,1.06672049266028e-07,3.20016147798083e-07,"***","<0.001"
"thematicFit_addition","PlausibilityImplausible:VoiceA>P",-0.0334980400851892,0.0178572016867079,1142.28956699817,-1.87588406475376,0.0609260602725469,0.365556361635281,"","0.366"
"thematicFit_addition","TrialTypeAAN:VoiceA>P",-0.00111035890132269,0.0182159842803555,1143.33964555521,-0.0609551965039917,0.951405543671115,1,"","1"
"thematicFit_addition","TrialTypeAI:VoiceA>P",0.106812801287092,0.0184247330524546,1154.03112761312,5.79725095516987,8.69228761780624e-09,5.21537257068374e-08,"***","<0.001"
"thematicFit_addition","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",0.00894588501203887,0.0257540225270909,1142.28956695906,0.347358747653055,0.728385809289587,0.901712889036975,"","0.902"
"thematicFit_addition","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.141610146844735,0.0259741115443024,1142.28956685116,-5.45197269224011,6.10104682480302e-08,1.2202093649606e-07,"***","<0.001"
"syntax-based_PPMI","(Intercept)",0.190239631850628,0.00680290815846368,344.733900267296,27.9644568792166,1.13803289338596e-90,1.70704934007895e-90,"***","<0.001"
"syntax-based_PPMI","PlausibilityImplausible",-0.00470717553878706,0.00276306273238895,380.866069593204,-1.70360791436582,0.0892700685144745,0.178540137028949,"","0.179"
"syntax-based_PPMI","TrialTypeAAN",0.00304917428856048,0.00971618692695974,343.205175132707,0.313824169036916,0.753845242521521,0.904614291025825,"","0.905"
"syntax-based_PPMI","TrialTypeAI",-0.00852377639715999,0.0101551091095139,350.460956547797,-0.839358425915327,0.401840387989029,0.482208465586835,"","0.482"
"syntax-based_PPMI","VoiceA>P",-0.0878207321668061,0.00538515442047614,984.21373460947,-16.3079320126611,4.1799116650744e-53,2.50794699904464e-52,"***","<0.001"
"syntax-based_PPMI","agent_freq_norm",-0.015345882402477,0.00359627804802141,616.702572702064,-4.26715682090265,2.29121701612308e-05,6.87365104836923e-05,"***","<0.001"
"syntax-based_PPMI","patient_freq_norm",-0.0103116619300931,0.00359396622755123,614.122919621378,-2.86915938470547,0.00425714836987296,0.0127714451096189,"*","0.013"
"syntax-based_PPMI","verb_freq_norm",-0.0327019046744175,0.00395050052597496,358.330221455166,-8.27791426919172,2.51067979581718e-15,1.50640787749031e-14,"***","<0.001"
"syntax-based_PPMI","sentence_freq_norm",-0.00907425341430962,0.00423946738328453,1126.86139626927,-2.14042298098289,0.0325347618456894,0.048802142768534,"*","0.049"
"syntax-based_PPMI","PlausibilityImplausible:TrialTypeAAN",0.00209371072997264,0.00397626827158653,380.817501316513,0.526551677846739,0.598811502071523,0.718573802485828,"","0.719"
