Metric,Parameter,Estimate,Std..Error,df,t.value,Pr...t..
thematicFit_addition,(Intercept),0.417608794,0.007713177,433.0626463,54.14225422,6.63E-195
thematicFit_addition,PlausibilityImplausible,0.020833629,0.009069742,1000.234085,2.297047648,0.021821888
thematicFit_addition,TrialTypeAAN,0.057050575,0.011043803,428.2912052,5.165845158,3.68E-07
thematicFit_addition,TrialTypeAI,0.063035685,0.011534523,456.5422329,5.464958374,7.63E-08
thematicFit_addition,VoiceA>P,0.034242017,0.014143691,1453.42176,2.42101001,0.015599274
thematicFit_addition,agent_freq_norm,0.001940134,0.004637502,705.5371473,0.418357492,0.67581307
thematicFit_addition,patient_freq_norm,0.001027293,0.004627042,704.4750938,0.222019346,0.824363169
thematicFit_addition,verb_freq_norm,-0.004062868,0.003697874,404.5701809,-1.098703671,0.272550751
thematicFit_addition,sentence_freq_norm,0.017575926,0.006644942,518.9100573,2.645008008,0.008416479
thematicFit_addition,PlausibilityImplausible:TrialTypeAAN,-0.058397703,0.013051927,999.7370492,-4.474259098,8.55E-06
thematicFit_addition,PlausibilityImplausible:TrialTypeAI,-0.072679525,0.013575229,1006.450896,-5.353834217,1.07E-07
thematicFit_addition,PlausibilityImplausible:VoiceA>P,-0.03349804,0.017857202,1142.289567,-1.875884065,0.06092606
thematicFit_addition,TrialTypeAAN:VoiceA>P,-0.001110359,0.018215984,1143.339646,-0.060955197,0.951405544
thematicFit_addition,TrialTypeAI:VoiceA>P,0.106812801,0.018424733,1154.031128,5.797250955,8.69E-09
thematicFit_addition,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,0.008945885,0.025754023,1142.289567,0.347358748,0.728385809
thematicFit_addition,PlausibilityImplausible:TrialTypeAI:VoiceA>P,-0.141610147,0.025974112,1142.289567,-5.451972692,6.10E-08
bert-large-cased,(Intercept),0.60139284,0.008265117,381.7194678,72.76277382,7.57E-226
bert-large-cased,PlausibilityImplausible,0.00296537,0.006570544,381.0001518,0.451312762,0.652020919
bert-large-cased,TrialTypeAAN,-0.013155234,0.011804246,378.6195985,-1.114449393,0.265793366
bert-large-cased,TrialTypeAI,-0.034525409,0.012382998,394.8098672,-2.788130076,0.005557682
bert-large-cased,VoiceA>P,-0.214188676,0.011042926,1112.738498,-19.39600768,2.01E-72
bert-large-cased,agent_freq_norm,0.003446297,0.005157124,683.7616805,0.668259379,0.504193551
bert-large-cased,patient_freq_norm,0.00443678,0.005157359,684.0257008,0.860281457,0.38993533
bert-large-cased,verb_freq_norm,-0.014439233,0.004757334,408.2329817,-3.035152342,0.002558028
bert-large-cased,sentence_freq_norm,-0.010752409,0.007385643,831.8834842,-1.455852748,0.145810608
bert-large-cased,PlausibilityImplausible:TrialTypeAAN,-0.024029776,0.009455242,381.0001262,-2.541423858,0.011435767
bert-large-cased,PlausibilityImplausible:TrialTypeAI,-0.152523024,0.009836938,381.000589,-15.50513149,2.20E-42
bert-large-cased,PlausibilityImplausible:VoiceA>P,-0.004992438,0.011982101,761.7388539,-0.416657979,0.677045974
bert-large-cased,TrialTypeAAN:VoiceA>P,-0.015082678,0.012228855,763.2050655,-1.233368008,0.217818214
bert-large-cased,TrialTypeAI:VoiceA>P,-0.079691086,0.012430791,778.0580164,-6.410781774,2.51E-10
bert-large-cased,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,0.037649679,0.017280832,761.738854,2.178695948,0.029660118
bert-large-cased,PlausibilityImplausible:TrialTypeAI:VoiceA>P,0.149025213,0.017428511,761.7388541,8.550656743,6.67E-17
roberta-large,(Intercept),0.795031015,0.005786871,385.7712964,137.3853111,0
roberta-large,PlausibilityImplausible,-0.001791626,0.00582029,381.0186014,-0.30782423,0.758384283
roberta-large,TrialTypeAAN,-0.01811274,0.008267154,382.0073914,-2.190928191,0.029060515
roberta-large,TrialTypeAI,-0.058612501,0.008683709,402.2975167,-6.749708425,5.19E-11
roberta-large,VoiceA>P,-0.129778016,0.008791807,1105.160647,-14.76124514,3.84E-45
roberta-large,agent_freq_norm,-0.002078589,0.003721612,678.3482427,-0.558518389,0.576674756
roberta-large,patient_freq_norm,-0.002811756,0.003725182,681.6779849,-0.754796824,0.450631582
roberta-large,verb_freq_norm,-0.007209084,0.003245617,404.0989059,-2.221174999,0.0268927
roberta-large,sentence_freq_norm,0.008070854,0.005373206,687.9797411,1.502055593,0.133541582
roberta-large,PlausibilityImplausible:TrialTypeAAN,-0.010660337,0.008375651,381.0092925,-1.272777051,0.203873268
roberta-large,PlausibilityImplausible:TrialTypeAI,-0.124150689,0.00871303,381.1292929,-14.24885357,3.14E-37
roberta-large,PlausibilityImplausible:VoiceA>P,-0.004235321,0.010074368,761.8382724,-0.420405645,0.674307696
roberta-large,TrialTypeAAN:VoiceA>P,-0.038967022,0.010279836,763.104317,-3.790626718,0.000162121
roberta-large,TrialTypeAI:VoiceA>P,-0.077880271,0.010429092,775.9766761,-7.467598591,2.20E-13
roberta-large,PlausibilityImplausible:TrialTypeAAN:VoiceA>P,0.01460815,0.01452946,761.8382727,1.005415912,0.315015846
roberta-large,PlausibilityImplausible:TrialTypeAI:VoiceA>P,0.040690112,0.014653626,761.8382725,2.776794823,0.005624606
syntax-based_PPMI,(Intercept),0.190239632,0.006802908,344.7339003,27.96445688,1.14E-90
syntax-based_PPMI,PlausibilityImplausible,-0.004707176,0.002763063,380.8660696,-1.703607914,0.089270069
