Metric,Parameter,Estimate,Std..Error,df,t.value,pVal
roberta-large,(Intercept),0.694859363,0.020724862,57.35260304,33.52781543,2.26E-39
roberta-large,PlausibilityImplausible,-0.020917856,0.019289078,38.09651568,-1.08444039,0.284984934
roberta-large,agent_freq_norm,0.044603002,0.023235457,50.104548,1.9196094,0.060610432
roberta-large,patient_freq_norm,0.036345805,0.023645611,54.58228122,1.537105771,0.130044651
roberta-large,verb_freq_norm,0.023414441,0.019530604,38.02844799,1.198859022,0.238000183
roberta-large,sentence_freq_norm,0.058880863,0.031590535,40.58043959,1.86387671,0.069585277
bert-large-cased,(Intercept),0.471698946,0.031491086,44.264238,14.97880852,6.05E-19
bert-large-cased,PlausibilityImplausible,-0.056595182,0.017586102,38.44385409,-3.218176534,0.002620696
bert-large-cased,agent_freq_norm,0.011969592,0.03485805,55.97476046,0.343381001,0.732598267
bert-large-cased,patient_freq_norm,0.010791642,0.03485954,57.62176774,0.309575003,0.758000927
bert-large-cased,verb_freq_norm,0.035259233,0.03213543,38.28396477,1.097207445,0.279404252
bert-large-cased,sentence_freq_norm,0.092419153,0.050311495,45.41984438,1.836939136,0.072767403
gpt2-xl_full,(Intercept),0.59963301,0.026549917,42.44391931,22.58511775,2.81E-25
gpt2-xl_full,PlausibilityImplausible,-0.091509731,0.013632391,37.71174043,-6.712668972,6.26E-08
gpt2-xl_full,agent_freq_norm,0.111368854,0.029011574,57.731101,3.838773302,0.000309251
gpt2-xl_full,patient_freq_norm,0.114967083,0.028972295,59.15067499,3.968173152,0.000198424
gpt2-xl_full,verb_freq_norm,0.027520196,0.027257157,37.55215817,1.009650276,0.319124574
gpt2-xl_full,sentence_freq_norm,-0.03704178,0.042316368,45.93468994,-0.875353477,0.38593597
v2_sdm,(Intercept),0.690170574,0.017734888,53.03466045,38.91598129,1.11E-40
v2_sdm,PlausibilityImplausible,-0.013445454,0.01488771,37.74314489,-0.903124361,0.372187988
v2_sdm,agent_freq_norm,0.006124813,0.020022605,49.69899656,0.305894914,0.760962367
v2_sdm,patient_freq_norm,0.039755461,0.020266855,53.36616842,1.961599929,0.055034687
v2_sdm,verb_freq_norm,-0.015900548,0.017133337,37.65105585,-0.928047386,0.359294552
v2_sdm,sentence_freq_norm,0.039532636,0.027585076,40.81239871,1.433116804,0.159440955
thematicFit_addition,(Intercept),0.458246659,0.056261437,66.10370697,8.144951224,1.44E-11
thematicFit_addition,PlausibilityImplausible,-0.059662861,0.062395037,38.13693129,-0.956211635,0.344987849
thematicFit_addition,agent_freq_norm,0.130096131,0.061449723,52.06642634,2.11711502,0.039046401
thematicFit_addition,patient_freq_norm,0.200536401,0.063358612,58.42472966,3.165100918,0.002462397
thematicFit_addition,verb_freq_norm,-0.00969504,0.049872304,38.11192735,-0.194397283,0.846897345
thematicFit_addition,sentence_freq_norm,-0.221030261,0.081193742,39.92201356,-2.722257347,0.009564444
xlnet-large-cased,(Intercept),0.461769651,0.032901342,74.47105833,14.03497911,1.31E-22
xlnet-large-cased,PlausibilityImplausible,-0.010624365,0.043128842,37.99134951,-0.246340129,0.806745113
xlnet-large-cased,agent_freq_norm,0.038833281,0.034239184,56.8004057,1.134176584,0.26148455
xlnet-large-cased,patient_freq_norm,0.001890362,0.036021198,65.25799349,0.052479146,0.958307228
xlnet-large-cased,verb_freq_norm,-0.013571358,0.026484536,38.01415501,-0.512425755,0.611317747
xlnet-large-cased,sentence_freq_norm,0.05427949,0.043350575,39.44062987,1.252105436,0.217905939
surprisal_scores_tinylstm,(Intercept),0.374034782,0.034623082,40.73656413,10.80304708,1.57E-13
surprisal_scores_tinylstm,PlausibilityImplausible,0.013874873,0.01376579,38.39224974,1.007924156,0.319801457
surprisal_scores_tinylstm,agent_freq_norm,-0.040875722,0.03565992,66.9306481,-1.146265113,0.2557671
surprisal_scores_tinylstm,patient_freq_norm,-0.035802747,0.035504654,67.66556866,-1.008395891,0.316856893
surprisal_scores_tinylstm,verb_freq_norm,-0.061526621,0.035976264,38.3048722,-1.710200402,0.095318389
surprisal_scores_tinylstm,sentence_freq_norm,0.041363592,0.054021826,51.35974742,0.765682963,0.44736959
order-based_PPMI,(Intercept),0.378546941,0.028128821,39.35228963,13.45761837,2.61E-16
order-based_PPMI,PlausibilityImplausible,-0.039433637,0.007166548,38.98898853,-5.502459132,2.54E-06
order-based_PPMI,agent_freq_norm,-0.003978264,0.024149084,75.74310346,-0.164737658,0.869589332
order-based_PPMI,patient_freq_norm,-0.002221414,0.023980376,75.67445086,-0.09263465,0.926438619
order-based_PPMI,verb_freq_norm,-0.075560505,0.029408597,39.44596036,-2.569333856,0.014080606
order-based_PPMI,sentence_freq_norm,0.000302258,0.040206876,63.89461677,0.007517561,0.994025334
syntax-based_PPMI,(Intercept),0.406772715,0.031195733,40.35984674,13.03937037,4.68E-16
syntax-based_PPMI,PlausibilityImplausible,-0.134304957,0.014255619,36.86834484,-9.421194516,2.35E-11
syntax-based_PPMI,agent_freq_norm,-0.011467296,0.033308331,61.00848286,-0.344277118,0.731821781
syntax-based_PPMI,patient_freq_norm,-0.007076033,0.033211053,62.13967588,-0.213062605,0.831975594
syntax-based_PPMI,verb_freq_norm,-0.084182918,0.032236401,36.72591617,-2.611424195,0.012979604
syntax-based_PPMI,sentence_freq_norm,0.055285227,0.049368511,47.12685097,1.119847985,0.268453493
human,(Intercept),0.935818244,0.017890355,76,52.30853312,2.36E-61
human,PlausibilityImplausible,-0.759431971,0.025353414,76,-29.95383487,7.87E-44
human,agent_freq_norm,0.045141223,0.01798732,76,2.509613624,0.01421407
human,patient_freq_norm,0.033201504,0.019183452,76,1.730736673,0.08755714
human,verb_freq_norm,0.018169352,0.013460072,76,1.349870266,0.181064472
human,sentence_freq_norm,-0.005074635,0.022089531,76,-0.229730326,0.8189185
