"Metric","Experiment","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"human","DTFit","(Intercept)",-0.280278976267067,0.72564281489662,789.958508021538,-0.386249226910622,0.699416105919349,"human",0.699416105919349,"","0.699"
"human","DTFit","PlausibilityImplausible",-0.554601068151773,0.0102936175586674,401.132520982261,-53.8781497360749,9.10593025042704e-186,"human",1.82118605008541e-185,"***","<0.001"
"human","DTFit","agent_freq_norm",-0.00419184257202688,0.00838777627959341,395.460958663814,-0.499756125139532,0.617524750713079,"human",0.617524750713079,"","0.618"
"human","DTFit","patient_freq_norm",0.00369427975875481,0.0078312652509038,591.754699740588,0.471734724900099,0.637290033538354,"human",0.637290033538354,"","0.637"
"human","DTFit","verb_freq_norm",-0.00247807914128109,0.00569204912575362,395.453478854638,-0.435358003160768,0.663540103701928,"human",0.663540103701928,"","0.664"
"human","DTFit","sentence_freq_norm",-0.00615217836187947,0.0104678060475248,394.719590125974,-0.587723763121708,0.557053792675795,"human",0.557053792675795,"","0.557"
"human","DTFit","NumTokens",0.219436893009733,0.145109257547463,789.95966957335,1.51221842574694,0.130878235495763,"human",0.130878235495763,"","0.131"
"human","EventsRev","(Intercept)",0.80698069498798,0.0852130004803593,75.9999999981335,9.47015937050569,1.68674959432091e-14,"human",3.37349918864183e-14,"***","<0.001"
"human","EventsRev","PlausibilityImplausible",-0.760529848081494,0.0249358913490172,75.9999999984954,-30.4994049515486,2.21509610719067e-44,"human",2.21509610719067e-44,"***","<0.001"
"human","EventsRev","agent_freq_norm",0.0478971631998378,0.017783656994146,75.9999999980516,2.69332473155575,0.00870052901071027,"human",0.0174010580214205,"*","0.017"
"human","EventsRev","patient_freq_norm",0.0339635644515045,0.0189047779721486,75.9999999984601,1.79655981686435,0.0763789984643882,"human",0.152757996928776,"","0.153"
"human","EventsRev","verb_freq_norm",0.0173915771605658,0.0132731431084876,75.9999999985399,1.31028325532365,0.194046324338256,"human",0.388092648676512,"","0.388"
"human","EventsRev","sentence_freq_norm",-0.0163163092516296,0.0228981908510912,75.9999999983677,-0.712558881080866,0.478300755789632,"human",0.557053792675795,"","0.557"
"human","EventsRev","NumTokens",0.0189718999670587,0.0121406925865516,75.999999998913,1.56267031981966,0.122284848614009,"human",0.130878235495763,"","0.131"
"tinyLSTM","DTFit","(Intercept)",2.42468263482557,0.517607920333863,579.12532359322,4.68440017931259,3.50238854157087e-06,"baselines",9.33970277752232e-06,"***","<0.001"
"tinyLSTM","DTFit","PlausibilityImplausible",-0.0293545737373037,0.00568762282876451,399.012787452143,-5.1611322728445,3.87876117236793e-07,"baselines",7.75752234473586e-07,"***","<0.001"
"tinyLSTM","DTFit","agent_freq_norm",0.00424874488983777,0.0102046280815871,395.344771822919,0.416354702578928,0.677376409989209,"baselines",0.868823514316251,"","0.869"
"tinyLSTM","DTFit","patient_freq_norm",0.0156228177859753,0.00801592224900871,565.75454562763,1.94897321863461,0.0517924833807564,"baselines",0.0869678981514046,"","0.087"
"tinyLSTM","DTFit","verb_freq_norm",0.00236865637923364,0.00692500136781672,395.346740987091,0.342044174928506,0.732499400105216,"baselines",0.732499400105216,"","0.732"
"tinyLSTM","DTFit","sentence_freq_norm",0.0582923003003893,0.0127433190774138,394.904003460361,4.57434204905898,6.40433125792489e-06,"baselines",2.56173250316996e-05,"***","<0.001"
"tinyLSTM","DTFit","NumTokens",-0.3716338219596,0.103506662147481,579.012554312519,-3.59043383536103,0.000358143710670337,"baselines",0.00143257484268135,"**","0.001"
"tinyLSTM","EventsRev","(Intercept)",1.56681159908953,0.168543153080135,38.4141856556352,9.29620438716116,2.24447034511154e-11,"baselines",1.79557627608923e-10,"***","<0.001"
"tinyLSTM","EventsRev","PlausibilityImplausible",-0.0116253935211142,0.0112781839393858,38.366340569256,-1.03078594777267,0.309095781261585,"baselines",0.353252321441811,"","0.353"
"tinyLSTM","EventsRev","agent_freq_norm",0.0259347543447326,0.0271823899952164,63.2484831761297,0.954101326237195,0.343664704183079,"baselines",0.812127330299943,"","0.812"
"tinyLSTM","EventsRev","patient_freq_norm",0.0215021089685049,0.0270821662595431,64.1901368150085,0.79395823666536,0.430145156097287,"baselines",0.573526874796383,"","0.574"
"tinyLSTM","EventsRev","verb_freq_norm",0.0701156730671845,0.0265315156242507,38.1292496868629,2.64273153709683,0.0118659696648632,"baselines",0.0474638786594528,"*","0.047"
"tinyLSTM","EventsRev","sentence_freq_norm",0.0327625650802516,0.0424470396783412,49.6827120010974,0.771845700631247,0.443861759744295,"baselines",0.710178815590872,"","0.71"
"tinyLSTM","EventsRev","NumTokens",-0.135207882803555,0.0242364082260064,38.3970072659673,-5.57870958199463,2.08723317936361e-06,"baselines",1.66978654349088e-05,"***","<0.001"
"SDM","DTFit","(Intercept)",0.584590989064779,0.593094446079859,789.246365543972,0.985662558347519,0.324600791669487,"baselines",0.370972333336557,"","0.371"
"SDM","DTFit","PlausibilityImplausible",-0.152812487626694,0.0083148369683495,400.972498727955,-18.3782903030301,3.6731328087691e-55,"baselines",2.93850624701528e-54,"***","<0.001"
"SDM","DTFit","agent_freq_norm",0.0048551619021421,0.00694130574866954,395.274271428605,0.699459450129063,0.484676345165381,"baselines",0.812127330299943,"","0.812"
"SDM","DTFit","patient_freq_norm",0.0378206161044549,0.00644741692916065,594.501118864632,5.86601060858935,7.41387259585987e-09,"baselines",5.9310980766879e-08,"***","<0.001"
"SDM","DTFit","verb_freq_norm",-0.0144178040430315,0.00471045732442263,395.267156726291,-3.06080769870869,0.00235809480649782,"baselines",0.0188647584519825,"*","0.019"
"SDM","DTFit","sentence_freq_norm",-0.0018435867851138,0.00866283317167464,394.532107089768,-0.212815686113163,0.831580644278116,"baselines",0.831580644278116,"","0.832"
"SDM","DTFit","NumTokens",0.00611398510387796,0.118603254292336,789.251087278785,0.0515498933006347,0.958900389216995,"baselines",0.958900389216995,"","0.959"
"SDM","EventsRev","(Intercept)",0.985780352605208,0.136642062913971,38.1612155411597,7.21432574701284,1.23359655829932e-08,"baselines",4.93438623319727e-08,"***","<0.001"
"SDM","EventsRev","PlausibilityImplausible",-0.018947490045676,0.020728872682402,37.8102429971174,-0.914062734427507,0.366476296658914,"baselines",0.366476296658914,"","0.366"
"SDM","EventsRev","agent_freq_norm",0.00361379179826776,0.0254984213729278,49.8285126437162,0.141726099251956,0.887867829840289,"baselines",0.887867829840289,"","0.888"
"SDM","EventsRev","patient_freq_norm",0.0509274488323454,0.0258937527943176,54.0073039183114,1.96678516385317,0.0543549363446279,"baselines",0.0869678981514046,"","0.087"
"SDM","EventsRev","verb_freq_norm",-0.0173312079063461,0.0214388937105094,37.7229331998194,-0.808400290629284,0.423929237644945,"baselines",0.484490557308508,"","0.484"
