"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"human","(Intercept)",0.817229476630818,0.00725424301505663,793.922411824659,112.65537629972,0,"human",0,"***","<0.001"
"human","PlausibilityImplausible",-0.554368692976161,0.0102532019466381,403.009324735805,-54.0678605435963,8.26560190655608e-187,"human",8.26560190655608e-187,"***","<0.001"
"human","agent_freq_norm",-0.00502237205969839,0.00839632298988396,399.694056205304,-0.598163275251492,0.550069780698425,"human",0.550069780698425,"","0.55"
"human","patient_freq_norm",0.00208259524722806,0.00777021881253977,596.728592279225,0.268022728506321,0.788774444451344,"human",0.788774444451344,"","0.789"
"human","verb_freq_norm",-0.00296908370920588,0.00568856468673579,398.755684864398,-0.521938990362365,0.602002608116051,"human",0.602002608116051,"","0.602"
"human","sentence_freq_norm",-0.00460370720775106,0.010434845471707,401.736299319099,-0.44118594954123,0.659315725627372,"human",0.659315725627372,"","0.659"
"GPT2-XL.l2r","(Intercept)",0.620119149227227,0.00631907934977752,628.328138421032,98.1344140343894,0,"ANNs",0,"***","<0.001"
"GPT2-XL.l2r","PlausibilityImplausible",-0.140378442913402,0.00625503664547068,402.517936908784,-22.4424653075456,6.25469286751334e-73,"ANNs",2.50187714700534e-72,"***","<0.001"
"GPT2-XL.l2r","agent_freq_norm",0.00229713642192473,0.00894034141026014,407.984099552395,0.256940570444937,0.797354177375555,"ANNs",0.917465799054586,"","0.917"
"GPT2-XL.l2r","patient_freq_norm",0.00862727361082187,0.00728943775007349,616.662093610142,1.18353073400413,0.237054911478573,"ANNs",0.237054911478573,"","0.237"
"GPT2-XL.l2r","verb_freq_norm",-0.00624243557873392,0.00607072966254729,401.447641781639,-1.02828423035306,0.304435297337026,"ANNs",0.405913729782701,"","0.406"
"GPT2-XL.l2r","sentence_freq_norm",0.0497046047424095,0.0110806228462842,414.675610897976,4.48572299878229,9.42195949771107e-06,"ANNs",1.88439189954221e-05,"***","<0.001"
"BERT-large.plast","(Intercept)",0.757002917192643,0.00677028679830546,793.976284473322,111.812533168036,0,"ANNs",0,"***","<0.001"
"BERT-large.plast","PlausibilityImplausible",-0.182716659217725,0.00959038342467128,403.750617950652,-19.0520703007229,3.3994069902211e-58,"ANNs",6.7988139804422e-58,"***","<0.001"
"BERT-large.plast","agent_freq_norm",-0.0128817628199939,0.00781896832924307,400.40827723508,-1.64750159836508,0.10023946568287,"ANNs",0.400957862731481,"","0.401"
"BERT-large.plast","patient_freq_norm",0.0579259537772402,0.00724266132263361,596.686171865219,7.99788243531687,6.60027534651878e-15,"ANNs",1.32005506930376e-14,"***","<0.001"
"BERT-large.plast","verb_freq_norm",-0.0090183246117137,0.00529737560820474,399.491279237512,-1.70241366267211,0.0894557532379922,"ANNs",0.187622462670185,"","0.188"
"BERT-large.plast","sentence_freq_norm",0.0103220547492986,0.00971742624673231,402.431258315351,1.06222105393078,0.28877235765589,"ANNs",0.385029810207853,"","0.385"
"RoBERTa-large.plast","(Intercept)",0.780121285899787,0.00661688684050601,793.618400022182,117.898538195362,0,"ANNs",0,"***","<0.001"
"RoBERTa-large.plast","PlausibilityImplausible",-0.166211020391267,0.009295380935786,403.524248224078,-17.8810337671451,4.4020120265117e-53,"ANNs",5.86934936868226e-53,"***","<0.001"
"RoBERTa-large.plast","agent_freq_norm",0.000798889383355176,0.00770445436298122,400.286473349952,0.103691883385503,0.917465799054586,"ANNs",0.917465799054586,"","0.917"
"RoBERTa-large.plast","patient_freq_norm",0.0720525234279805,0.00711169376797971,598.717085085823,10.1315559666525,2.25725599131481e-22,"ANNs",9.02902396525924e-22,"***","<0.001"
"RoBERTa-large.plast","verb_freq_norm",-0.00876750301896023,0.0052198963679371,399.288312097285,-1.67963162502882,0.0938112313350923,"ANNs",0.187622462670185,"","0.188"
"RoBERTa-large.plast","sentence_freq_norm",-0.00390486502530038,0.00957469798293842,402.382101851584,-0.407831665527062,0.68361416946997,"ANNs",0.68361416946997,"","0.684"
"tinyLSTM.surprisal","(Intercept)",0.54680798494781,0.00667240655649372,542.41755123588,81.950639595791,1.08134617820251e-307,"ANNs",1.08134617820251e-307,"***","<0.001"
"tinyLSTM.surprisal","PlausibilityImplausible",-0.0282282795369401,0.00535919152738288,400.029404603853,-5.26726454777875,2.26696332308349e-07,"ANNs",2.26696332308349e-07,"***","<0.001"
"tinyLSTM.surprisal","agent_freq_norm",0.00556952193593309,0.0099032784837518,414.179326050427,0.562391731694806,0.574153399097703,"ANNs",0.917465799054586,"","0.917"
"tinyLSTM.surprisal","patient_freq_norm",0.0155469946195762,0.00765256329514626,593.542535106167,2.03160614554304,0.0426384932463411,"ANNs",0.0568513243284548,"","0.057"
"tinyLSTM.surprisal","verb_freq_norm",0.0010407376242757,0.00674446958896144,402.002886055263,0.154309780857943,0.877442924013404,"ANNs",0.877442924013404,"","0.877"
"tinyLSTM.surprisal","sentence_freq_norm",0.0559532885009114,0.0122394908800679,425.777391758291,4.57153725176851,6.35433717653446e-06,"ANNs",1.88439189954221e-05,"***","<0.001"
