"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"RoBERTa-large","(Intercept)",0.658685735572853,0.0312644745667487,43.8414635934792,21.0681850471077,1.45511413412304e-24,"baselines",2.18267120118455e-24,"***","<0.001"
"RoBERTa-large","PlausibilityImplausible",-0.0973791153048348,0.0168565522459885,38.5065990428129,-5.77692958107784,1.10239629187234e-06,"baselines",1.10239629187234e-06,"***","<0.001"
"RoBERTa-large","agent_freq_norm",0.0581736462718822,0.0344336187595778,56.9344069267771,1.68944329313924,0.0966041434945606,"baselines",0.144906215241841,"","0.145"
"RoBERTa-large","patient_freq_norm",0.0525698580285643,0.034413899266268,58.4676614671892,1.52757633251087,0.13200995344705,"baselines",0.13200995344705,"","0.132"
"RoBERTa-large","verb_freq_norm",0.0175378511611758,0.0319897098229068,38.3458343390712,0.548234143362486,0.586708889625522,"baselines",0.840198422111516,"","0.84"
"RoBERTa-large","sentence_freq_norm",0.0249109447681927,0.0499139603764199,45.967417186525,0.499077704520538,0.620104838518238,"baselines",0.819267801445241,"","0.819"
"BERT-large","(Intercept)",0.670127647686508,0.0340634456021671,46.4342556802179,19.6729260895403,3.68618936904959e-24,"baselines",3.68618936904959e-24,"***","<0.001"
"BERT-large","PlausibilityImplausible",-0.139859007471382,0.0217509135072922,38.3936586538606,-6.4300291307072,1.40226606892858e-07,"baselines",2.10339910339286e-07,"***","<0.001"
"BERT-large","agent_freq_norm",0.0554730378246479,0.0382496708804817,53.0640082361855,1.45028797758767,0.15286375789975,"baselines",0.15286375789975,"","0.153"
"BERT-large","patient_freq_norm",0.0620036159486624,0.0383597179885362,55.1993083928079,1.61637309135568,0.111715240171361,"baselines",0.13200995344705,"","0.132"
"BERT-large","verb_freq_norm",0.00696888497961446,0.0343267117670742,38.2472886997733,0.203016386390348,0.840198422111516,"baselines",0.840198422111516,"","0.84"
"BERT-large","sentence_freq_norm",0.0124939074216359,0.0543531966456269,43.7539551943303,0.229865181676322,0.819267801445241,"baselines",0.819267801445241,"","0.819"
"GPT2-xl","(Intercept)",0.607097075914801,0.0256289357311415,44.4766268829406,23.6879549850805,7.44520941421371e-27,"baselines",2.23356282426411e-26,"***","<0.001"
"GPT2-xl","PlausibilityImplausible",-0.0976640954074162,0.0148652448002538,38.0811634521344,-6.56996213111462,9.35212399050601e-08,"baselines",2.10339910339286e-07,"***","<0.001"
"GPT2-xl","agent_freq_norm",0.100346698257621,0.0285063740519746,54.7737312668382,3.52014949620258,0.000876874742600322,"baselines",0.00263062422780097,"**","0.003"
"GPT2-xl","patient_freq_norm",0.0980519553298396,0.0285280761560849,56.5632607678856,3.43703356627942,0.00110944451531208,"baselines",0.00332833354593624,"**","0.003"
"GPT2-xl","verb_freq_norm",0.0214147493845033,0.0260709974624258,37.923610147005,0.821401230059063,0.416551841642558,"baselines",0.840198422111516,"","0.84"
"GPT2-xl","sentence_freq_norm",-0.028544288975483,0.0409579300832771,44.5734534981729,-0.696917273833072,0.489473506014558,"baselines",0.819267801445241,"","0.819"
