"Dataset","Model","VoiceType","TrialType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"DTFit","RoBERTa","all","all","(Intercept)",0.934551282051282,0.0152679753403092,61.2099025064549,1.12969120558006e-153,1.69453680837009e-153,"***","<0.001"
"DTFit","RoBERTa","all","all","LayerGroupearly",-0.299006410256409,0.0160938591115537,-18.5789131235624,3.49931900656672e-49,6.99863801313344e-49,"***","<0.001"
"DTFit","RoBERTa","all","all","LayerGroupmid",-0.112716346153847,0.0161941333471825,-6.96031974896993,2.90519644388554e-11,4.98033676094664e-11,"***","<0.001"
"DTFit","RoBERTa","all","all","LayerGrouplate",-0.081883012820513,0.0161941333471824,-5.05633806175615,8.20981584754125e-07,1.0946421130055e-06,"***","<0.001"
"DTFit","RoBERTa","all","all","LayerGroupearly:cLayerWithinGroup",0.0340101495726495,0.00197108714077743,17.2545134454255,1.25674407107086e-44,3.77023221321257e-44,"***","<0.001"
"DTFit","RoBERTa","all","all","LayerGroupmid:cLayerWithinGroup",0.0116704822954823,0.00235589974214832,4.95372620773756,1.33286321531193e-06,3.99858964593579e-06,"***","<0.001"
"DTFit","RoBERTa","all","all","LayerGrouplate:cLayerWithinGroup",-0.00133699633699634,0.00235589974214832,-0.567509861763959,0.570871058158545,0.708183085893491,"","0.708"
"DTFit","BERT","all","all","(Intercept)",0.934551282051282,0.0132330862058976,70.6223225263037,1.60167708186357e-168,3.84402499647257e-168,"***","<0.001"
"DTFit","BERT","all","all","LayerGroupearly",-0.27193732193732,0.0139488976279974,-19.4952554093955,2.63728069980257e-52,7.91184209940769e-52,"***","<0.001"
"DTFit","BERT","all","all","LayerGroupmid",-0.145789262820513,0.0140358074883246,-10.3869522962455,2.78776516437783e-21,1.11510606575113e-20,"***","<0.001"
"DTFit","BERT","all","all","LayerGrouplate",-0.151790865384615,0.0140358074883246,-10.814544550492,1.17600607998806e-22,5.89956825677995e-22,"***","<0.001"
"DTFit","BERT","all","all","LayerGroupearly:cLayerWithinGroup",0.0309022435897436,0.00170838408314562,18.0885808376555,1.68072838662416e-47,6.72291354649663e-47,"***","<0.001"
"DTFit","BERT","all","all","LayerGroupmid:cLayerWithinGroup",0.00937461843711843,0.00204190953190715,4.59110371474807,6.95202626413361e-06,1.66848630339207e-05,"***","<0.001"
"DTFit","BERT","all","all","LayerGrouplate:cLayerWithinGroup",-0.00547886141636141,0.00204190953190715,-2.68320478001008,0.00777288345657203,0.0932746014788643,"","0.093"
"DTFit","GPT-J","all","all","(Intercept)",0.934551282051282,0.0152112370843729,61.4382168174463,2.04859964640699e-169,6.14579893922097e-169,"***","<0.001"
"DTFit","GPT-J","all","all","LayerGroupearly",-0.264458333333334,0.0159536800457043,-16.5766351447259,5.39954107691077e-44,9.25635613184703e-44,"***","<0.001"
"DTFit","GPT-J","all","all","LayerGroupmid",-0.0766987179487178,0.0160340517384791,-4.78348948847742,2.73372989390068e-06,3.28047587268082e-06,"***","<0.001"
"DTFit","GPT-J","all","all","LayerGrouplate",-0.0827403846153843,0.0159536800457042,-5.18628832835741,4.00871036799963e-07,6.4281168182716e-07,"***","<0.001"
"DTFit","GPT-J","all","all","LayerGroupearly:cLayerWithinGroup",0.041274087024087,0.00167470208526409,24.64562944494,2.10725623063064e-73,1.26435373837838e-72,"***","<0.001"
"DTFit","GPT-J","all","all","LayerGroupmid:cLayerWithinGroup",0.00231837606837607,0.00196376226343296,1.18057878570453,0.238727593277399,0.318303457703199,"","0.318"
"DTFit","GPT-J","all","all","LayerGrouplate:cLayerWithinGroup",0.000203379953379954,0.00167470208526409,0.121442467391376,0.903423825258307,0.903423825258307,"","0.903"
"DTFit","GPT-2","all","all","(Intercept)",0.934551282051284,0.0152341497027989,61.3458118952045,6.48659157390354e-233,3.89195494434213e-232,"***","<0.001"
"DTFit","GPT-2","all","all","LayerGroupearly",-0.219609728506789,0.015675810719275,-14.0094654394338,8.92140363945645e-38,1.33821054591847e-37,"***","<0.001"
"DTFit","GPT-2","all","all","LayerGroupmid",-0.15184294871795,0.0157030020852779,-9.6696764028522,2.27891145575919e-20,5.46938749382206e-20,"***","<0.001"
"DTFit","GPT-2","all","all","LayerGrouplate",-0.161290064102565,0.0157030020852778,-10.2712884597895,1.47489206419499e-22,5.89956825677995e-22,"***","<0.001"
"DTFit","GPT-2","all","all","LayerGroupearly:cLayerWithinGroup",0.00866995035193561,0.000754202794878251,11.4955160744733,2.92906587293714e-27,5.02125578217795e-27,"***","<0.001"
"DTFit","GPT-2","all","all","LayerGroupmid:cLayerWithinGroup",-0.000365855957767722,0.000826187767376519,-0.44282422496942,0.658087110660498,0.658087110660498,"","0.658"
"DTFit","GPT-2","all","all","LayerGrouplate:cLayerWithinGroup",0.000604449472096532,0.000826187767376519,0.731612710771431,0.464752598468491,0.708183085893491,"","0.708"
"EventsAdapt","RoBERTa","all","all","(Intercept)",0.915153846153846,0.0142158155523746,64.3757540875648,7.00160133045203e-159,1.40032026609041e-158,"***","<0.001"
"EventsAdapt","RoBERTa","all","all","LayerGroupearly",-0.29086752136752,0.014984785314116,-19.4108567637279,5.10035623760769e-52,1.22408549702584e-51,"***","<0.001"
"EventsAdapt","RoBERTa","all","all","LayerGroupmid",-0.120254807692308,0.0150781493657719,-7.97543549776019,5.25688482691362e-14,1.05137696538272e-13,"***","<0.001"
"EventsAdapt","RoBERTa","all","all","LayerGrouplate",-0.0612067307692309,0.0150781493657719,-4.05929993691222,6.56530218960737e-05,7.16214784320804e-05,"***","<0.001"
"EventsAdapt","RoBERTa","all","all","LayerGroupearly:cLayerWithinGroup",0.0277724358974359,0.00183525389623678,15.1327486373323,2.81177709128152e-37,5.62355418256304e-37,"***","<0.001"
"EventsAdapt","RoBERTa","all","all","LayerGroupmid:cLayerWithinGroup",0.0175251831501832,0.00219354796217461,7.98942327789783,4.8018284444924e-14,2.88109706669544e-13,"***","<0.001"
"EventsAdapt","RoBERTa","all","all","LayerGrouplate:cLayerWithinGroup",-0.00150961538461538,0.00219354796217461,-0.688207146890374,0.491952862074983,0.708183085893491,"","0.708"
"EventsAdapt","BERT","all","all","(Intercept)",0.915153846153846,0.0144586140516012,63.2947143403763,3.95932678108492e-157,6.78741733900272e-157,"***","<0.001"
"EventsAdapt","BERT","all","all","LayerGroupearly",-0.342555555555554,0.0152407174041249,-22.476340612604,3.09303207438668e-62,1.23721282975467e-61,"***","<0.001"
"EventsAdapt","BERT","all","all","LayerGroupmid",-0.291341346153846,0.0153356760636695,-18.9976199904248,1.29914341618669e-50,1.55897209942403e-49,"***","<0.001"
"EventsAdapt","BERT","all","all","LayerGrouplate",-0.128788461538462,0.0153356760636694,-8.39796439385966,3.28161494092336e-15,9.8448448227701e-15,"***","<0.001"
"EventsAdapt","BERT","all","all","LayerGroupearly:cLayerWithinGroup",0.017227564102564,0.00186659904770306,9.22938652720482,1.12644688111641e-17,1.68967032167462e-17,"***","<0.001"
"EventsAdapt","BERT","all","all","LayerGroupmid:cLayerWithinGroup",0.0160645604395604,0.00223101258397103,7.20056917427455,6.83664941458932e-12,2.73465976583573e-11,"***","<0.001"
"EventsAdapt","BERT","all","all","LayerGrouplate:cLayerWithinGroup",0.00187637362637363,0.00223101258397103,0.841041256268409,0.401119010868791,0.708183085893491,"","0.708"
