"Model","TrialType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"RoBERTa","all","(Intercept)",0.919,0.0167982636769078,54.7080351681424,3.36596333868187e-142,6.33593099045999e-142,"***","<0.001"
"RoBERTa","all","LayerGroupearly",-0.24917094017094,0.017706924651701,-14.0719489731947,1.30482546151735e-33,1.89792794402524e-33,"***","<0.001"
"RoBERTa","all","LayerGroupmid",-0.110307692307693,0.0178172492371518,-6.19106186591833,2.39849265354791e-09,3.07007059654133e-09,"***","<0.001"
"RoBERTa","all","LayerGrouplate",-0.0616826923076928,0.0178172492371517,-3.4619649468154,0.000629401134758849,0.000719315582581541,"***","<0.001"
"RoBERTa","all","LayerGroupearly:cLayerWithinGroup",0.0313038461538461,0.00216864651552883,14.4347388703929,7.31158061105419e-35,2.33970579553734e-34,"***","<0.001"
"RoBERTa","all","LayerGroupmid:cLayerWithinGroup",0.0166318681318681,0.0025920283588934,6.41654558863263,6.81887758961413e-10,1.98367348061502e-09,"***","<0.001"
"RoBERTa","all","LayerGrouplate:cLayerWithinGroup",-0.00161630036630036,0.0025920283588934,-0.623565849792787,0.533474512154151,0.711299349538868,"","0.711"
"RoBERTa","TrainOn:AAN-TestOn:AAN","(Intercept)",0.842307692307692,0.0202167561097559,41.6638400213584,2.81922851780124e-115,3.75897135706832e-115,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAN","LayerGroupearly",-0.281873219373218,0.0213103320689845,-13.2270683751316,1.03418781381229e-30,1.32376040167973e-30,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAN","LayerGroupmid",-0.173116987179488,0.0214431080082046,-8.07331600965912,2.78454023741586e-14,4.05024034533217e-14,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAN","LayerGrouplate",-0.0766025641025643,0.0214431080082045,-3.57236292767144,0.000423428789650179,0.000501841528474287,"***","<0.001"
"RoBERTa","TrainOn:AAN-TestOn:AAN","LayerGroupearly:cLayerWithinGroup",0.00551282051282051,0.00260997199091406,2.11221443448893,0.0356482925067573,0.0367982374263301,"*","0.037"
