"VoiceType","Parameter","RoBERTa","BERT","GPT-J","GPT-2"
"all","Ceiling (human ratings)","0.92 ***","0.92 ***","0.92 ***","0.92 ***"
"all","Early layers > human","-0.29 ***","-0.34 ***","-0.28 ***","-0.35 ***"
"all","Middle layers > human","-0.12 ***","-0.29 ***","-0.08 ***","-0.16 ***"
"all","Late layers > human","-0.06 ***","-0.13 ***","-0.06 ***","-0.14 ***"
"all","Early layers, trend","0.03 ***","0.02 ***","0.03 ***","0.01 ***"
"all","Middle layers, trend","0.02 ***","0.02 ***","0.01 ***","0.01 ***"
"all","Late layers, trend","","","",""
"TrainOn:active-TestOn:active","Ceiling (human ratings)","0.92 ***","0.92 ***","0.92 ***","0.92 ***"
"TrainOn:active-TestOn:active","Early layers > human","-0.25 ***","-0.29 ***","-0.19 ***","-0.27 ***"
"TrainOn:active-TestOn:active","Middle layers > human","-0.11 ***","-0.26 ***","-0.07 ***","-0.11 ***"
"TrainOn:active-TestOn:active","Late layers > human","-0.06 ***","-0.1 ***","-0.07 ***","-0.09 ***"
"TrainOn:active-TestOn:active","Early layers, trend","0.03 ***","0.03 ***","0.03 ***","0.01 ***"
"TrainOn:active-TestOn:active","Middle layers, trend","0.02 ***","0.02 ***","","0 ***"
"TrainOn:active-TestOn:active","Late layers, trend","","","",""
"TrainOn:active-TestOn:passive","Ceiling (human ratings)","0.91 ***","0.91 ***","0.91 ***","0.91 ***"
"TrainOn:active-TestOn:passive","Early layers > human","-0.48 ***","-0.49 ***","-0.46 ***","-0.5 ***"
"TrainOn:active-TestOn:passive","Middle layers > human","-0.3 ***","-0.44 ***","-0.34 ***","-0.35 ***"
"TrainOn:active-TestOn:passive","Late layers > human","-0.22 ***","-0.24 ***","-0.33 ***","-0.38 ***"
"TrainOn:active-TestOn:passive","Early layers, trend","-0.02 ***","-0.02 ***","0.01 ***","-0.01 ***"
"TrainOn:active-TestOn:passive","Middle layers, trend","0.03 ***","0.01 *","","0.01 ***"
"TrainOn:active-TestOn:passive","Late layers, trend","-0.01 **","0.02 ***","",""
"TrainOn:passive-TestOn:active","Ceiling (human ratings)","0.92 ***","0.92 ***","0.92 ***","0.92 ***"
"TrainOn:passive-TestOn:active","Early layers > human","-0.51 ***","-0.51 ***","-0.49 ***","-0.51 ***"
"TrainOn:passive-TestOn:active","Middle layers > human","-0.27 ***","-0.49 ***","-0.25 ***","-0.36 ***"
"TrainOn:passive-TestOn:active","Late layers > human","-0.28 ***","-0.28 ***","-0.19 ***","-0.32 ***"
"TrainOn:passive-TestOn:active","Early layers, trend","-0.02 ***","-0.02 ***","0.02 ***","-0.01 ***"
"TrainOn:passive-TestOn:active","Middle layers, trend","0.05 ***","","0.01 **","0.01 ***"
"TrainOn:passive-TestOn:active","Late layers, trend","-0.05 ***","0.02 ***","",""
"TrainOn:passive-TestOn:passive","Ceiling (human ratings)","0.9 ***","0.9 ***","0.9 ***","0.9 ***"
"TrainOn:passive-TestOn:passive","Early layers > human","-0.22 ***","-0.27 ***","-0.19 ***","-0.25 ***"
"TrainOn:passive-TestOn:passive","Middle layers > human","-0.09 ***","-0.23 ***","-0.04 **","-0.1 ***"
"TrainOn:passive-TestOn:passive","Late layers > human","","-0.11 ***","","-0.1 ***"
"TrainOn:passive-TestOn:passive","Early layers, trend","0.03 ***","0.03 ***","0.03 ***","0.01 ***"
"TrainOn:passive-TestOn:passive","Middle layers, trend","0.01 ***","0.02 ***","0.01 ***",""
"TrainOn:passive-TestOn:passive","Late layers, trend","","","",""
