Item,Plausibility,m,stdev
1,implaus,1.7083333333333333,1.5152885173392365
1,plaus,6.8125,0.6069193223401174
2,implaus,2.7708333333333335,1.765383248528318
2,plaus,6.551020408163265,0.7921811790292441
3,implaus,2.36734693877551,1.7403768455785231
3,plaus,6.8125,0.7338690821851225
4,implaus,1.6382978723404256,1.1689001131664725
4,plaus,6.755102040816326,0.5961897155023292
5,implaus,1.4375,0.9654951325945822
5,plaus,6.8979591836734695,0.5101020306102035
6,implaus,2.061224489795918,1.638192134454245
6,plaus,5.916666666666667,1.843139473986539
7,implaus,1.75,1.391463335041911
7,plaus,6.836734693877551,0.5532833351724882
8,implaus,2.306122448979592,1.7345037911058436
8,plaus,5.9375,1.8031444166328006
9,implaus,2.9375,1.62959660848413
9,plaus,6.770833333333333,0.6600961675048643
10,implaus,2.0833333333333335,1.485151089574811
10,plaus,6.791666666666667,0.6509676376351031
11,implaus,1.7959183673469388,1.4716712698597512
11,plaus,6.333333333333333,1.1361250555480114
12,implaus,2.25,1.3448087738774879
12,plaus,6.795918367346939,0.6448382173309924
13,implaus,1.8979591836734695,1.3267268300719077
13,plaus,6.4375,1.366876389374616
14,implaus,2.1875,1.886753938787969
14,plaus,6.63265306122449,0.8586296628693791
15,implaus,1.5714285714285714,1.136515141415488
15,plaus,6.541666666666667,0.9884079899565407
16,implaus,2.3333333333333335,1.4488929498558007
16,plaus,6.918367346938775,0.34379831138556316
17,implaus,2.061224489795918,1.5194319561559033
17,plaus,6.333333333333333,1.5205448818067333
18,implaus,1.4791666666666667,1.2026492623483167
18,plaus,6.612244897959184,1.3199799008983093
19,implaus,2.2244897959183674,1.5581145941282284
19,plaus,5.958333333333333,1.458042017509336
20,implaus,3.6875,1.8353068037333125
20,plaus,6.6521739130434785,0.9936999615208657
21,implaus,2.6666666666666665,1.4192196437349367
21,plaus,6.571428571428571,0.8660254037844386
22,implaus,2.183673469387755,1.4386548895257898
22,plaus,6.708333333333333,0.8240618994859532
23,implaus,1.4791666666666667,1.3525324290497458
23,plaus,6.918367346938775,0.34379831138556316
24,implaus,2.836734693877551,1.6626652646618094
24,plaus,6.595744680851064,0.947756492026097
25,implaus,2.7291666666666665,1.8070733754878807
25,plaus,6.530612244897959,1.101174388556874
26,implaus,2.1875,1.6328574353737435
26,plaus,6.604166666666667,1.1058756679246549
27,implaus,4.208333333333333,2.133405362259201
27,plaus,6.708333333333333,0.7425755447874055
28,implaus,4.836734693877551,1.8067805019738632
28,plaus,6.541666666666667,1.2540713837182447
29,implaus,1.7916666666666667,1.3201923350097287
29,plaus,6.816326530612245,0.6348710298082564
30,implaus,1.9574468085106382,1.1412702078502486
30,plaus,6.653061224489796,1.0906997067663198
31,implaus,2.510204081632653,1.7093181995997682
31,plaus,5.5625,1.7247417321306955
32,implaus,3.8541666666666665,2.5764034253061143
32,plaus,6.816326530612245,0.601161008235838
33,implaus,4.387755102040816,1.7890445137304
33,plaus,6.645833333333333,1.0208378564091432
34,implaus,2.021276595744681,1.7002475740714895
34,plaus,6.836734693877551,0.514252644439409
35,implaus,2.1020408163265305,1.5171917308960394
35,plaus,6.708333333333333,0.713347915274833
36,implaus,3.1041666666666665,2.013143866431397
36,plaus,6.74468085106383,0.6746362983564771
37,implaus,4.9361702127659575,1.633937034058334
37,plaus,6.854166666666667,0.5453705877787913
38,implaus,1.9583333333333333,1.5568425948849893
38,plaus,6.6938775510204085,0.821687329844638
39,implaus,1.875,1.3780189295553114
39,plaus,6.6875,0.7192268307304401
40,implaus,3.25,1.8962448894726291
40,plaus,6.625,1.0026560471747876
