ItemNum,Plaus_Implaus,Stimulus
1,plaus,The cop is arresting the criminal.
1,implaus,The criminal is arresting the cop.
2,plaus,The babysitter is scolding the child.
2,implaus,The child is scolding the babysitter.
3,plaus,The doctor is using a stethoscope on the patient.
3,implaus,The patient is using a stethoscope on the doctor.
4,plaus,The fireman is rescuing the grandmother.
4,implaus,The grandmother is rescuing the fireman.
5,plaus,The dentist is treating the patient.
5,implaus,The patient is treating the dentist.
6,plaus,The ghost is frightening the girl.
6,implaus,The girl is frightening the ghost.
7,plaus,The mother is feeding the baby.
7,implaus,The baby is feeding the mother.
8,plaus,The artist is painting the businessman.
8,implaus,The businessman is painting the artist.
9,plaus,The groom is carrying the bride.
9,implaus,The bride is carrying the groom.
10,plaus,The jester is entertaining the king.
10,implaus,The king is entertaining the jester.
11,plaus,The lion is pouncing on the Safari guide.
11,implaus,The Safari guide is pouncing on the lion.
12,plaus,The photographer is taking a picture of the model.
12,implaus,The model is taking a picture of the photographer.
13,plaus,The pirate is kidnapping the princess.
13,implaus,The princess is kidnapping the pirate.
14,plaus,The priest is blessing the bride.
14,implaus,The bride is blessing the priest.
15,plaus,The shark is biting the snorkeler.
15,implaus,The snorkeler is biting the shark.
16,plaus,The professor is lecturing to the student.
16,implaus,The student is lecturing to the professor.
17,plaus,The vampire is biting the woman.
17,implaus,The woman is biting the vampire.
18,plaus,The waiter is serving the customer.
18,implaus,The customer is serving the waiter.
19,plaus,The lawyer is giving money to the beggar.
19,implaus,The beggar is giving money to the lawyer.
20,plaus,The chef is cooking for the lady.
20,implaus,The lady is cooking for the chef.
21,plaus,The ballerina is dancing for the grandpa.
21,implaus,The grandpa is dancing for the ballerina.
22,plaus,The journalist is interviewing the sportsstar.
22,implaus,The sportsstar is interviewing the journalist.
23,plaus,The judge is sentencing the criminal.
23,implaus,The criminal is sentencing the judge.
24,plaus,The father is pulling the child on the sled.
24,implaus,The child is pulling the father on the sled.
25,plaus,Santa is giving the girl a present.
25,implaus,The girl is giving Santa a present.
26,plaus,The peasant is bowing to the queen.
26,implaus,The queen is bowing to the peasant.
27,plaus,The lady is applauding the athlete.
27,implaus,The athlete is applauding the lady.
28,plaus,The father is tying the son's shoes.
28,implaus,The son is tying the father's shoes.
29,plaus,The thief is stealing the purse from the grandma.
29,implaus,The grandma is stealing the purse from the thief.
30,plaus,The cat is chasing the mouse.
30,implaus,The mouse is chasing the cat.
31,plaus,The visitor is pushing the patient.
31,implaus,The patient is pushing the visitor.
32,plaus,The relative is bringing flowers to the patient.
32,implaus,The patient is bringing flowers to the relative.
33,plaus,The boss is yelling at the worker.
33,implaus,The worker is yelling at the boss.
34,plaus,The dog is leading the blind person.
34,implaus,The blind person is leading the dog.
35,plaus,The bouncer is preventing the woman from entering.
35,implaus,The woman is preventing the bouncer from entering.
36,plaus,The dog is licking the girl on the face.
36,implaus,The girl is licking the dog on the face.
37,plaus,The man is proposing to the woman.
37,implaus,The woman is proposing to the man.
38,plaus,The tailor is measuring the princess.
38,implaus,The princess is measuring the tailor.
39,plaus,The lifeguard is saving the grandmother.
39,implaus,The grandmother is saving the lifeguard.
40,plaus,The chauffeur is opening the door for the lady.
40,implaus,The lady is opening the door for the chauffeur.
