ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType
1,active,plausible,The raider caught the illness.,The raider caught the illness.,AI
1,active,implausible,The illness caught the raider.,The raider caught the illness.,AI
1,passive,plausible,The illness was caught by the raider.,The raider caught the illness.,AI
1,passive,implausible,The raider was caught by the illness.,The raider caught the illness.,AI
2,active,plausible,The marauder contracted the disease.,The marauder contracted the disease.,AI
2,active,implausible,The disease contracted the marauder.,The marauder contracted the disease.,AI
2,passive,plausible,The disease was contracted by the marauder.,The marauder contracted the disease.,AI
2,passive,implausible,The marauder was contracted by the disease.,The marauder contracted the disease.,AI
3,active,plausible,The convict dreaded the prison.,The convict dreaded prison.,AI
3,active,implausible,The prison dreaded the convict.,The convict dreaded prison.,AI
3,passive,plausible,The prison was dreaded by the convict.,The convict dreaded prison.,AI
3,passive,implausible,The convict was dreaded by the prison.,The convict dreaded prison.,AI
4,active,plausible,The criminal feared the jail.,The criminal feared jail.,AI
4,active,implausible,The jail feared the criminal.,The criminal feared jail.,AI
4,passive,plausible,The jail was feared by the criminal.,The criminal feared jail.,AI
4,passive,implausible,The criminal was feared by the jail.,The criminal feared jail.,AI
5,active,plausible,The prostitute squandered the cash.,The prostitute squandered the cash.,AI
5,active,implausible,The cash squandered the prostitute.,The prostitute squandered the cash.,AI
5,passive,plausible,The cash was squandered by the prostitute.,The prostitute squandered the cash.,AI
5,passive,implausible,The prostitute was squandered by the cash.,The prostitute squandered the cash.,AI
6,active,plausible,The call girl wasted the money.,The call girl wasted the money.,AI
6,active,implausible,The money wasted the call girl.,The call girl wasted the money.,AI
6,passive,plausible,The money was wasted by the call girl.,The call girl wasted the money.,AI
6,passive,implausible,The call girl was wasted by the money.,The call girl wasted the money.,AI
7,active,plausible,The adventurer requested the beverage.,The adventurer requested a beverage.,AI
7,active,implausible,The beverage requested the adventurer.,The adventurer requested a beverage.,AI
7,passive,plausible,The beverage was requested by the adventurer.,The adventurer requested a beverage.,AI
7,passive,implausible,The adventurer was requested by the beverage.,The adventurer requested a beverage.,AI
8,active,plausible,The undertaker prepared the funeral.,The undertaker prepared the funeral.,AI
8,active,implausible,The funeral prepared the undertaker.,The undertaker prepared the funeral.,AI
8,passive,plausible,The funeral was prepared by the undertaker.,The undertaker prepared the funeral.,AI
8,passive,implausible,The undertaker was prepared by the funeral.,The undertaker prepared the funeral.,AI
9,active,plausible,The mortician arranged the burial.,The mortician arranged the burial.,AI
9,active,implausible,The burial arranged the mortician.,The mortician arranged the burial.,AI
9,passive,plausible,The burial was arranged by the mortician.,The mortician arranged the burial.,AI
9,passive,implausible,The mortician was arranged by the burial.,The mortician arranged the burial.,AI
10,active,plausible,The supervisor supplied the liquor.,The supervisor supplied the liquor.,AI
10,active,implausible,The liquor supplied the supervisor.,The supervisor supplied the liquor.,AI
10,passive,plausible,The liquor was supplied by the supervisor.,The supervisor supplied the liquor.,AI
10,passive,implausible,The supervisor was supplied by the liquor.,The supervisor supplied the liquor.,AI
11,active,plausible,The overseer provided the alcohol.,The overseer provided the alcohol.,AI
11,active,implausible,The alcohol provided the overseer.,The overseer provided the alcohol.,AI
11,passive,plausible,The alcohol was provided by the overseer.,The overseer provided the alcohol.,AI
11,passive,implausible,The overseer was provided by the alcohol.,The overseer provided the alcohol.,AI
12,active,plausible,The troublemaker crashed the car.,The troublemaker crashed the car.,AI
12,active,implausible,The car crashed the troublemaker.,The troublemaker crashed the car.,AI
12,passive,plausible,The car was crashed by the troublemaker.,The troublemaker crashed the car.,AI
12,passive,implausible,The troublemaker was crashed by the car.,The troublemaker crashed the car.,AI
13,active,plausible,The hooligan wrecked the vehicle.,The hooligan wrecked the vehicle.,AI
13,active,implausible,The vehicle wrecked the hooligan.,The hooligan wrecked the vehicle.,AI
13,passive,plausible,The vehicle was wrecked by the hooligan.,The hooligan wrecked the vehicle.,AI
13,passive,implausible,The hooligan was wrecked by the vehicle.,The hooligan wrecked the vehicle.,AI
14,active,plausible,The repairman fixed the tap.,The repairman fixed the tap.,AI
14,active,implausible,The tap fixed the repairman.,The repairman fixed the tap.,AI
14,passive,plausible,The tap was fixed by the repairman.,The repairman fixed the tap.,AI
14,passive,implausible,The repairman was fixed by the tap.,The repairman fixed the tap.,AI
15,active,plausible,The handyman repaired the faucet.,The handyman repaired the faucet.,AI
15,active,implausible,The faucet repaired the handyman.,The handyman repaired the faucet.,AI
15,passive,plausible,The faucet was repaired by the handyman.,The handyman repaired the faucet.,AI
15,passive,implausible,The handyman was repaired by the faucet.,The handyman repaired the faucet.,AI
16,active,plausible,The secretary organized the desk.,The secretary organized the desk.,AI
16,active,implausible,The desk organized the secretary.,The secretary organized the desk.,AI
16,passive,plausible,The desk was organized by the secretary.,The secretary organized the desk.,AI
16,passive,implausible,The secretary was organized by the desk.,The secretary organized the desk.,AI
17,active,plausible,The receptionist tidied the table.,The receptionist tidied the table.,AI
17,active,implausible,The table tidied the receptionist.,The receptionist tidied the table.,AI
17,passive,plausible,The table was tidied by the receptionist.,The receptionist tidied the table.,AI
17,passive,implausible,The receptionist was tidied by the table.,The receptionist tidied the table.,AI
18,active,plausible,The pilot steered the airplane.,The pilot steered the airplane.,AI
18,active,implausible,The airplane steered the pilot.,The pilot steered the airplane.,AI
18,passive,plausible,The airplane was steered by the pilot.,The pilot steered the airplane.,AI
18,passive,implausible,The pilot was steered by the airplane.,The pilot steered the airplane.,AI
19,active,plausible,The aviator maneuvered the jet.,The aviator maneuvered the jet.,AI
19,active,implausible,The jet maneuvered the aviator.,The aviator maneuvered the jet.,AI
19,passive,plausible,The jet was maneuvered by the aviator.,The aviator maneuvered the jet.,AI
19,passive,implausible,The aviator was maneuvered by the jet.,The aviator maneuvered the jet.,AI
20,active,plausible,The chef sauteed the squid.,The chef sautéed the squid.,AI
20,active,implausible,The squid sauteed the chef.,The chef sautéed the squid.,AI
20,passive,plausible,The squid was sauteed by the chef.,The chef sautéed the squid.,AI
20,passive,implausible,The chef was sauteed by the squid.,The chef sautéed the squid.,AI
21,active,plausible,The cook grilled the octopus.,The cook grilled the octopus.,AI
21,active,implausible,The octopus grilled the cook.,The cook grilled the octopus.,AI
21,passive,plausible,The octopus was grilled by the cook.,The cook grilled the octopus.,AI
21,passive,implausible,The cook was grilled by the octopus.,The cook grilled the octopus.,AI
22,active,plausible,The ship captain promised the triumph.,The ship captain promised a triumph.,AI
22,active,implausible,The triumph promised the ship captain.,The ship captain promised a triumph.,AI
22,passive,plausible,The triumph was promised by the ship captain.,The ship captain promised a triumph.,AI
22,passive,implausible,The ship captain was promised by the triumph.,The ship captain promised a triumph.,AI
23,active,plausible,The skipper guaranteed the victory.,The skipper guaranteed a victory.,AI
23,active,implausible,The victory guaranteed the skipper.,The skipper guaranteed a victory.,AI
23,passive,plausible,The victory was guaranteed by the skipper.,The skipper guaranteed a victory.,AI
23,passive,implausible,The skipper was guaranteed by the victory.,The skipper guaranteed a victory.,AI
24,active,plausible,The milliner adorned the fedora.,The milliner adorned the fedora.,AI
24,active,implausible,The fedora adorned the milliner.,The milliner adorned the fedora.,AI
24,passive,plausible,The fedora was adorned by the milliner.,The milliner adorned the fedora.,AI
24,passive,implausible,The milliner was adorned by the fedora.,The milliner adorned the fedora.,AI
25,active,plausible,The hatter decorated the bowler.,The hatter decorated the bowler.,AI
25,active,implausible,The bowler decorated the hatter.,The hatter decorated the bowler.,AI
25,passive,plausible,The bowler was decorated by the hatter.,The hatter decorated the bowler.,AI
25,passive,implausible,The hatter was decorated by the bowler.,The hatter decorated the bowler.,AI
26,active,plausible,The serviceman hoisted the flag.,The serviceman hoisted the flag.,AI
26,active,implausible,The flag hoisted the serviceman.,The serviceman hoisted the flag.,AI
26,passive,plausible,The flag was hoisted by the serviceman.,The serviceman hoisted the flag.,AI
26,passive,implausible,The serviceman was hoisted by the flag.,The serviceman hoisted the flag.,AI
27,active,plausible,The soldier raised the banner.,The soldier raised the banner.,AI
27,active,implausible,The banner raised the soldier.,The soldier raised the banner.,AI
27,passive,plausible,The banner was raised by the soldier.,The soldier raised the banner.,AI
27,passive,implausible,The soldier was raised by the banner.,The soldier raised the banner.,AI
28,active,plausible,The agent failed the mission.,The agent failed the mission.,AI
28,active,implausible,The mission failed the agent.,The agent failed the mission.,AI
28,passive,plausible,The mission was failed by the agent.,The agent failed the mission.,AI
28,passive,implausible,The agent was failed by the mission.,The agent failed the mission.,AI
29,active,plausible,The operative blew the assignment.,The operative blew the assignment.,AI
29,active,implausible,The assignment blew the operative.,The operative blew the assignment.,AI
29,passive,plausible,The assignment was blown by the operative.,The operative blew the assignment.,AI
29,passive,implausible,The operative was blown by the assignment.,The operative blew the assignment.,AI
30,active,plausible,The anchorman garbled the expression.,The anchorman garbled the expression.,AI
30,active,implausible,The expression garbled the anchorman.,The anchorman garbled the expression.,AI
30,passive,plausible,The expression was garbled by the anchorman.,The anchorman garbled the expression.,AI
30,passive,implausible,The anchorman was garbled by the expression.,The anchorman garbled the expression.,AI
31,active,plausible,The announcer mispronounced the word.,The announcer mispronounced the word.,AI
31,active,implausible,The word mispronounced the announcer.,The announcer mispronounced the word.,AI
31,passive,plausible,The word was mispronounced by the announcer.,The announcer mispronounced the word.,AI
31,passive,implausible,The announcer was mispronounced by the word.,The announcer mispronounced the word.,AI
32,active,plausible,The author finished the novel.,The author finished the novel.,AI
32,active,implausible,The novel finished the author.,The author finished the novel.,AI
32,passive,plausible,The novel was finished by the author.,The author finished the novel.,AI
32,passive,implausible,The author was finished by the novel.,The author finished the novel.,AI
33,active,plausible,The writer completed the book.,The writer completed the book.,AI
33,active,implausible,The book completed the writer.,The writer completed the book.,AI
33,passive,plausible,The book was completed by the writer.,The writer completed the book.,AI
33,passive,implausible,The writer was completed by the book.,The writer completed the book.,AI
34,active,plausible,The financier sponsored the project.,The financier sponsored the project.,AI
34,active,implausible,The project sponsored the financier.,The financier sponsored the project.,AI
34,passive,plausible,The project was sponsored by the financier.,The financier sponsored the project.,AI
34,passive,implausible,The financier was sponsored by the project.,The financier sponsored the project.,AI
35,active,plausible,The banker funded the program.,The banker funded the program.,AI
35,active,implausible,The program funded the banker.,The banker funded the program.,AI
35,passive,plausible,The program was funded by the banker.,The banker funded the program.,AI
35,passive,implausible,The banker was funded by the program.,The banker funded the program.,AI
36,active,plausible,The tourist exited the bus.,The tourist exited the bus.,AI
36,active,implausible,The bus exited the tourist.,The tourist exited the bus.,AI
36,passive,plausible,The bus was exited by the tourist.,The tourist exited the bus.,AI
36,passive,implausible,The tourist was exited by the bus.,The tourist exited the bus.,AI
37,active,plausible,The vacationer left the shuttle.,The vacationer left the shuttle.,AI
37,active,implausible,The shuttle left the vacationer.,The vacationer left the shuttle.,AI
37,passive,plausible,The shuttle was left by the vacationer.,The vacationer left the shuttle.,AI
37,passive,implausible,The vacationer was left by the shuttle.,The vacationer left the shuttle.,AI
38,active,plausible,The dietitian loathed the jam.,The dietitian loathed jam.,AI
38,active,implausible,The jam loathed the dietitian.,The dietitian loathed jam.,AI
38,passive,plausible,The jam was loathed by the dietitian.,The dietitian loathed jam.,AI
38,passive,implausible,The dietitian was loathed by the jam.,The dietitian loathed jam.,AI
39,active,plausible,The nutritionist detested the marmalade.,The nutritionist detested marmalade.,AI
39,active,implausible,The marmalade detested the nutritionist.,The nutritionist detested marmalade.,AI
39,passive,plausible,The marmalade was detested by the nutritionist.,The nutritionist detested marmalade.,AI
39,passive,implausible,The nutritionist was detested by the marmalade.,The nutritionist detested marmalade.,AI
40,active,plausible,The scientist discovered the cure.,The scientist discovered the cure.,AI
40,active,implausible,The cure discovered the scientist.,The scientist discovered the cure.,AI
40,passive,plausible,The cure was discovered by the scientist.,The scientist discovered the cure.,AI
40,passive,implausible,The scientist was discovered by the cure.,The scientist discovered the cure.,AI
41,active,plausible,The researcher found the remedy.,The researcher found the remedy.,AI
41,active,implausible,The remedy found the researcher.,The researcher found the remedy.,AI
41,passive,plausible,The remedy was found by the researcher.,The researcher found the remedy.,AI
41,passive,implausible,The researcher was found by the remedy.,The researcher found the remedy.,AI
42,active,plausible,The doctor closed the school.,The doctor closed the school.,AI
42,active,implausible,The school closed the doctor.,The doctor closed the school.,AI
42,passive,plausible,The school was closed by the doctor.,The doctor closed the school.,AI
42,passive,implausible,The doctor was closed by the school.,The doctor closed the school.,AI
43,active,plausible,The maid lifted the cushion.,The maid lifted the cushion.,AI
43,active,implausible,The cushion lifted the maid.,The maid lifted the cushion.,AI
43,passive,plausible,The cushion was lifted by the maid.,The maid lifted the cushion.,AI
43,passive,implausible,The maid was lifted by the cushion.,The maid lifted the cushion.,AI
44,active,plausible,The designer suggested the drapes.,The designer suggested the drapes.,AI
44,active,implausible,The drapes suggested the designer.,The designer suggested the drapes.,AI
44,passive,plausible,The drapes were suggested by the designer.,The designer suggested the drapes.,AI
44,passive,implausible,The designer were suggested by the drapes.,The designer suggested the drapes.,AI
45,active,plausible,The decorator recommended the curtains.,The decorator recommended the curtains.,AI
45,active,implausible,The curtains recommended the decorator.,The decorator recommended the curtains.,AI
45,passive,plausible,The curtains were recommended by the decorator.,The decorator recommended the curtains.,AI
45,passive,implausible,The decorator were recommended by the curtains.,The decorator recommended the curtains.,AI
46,active,plausible,The builder washed the pants.,The builder washed the pants.,AI
46,active,implausible,The pants washed the builder.,The builder washed the pants.,AI
46,passive,plausible,The pants were washed by the builder.,The builder washed the pants.,AI
46,passive,implausible,The builder were washed by the pants.,The builder washed the pants.,AI
47,active,plausible,The contractor laundered the trousers.,The contractor laundered the trousers.,AI
47,active,implausible,The trousers laundered the contractor.,The contractor laundered the trousers.,AI
47,passive,plausible,The trousers were laundered by the contractor.,The contractor laundered the trousers.,AI
47,passive,implausible,The contractor were laundered by the trousers.,The contractor laundered the trousers.,AI
48,active,plausible,The servant wiped the sink.,The servant wiped the sink.,AI
48,active,implausible,The sink wiped the servant.,The servant wiped the sink.,AI
48,passive,plausible,The sink was wiped by the servant.,The servant wiped the sink.,AI
48,passive,implausible,The servant was wiped by the sink.,The servant wiped the sink.,AI
49,active,plausible,The domestic cleaned the wash basin.,The domestic cleaned the wash basin.,AI
49,active,implausible,The wash basin cleaned the domestic.,The domestic cleaned the wash basin.,AI
49,passive,plausible,The wash basin was cleaned by the domestic.,The domestic cleaned the wash basin.,AI
49,passive,implausible,The domestic was cleaned by the wash basin.,The domestic cleaned the wash basin.,AI
50,active,plausible,The friend donned the pullover.,The friend donned the pullover.,AI
50,active,implausible,The pullover donned the friend.,The friend donned the pullover.,AI
50,passive,plausible,The pullover was donned by the friend.,The friend donned the pullover.,AI
50,passive,implausible,The friend was donned by the pullover.,The friend donned the pullover.,AI
51,active,plausible,The convalescent took the pill.,The convalescent took the pill.,AI
51,active,implausible,The pill took the convalescent.,The convalescent took the pill.,AI
51,passive,plausible,The pill was taken by the convalescent.,The convalescent took the pill.,AI
51,passive,implausible,The convalescent was taken by the pill.,The convalescent took the pill.,AI
52,active,plausible,The patient swallowed the medicine.,The patient swallowed the medicine.,AI
52,active,implausible,The medicine swallowed the patient.,The patient swallowed the medicine.,AI
52,passive,plausible,The medicine was swallowed by the patient.,The patient swallowed the medicine.,AI
52,passive,implausible,The patient was swallowed by the medicine.,The patient swallowed the medicine.,AI
53,active,plausible,The hoarder hid the stash.,The hoarder hid the stash.,AI
53,active,implausible,The stash hid the hoarder.,The hoarder hid the stash.,AI
53,passive,plausible,The stash was hidden by the hoarder.,The hoarder hid the stash.,AI
53,passive,implausible,The hoarder was hidden by the stash.,The hoarder hid the stash.,AI
54,active,plausible,The packrat concealed the stockpile.,The packrat concealed the stockpile.,AI
54,active,implausible,The stockpile concealed the packrat.,The packrat concealed the stockpile.,AI
54,passive,plausible,The stockpile was concealed by the packrat.,The packrat concealed the stockpile.,AI
54,passive,implausible,The packrat was concealed by the stockpile.,The packrat concealed the stockpile.,AI
55,active,plausible,The reporter abandoned the story.,The reporter abandoned the story.,AI
55,active,implausible,The story abandoned the reporter.,The reporter abandoned the story.,AI
55,passive,plausible,The story was abandoned by the reporter.,The reporter abandoned the story.,AI
55,passive,implausible,The reporter was abandoned by the story.,The reporter abandoned the story.,AI
56,active,plausible,The journalist ditched the article.,The journalist ditched the article.,AI
56,active,implausible,The article ditched the journalist.,The journalist ditched the article.,AI
56,passive,plausible,The article was ditched by the journalist.,The journalist ditched the article.,AI
56,passive,implausible,The journalist was ditched by the article.,The journalist ditched the article.,AI
57,active,plausible,The carnivore ate the steak.,The carnivore ate the steak.,AI
57,active,implausible,The steak ate the carnivore.,The carnivore ate the steak.,AI
57,passive,plausible,The steak was eaten by the carnivore.,The carnivore ate the steak.,AI
57,passive,implausible,The carnivore was eaten by the steak.,The carnivore ate the steak.,AI
58,active,plausible,The meat-eater devoured the filet.,The meat-eater devoured the filet.,AI
58,active,implausible,The filet devoured the meat-eater.,The meat-eater devoured the filet.,AI
58,passive,plausible,The filet was devoured by the meat-eater.,The meat-eater devoured the filet.,AI
58,passive,implausible,The meat-eater was devoured by the filet.,The meat-eater devoured the filet.,AI
59,active,plausible,The man drank the soda.,The man drank the soda.,AI
59,active,implausible,The soda drank the man.,The man drank the soda.,AI
59,passive,plausible,The soda was drunk by the man.,The man drank the soda.,AI
59,passive,implausible,The man was drunk by the soda.,The man drank the soda.,AI
60,active,plausible,The teacher bought the laptop.,The teacher bought the laptop.,AI
60,active,implausible,The laptop bought the teacher.,The teacher bought the laptop.,AI
60,passive,plausible,The laptop was bought by the teacher.,The teacher bought the laptop.,AI
60,passive,implausible,The teacher was bought by the laptop.,The teacher bought the laptop.,AI
61,active,plausible,The instructor purchased the computer.,The instructor purchased the computer.,AI
61,active,implausible,The computer purchased the instructor.,The instructor purchased the computer.,AI
61,passive,plausible,The computer was purchased by the instructor.,The instructor purchased the computer.,AI
61,passive,implausible,The instructor was purchased by the computer.,The instructor purchased the computer.,AI
62,active,plausible,The lady cooked the supper.,The lady cooked the supper.,AI
62,active,implausible,The supper cooked the lady.,The lady cooked the supper.,AI
62,passive,plausible,The supper was cooked by the lady.,The lady cooked the supper.,AI
62,passive,implausible,The lady was cooked by the supper.,The lady cooked the supper.,AI
63,active,plausible,The woman prepared the dinner.,The woman prepared the dinner.,AI
63,active,implausible,The dinner prepared the woman.,The woman prepared the dinner.,AI
63,passive,plausible,The dinner was prepared by the woman.,The woman prepared the dinner.,AI
63,passive,implausible,The woman was prepared by the dinner.,The woman prepared the dinner.,AI
64,active,plausible,The traveler lost the souvenir.,The traveler lost the souvenir.,AI
64,active,implausible,The souvenir lost the traveler.,The traveler lost the souvenir.,AI
64,passive,plausible,The souvenir was lost by the traveler.,The traveler lost the souvenir.,AI
64,passive,implausible,The traveler was lost by the souvenir.,The traveler lost the souvenir.,AI
65,active,plausible,The sightseer misplaced the memento.,The sightseer misplaced the memento.,AI
65,active,implausible,The memento misplaced the sightseer.,The sightseer misplaced the memento.,AI
65,passive,plausible,The memento was misplaced by the sightseer.,The sightseer misplaced the memento.,AI
65,passive,implausible,The sightseer was misplaced by the memento.,The sightseer misplaced the memento.,AI
66,active,plausible,The comedian confirmed the itinerary.,The comedian confirmed the itinerary.,AI
66,active,implausible,The itinerary confirmed the comedian.,The comedian confirmed the itinerary.,AI
66,passive,plausible,The itinerary was confirmed by the comedian.,The comedian confirmed the itinerary.,AI
66,passive,implausible,The comedian was confirmed by the itinerary.,The comedian confirmed the itinerary.,AI
67,active,plausible,The humorist verified the schedule.,The humorist verified the schedule.,AI
