WorkerId,na.pct,n,implausible,plausible,Diff,<NA>,Answer.English,Answer.country,Answer.profcheck1,Answer.profcheck2,WorkTimeInSeconds,Answer.answer,filler.left,filler.right
A2BUHMLNE3LUU0,0,54,5.4375,4.611111111,-0.826388889,4,yes,USA,Yes,Yes,1569,NONE,7,1
ARG392N6HWZCJ,0,54,5.1875,4.527777778,-0.659722222,4,yes,USA,Yes,Yes,472,Thank you!,7,1
A1AL6YXN76OLGW,0,54,6.611111111,6,-0.611111111,4,yes,USA,Yes,Yes,1153,really enjoyed and very useful survey,7,1
AQKASU6KLW1GZ,0,54,6.444444444,5.852941176,-0.591503268,4,yes,USA,Yes,Yes,2940,excellent,7,1
A2S23A49RFCDZ1,0.074074074,54,6.0625,5.5,-0.5625,5,yes,USA,Yes,Yes,2335,GOOD,7,1
A2KCNGLOYTL96C,0,54,5.5625,5,-0.5625,5,yes,USA,Yes,Yes,627,good one,7,1
A31BIJVDYW40U2,0.055555556,54,6.4375,5.939393939,-0.498106061,4,yes,USA,Yes,Yes,1661,this survey very nice,7,1
A2JJF5OFND2KL5,0,54,5.625,5.138888889,-0.486111111,4,yes,USA,Yes,Yes,3372,{},7,1
AIY8KHG5LEXNY,0.018518519,54,6.0625,5.657142857,-0.405357143,4,yes,USA,Yes,Yes,434,NICE,7,1
A2L87NQSYMJEEK,0,54,5.944444444,5.558823529,-0.385620915,4,yes,USA,Yes,Yes,1015,Nice,7,6
A3HYKJ2457U3EN,0.018518519,54,5.833333333,5.454545455,-0.378787879,4,yes,USA,Yes,Yes,2271,useful study,7,1
A1H6DME332958N,0,54,4.25,3.888888889,-0.361111111,4,yes,USA,Yes,Yes,841,very nice survey,7,1
A2CHN7YRG2LE9E,0,54,4.5,4.147058824,-0.352941176,4,yes,USA,Yes,Yes,570,{},7,1
A2O67PQ9YKH2FY,0,54,5.5625,5.222222222,-0.340277778,4,yes,USA,Yes,Yes,2841,Interesting in this study.,7,1
AI9YR5E1S3U19,0,54,3.4375,3.111111111,-0.326388889,4,yes,USA,Yes,Yes,694,good,7,1
A3GIHD8GJU04MU,0,54,4.1875,3.861111111,-0.326388889,4,yes,USA,Yes,Yes,1764,The survey is very nice,7,1
ADZDFHPZZ5VFL,0.018518519,54,5.888888889,5.606060606,-0.282828283,4,,USA,Yes,Yes,1954,Such good survey.,7,1
