WorkerId,na.pct,n,implausible,plausible,Answer.English,Answer.country,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,HITId,AssignmentStatus,AssignmentId,filler.left,filler.right,diff,Reject
A143XRCI1YXAFE,0,54,2,5.625,yes,USA,"When I was younger, I would go to school and catch up with my friends.","It's raining tomorrow, so I will not be able to walk the dog",1104,{},3MQY1YVHS3KXC5C52M6OX6LVOMNB2N,Submitted,30H4UDGLT2IR9NF1LBCAWJZ4WMCMPD,7,1,3.625,NA
A16Z9FSSF1X74O,0,54,1,5.875,yes,USA,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so I will bring my umbrella.",1655,"Red Forest

Thank you, and have a nice day!",3LCXHSGDLT6OO75N6SNKPW4KPDZEST,Submitted,3XLBSAQ9Z4C22OAK4E8N4Z4SBWO7Z8,7,1,4.875,NA
A17AMTRIYI2Z2D,0,54,1,6.75,yes,USA,"When I was younger, I would go to school and study in my many classes.","It's raining tomorrow, so I think I'll stay inside and watch some movies.",1386,thanks,32XN26MTXZJ2T4V3ECR4SLOL3IHL00,Submitted,37Q970SNZE8RQQ94K6X67WGCLVOS1R,7,1,5.75,NA
A1LPWEVR9E9FR6,0.018518518518518517,54,5.875,5.75,yes,USA,"When I was younger, I would go to school and I would play","It's raining tomorrow, so I will play",2038,good,3K2CEDRACB1NFVAFCQGTC95F0Y4MTF,Submitted,3QUO65DNQUOS1V89FDQHYTB8Z3KUOX,7,2,-0.125,Missed attention check.
A1M24593XO5Z3C,0.018518518518518517,54,1.875,5.875,yes,USA,"When I was younger, I would go to school and go to softball practice right after.","It's raining tomorrow, so we should have a lazy day and watch movies.",3128,Thanks for letting me participate.,324N5FAHSXB72ZE1W93SYE1W8EPKVO,Submitted,3Z3ZLGNNSIUBND86F6MK0PG81RI3Q6,7,1,4,NA
A1P47Q6LZPLQ6P,0,54,2.25,7,yes,USA,"When I was younger, I would go to school and learned my multiplication tables.","It's raining tomorrow, so I will take my umbrella.",411,{},3IKDQS3DQE0KXVID5PNBV6YUV3KCI6,Submitted,3ZR9AIQJUB98HGMBYMXOVOHW2NH04R,7,1,4.75,NA
A1PZIN8H1VI6SY,0.018518518518518517,54,1.8571428571428572,5.625,yes,USA,"When I was younger, I would go to school and enjoyed my clsses","It's raining tomorrow, so i will not be able to go",1156,i really like the hit thank you for letting me participate,35F6NGNVM8J4US3S8KE4TR8P5997TP,Submitted,3BC8WZX3V3W3IG883BCGNDTT3RZRRY,7,1,3.767857142857143,NA
A1XWBSRUGGNEA2,0,54,1.125,6.625,yes,USA,"When I was younger, I would go to school and play sports with my friends","It's raining tomorrow, so I will stay at home",645,{},3DZKABX2ZI5PJ12D4WMUAVOO35GCV3,Submitted,3HVVDCPGTESPVWXMLV95VON8UZDYTM,7,1,5.5,NA
A20RCHED1QJNFN,0,54,4.625,4.625,yes,USA,"When I was younger, I would go to school and day, they often go over classroom rules so you'll know what's allowed and what's not.","It's raining tomorrow, so The reason this sentence is confusing is the ambiguous ""it is"". Depending on wh",1529,THE WORK VERY IMPORTAN,3IH9TRB0FBZ0AS8FPSYREAF3R6TI1M,Submitted,35LDD5557A4QYWIL8J7202D52C6MKC,7,1,0,Improper ratings of implausible and plausible sentences.
A22AL9CY652GH4,0,54,3.875,3.875,yes,USA,"When I was younger, I would go to school and read lessons in classrooms","It's raining tomorrow, so i have to cancel my schedule on tomorrow",1271,none,3XDSWAMB22SXET6WIXSK48PGMD1CQ9,Submitted,3TAYZSBPLL8YFBR03AXKCFQHD12S28,7,1,0,Improper ratings of implausible and plausible sentences.
A23BWWRR7J5XLS,0,54,1.9,6.4,yes,USA,"When I was younger, I would go to school and play with friends there.","It's raining tomorrow, so makes sure to dress accordingly.",1800,{},36JW4WBR06KR4CR3Q9VR30IIS3XHFT,Submitted,34QN5IT0TZR90H9DAPN1C0X149B804,7,1,4.5,NA
