WorkerId,na.pct,n,implausible,plausible,diff,Answer.English,Answer.country,profcheck,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,HITId,filler.left,filler.right
A100Y89FZO4J0B,0,54,1.75,6.5,4.75,yes,USA,yes,"When I was younger, I would go to school and learn all type of things.","It's raining tomorrow, so I'll probably try to remember to have an umbrella on me.",1096,{},3TD33TP5DL2MH879F1Z33O4T0AFABT,7,1
A10HW8JXM17XLD,0.018518519,54,1.4,6.7,5.3,yes,USA,yes,"When I was younger, I would go to school and read fiction books in the school library.","It's raining tomorrow, so we will have to reschedule our picnic.",1755,Very interesting study. Thanks for the opportunity!,3Y3N5A7N4G9JWH99MW3SKQXUF0MMY4,7,1
A110KENBXU7SUJ,0,54,2.125,6,3.875,yes,USA,yes,"When I was younger, I would go to school and read many books about science.","It's raining tomorrow, so I definitely don't want to wash the car today.",1328,"""Sentence: The toddler disciplined the mother.""  Unlikely but not impossible.",3N2YPY1GI6Y4GZMR0NSP0JOROHTEVY,7,1
A11FFJZ0C984W4,0,54,2.125,6.75,4.625,yes,USA,yes,"When I was younger, I would go to school and listen to the teacher.","It's raining tomorrow, so I will stay inside and read a book.",2841,{},31HLTCK4BLV20DII6IID0M931X8GVH,7,1
A11S8IAAVDXCUS,0,54,1,6.4,5.4,yes,USA,yes,"When I was younger, I would go to school and escape my bad home life.","It's raining tomorrow, so the dogs will try to refuse to go outside.",2254,{},3ZXNP4Z39RLGBFVNZBCD70Y8BWN7LM,7,1
A11W7R2O4RQSSS,0,54,1.5,6,4.5,yes,USA,yes,"When I was younger, I would go to school and learn about a variety of subjects","It's raining tomorrow, so we should stay inside and bake brownies",915,{},3TTPFEFXCTKVLJYSPGSN9U55Z4UH6Q,7,1
A11YS0T8MV3Q7C,0.018518519,54,1.3,6.6,5.3,yes,USA,yes,"When I was younger, I would go to school and learn many different subjects.","It's raining tomorrow, so I need to wear a raincoat.",579,Great HIT!,3I7KR83SNAD95S1YT8YW6WCZHM6K98,7,1
A122LRCSBAD6DC,0,54,1.875,5.625,3.75,yes,USA,yes,"When I was younger, I would go to school and sit in class and learn.","It's raining tomorrow, so I will bring my umbrella and raincoat with me before going outside.",976,{},3CVDZS288H0DWQSEH6B4V5QE9PWMF7,7,1
A12FCLCVIM2CL3,0,54,1.875,6.75,4.875,yes,USA,yes,"When I was younger, I would go to school and play with my friends during recess.","It's raining tomorrow, so I'm going to put my umbrella in my car tonight.",1266,{},36BTXXLZ2V8UVQ8H2XB2Q0NXQMM4RP,7,1
A12FTSX85NQ8N9,0,54,1,7,6,yes,USA,yes,"When I was younger, I would go to school and talk to every classmate in the room before being sent to detention.","It's raining tomorrow, so I want to wear my rubber boots and bring my umbrella.",1196,"I don't have any comments really, I don't think! :)",3PR3LXCWSFZFPS05SRDLWQK1DVL9XM,6,1
A12TSLY8GXWHB4,0,54,1,5.2,4.2,yes,USA,yes,"When I was younger, I would go to school and study math and science.","It's raining tomorrow, so I will wear rain boots and bring an umbrella",394,Thank you!,3P6ENY9P79WBE3TTRH1C6XVA8VPHIK,7,1
A133QG754CGS3I,0.018518519,54,1.5,5.25,3.75,yes,USA,yes,"When I was younger, I would go to school and learn science.","It's raining tomorrow, so tomorrow it will be sunny.",917,{},39TX062QX1OTAQBPBICB5DHFD2AX3Q,6,1
A13ASIJ31D76UN,0,108,3.4375,3.4375,0,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",1109,good,3HFWPF5AK9JLE9PQH86O650NYO9S3G,7,1
A13ASIJ31D76UN,0,108,3.4375,3.4375,0,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",167,good,3XDJY5RK5SLMBI0Y6R67VBAHXLQ4UT,7,1
A13FUEPWBCLBUY,0,54,1.75,6.875,5.125,yes,USA,yes,"When I was younger, I would go to school and try my best to get perfect grades.","It's raining tomorrow, so I will not be able to go for a run.",1808,Very interesting and fun HIT!!!,3YLPJ8OXX8DESMUTBWHUFI9LR26X4B,7,1
A13GUTDMGGZZDL,0,54,1,6.2,5.2,yes,USA,yes,"When I was younger, I would go to school and pay attention to the teacher.","It's raining tomorrow, so I won't go on a hike.",520,{},3G9UA71JVVUAGP7NWQ00RLLG77I7JK,7,1
A13WTEQ06V3B6D,0,54,1,6.4,5.4,yes,USA,yes,"When I was younger, I would go to school and study hard to get good grades.","It's raining tomorrow, so I should bring an umbrella with me.",2079,I have no additional comments.,32PT7WK7DMFFCK68KIBZB6ENXLZD37,7,1
A13YTGRLTS80MU,0,54,4.9,4.8,-0.1,yes,USA,,"When I was younger, I would go to school and come back home by school bus.","It's raining tomorrow, so i might fail to go to work.",1611,Thank you.,34R3P23QHS1TFYDYGY5R7O4IN6NHWR,7,1
A147F5PJTHOB8A,0,54,2.125,5.625,3.5,yes,USA,yes,"When I was younger, I would go to school and learn all sorts of subjects.","It's raining tomorrow, so I will bring my umbrella with me",2560,{},3PIOQ99R7YM8XQA4OWL3UKGHO2LUNE,7,1
A147VU5FL0JL70,0,54,6,6.25,0.25,yes,USA,,"When I was younger, I would go to school and boy","It's raining tomorrow, so much",857,nice,3EPG8DX9LKQRFWW23AQNQXTWP0TP5N,7,1
A149ROBL26JWPJ,0,54,1.375,5.875,4.5,yes,USA,yes,"When I was younger, I would go to school and take classes in math and science among other things","It's raining tomorrow, so we should probably plan to spend the day inside",1748,{},3LN3BXKGC0VFF2INWSN9MOSH86AGWR,7,1
A14QFRGIYIMNHN,0,54,6.75,6.75,0,yes,USA,,"When I was younger, I would go to school and STUDY","It's raining tomorrow, sOI cannot go to school",922,good,33W1NHWFYHLNE29YRF6NKB1OF1LZT6,7,1
A14SEFVPXYZ9TN,0,54,1.25,7,5.75,yes,USA,yes,"When I was younger, I would go to school and attend all of my classes.","It's raining tomorrow, so I will bring an umbrella with me when I leave the house.",265,{},3H781YYV6TIP37I2VSSAZ106RWDETI,7,1
A15A618QS7DD79,0,108,6.75,6.9375,0.1875,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so  I cant school",195,good,32XN26MTXZJ2T4V3ECR4SLOL3IHL00,7,1
A15A618QS7DD79,0,108,6.75,6.9375,0.1875,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant school",78,good,3O71U79SRBPM0VX0NQB3249TYFQMSQ,7,1
A15VCG7KA6V73R,0,54,5.875,6.25,0.375,yes,USA,,"When I was younger, I wwould go to school and college","It's raining tomorrow, so happy",1080,thanks given this survey.,3MIVREZQVHYFXRIKAA9ISR2ORMAKQU,4,1
A15XX0WDRG29E7,0,54,1.6,6.8,5.2,yes,USA,yes,"When I was younger, I would go to school and learn about many different subjects.","It's raining tomorrow, so I will carry an unbrella.",1263,{},3VO4XFFP15MR2CB0RGK9OMX2L2A7QB,7,1
A16539W8GX3NLN,0.018518519,54,6,6.625,0.625,yes,USA,,"When I was younger, I would go to school and I meet my freidns","It's raining tomorrow, so don't go to school",1480,{},3TKXBROM5TA759OJFH4XIABPLNTJIR,7,1
A16TN5X2SAPVCA,0,54,5.5,5.875,0.375,yes,USA,,"When I was younger, I would go to school and","It's raining tomorrow, so",934,very well,371Q3BEXDH9MZ2WJ2F1XA652DI7ZSH,7,1
A179LPB3NPSEF8,0,108,3.4375,3.6875,0.25,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",590,good,3AJA9FLWSCYR072NWRDC3CJXSGCFIK,7,1
A179LPB3NPSEF8,0,108,3.4375,3.6875,0.25,yes,USA,,"When I was younger, I would go to school and study","It's raining tomorrow, so I cant come",736,good,3CVBMEMMXBGEPJCX8QXFF851UFEH7P,7,1
A17NFI9O9H25MZ,0,54,1.75,6.625,4.875,yes,USA,yes,"When I was younger, I would go to school and play at the basketball court for hours.","It's raining tomorrow, so I'm staying home and not driving out.",390,{},3I4E7AFQ2KZXEN4U9T31WHDYW49JT8,7,1
A17ZTBC2843EBM,0.018518519,54,1.6,7,5.4,yes,USA,yes,"When I was younger, I would go to school and sleep during homeroom.","It's raining tomorrow, so I will bring my umbrella.",1394,no comments,34D9ZRXCYRULYUOBQNLYTDET4Y1ASU,7,1
A183WYXN12P2TJ,0,54,1,6.8,5.8,yes,USA,,"When I was younger, I would go to school and study a lot of interesting subjects.","It's raining tomorrow, so I will bring an umbrella.",3178,{},3Q9SPIIRWJME5B5KASVZQ2HEABXAW9,4,1
A18E16UFE351U6,0,54,1.25,7,5.75,yes,USA,yes,"When I was younger, I would go to school and try to learn as much as I could.","It's raining tomorrow, so I hope to stay inside and read all day.",1668,{},31YWE12TE0CBB9CCDUF1IUTVI4WX7V,7,1
A18LAR2IV3FHF9,0.018518519,54,1.625,6.142857143,4.517857143,yes,USA,yes,"When I was younger, I would go to school and return home by myself","It's raining tomorrow, so I would need my umbrella",968,Fascinating!,3RDTX9JRTY1LADUEAE9N2R7DB2679P,7,1
A18SXC3JEN1O0U,0,54,1,6.875,5.875,yes,USA,yes,"When I was younger, I would go to school and learn with my classmates.","It's raining tomorrow, so let's do it today.",597,{},3XEDXEGFX3OR9YDLTCF3DLB6EICK0W,7,1
A19UBZFVUWL1ES,0.037037037,54,1.5,7,5.5,yes,USA,yes,"When I was younger, I would go to school and study with my friends.","It's raining tomorrow, so I'll cancel our plans.",319,{},3NFWQRSHVEED4GWS63D9I06HD3KFGS,7,1
