WorkerId,HITId,na.pct,n,implausible,plausible,Answer.English,Answer.country,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,AssignmentStatus,AssignmentId,filler.left,filler.right,diff,profcheck,good_data
A002160837SWJFPIAI7L7,39O6Z4JLX2XDMZD8VSIHO89Y5PTVXI,0,54,1.75,7,yes,USA,"When I was younger, I would go to school and enjoy being in math class.","It's raining tomorrow, so I will wear an umbrella.",844,{},Approved,3SKEMFQBZ35BD7GHEIXJVKCAJXK8KU,7,1,5.25,yes,yes
A107RJSS561Y7R,3NKW03WTLM76SRC1ZOSLG2WJFV8QWQ,0,54,1,6,yes,USA,"When I was younger, I would go to school and learn new things for the day.","It's raining tomorrow, so I will stay indoors.",2993,{},Approved,3SBEHTYCWN3ZMIHBRJA1HHLZK8YIY7,7,1,5,yes,yes
A10DLQ5TBK6ANZ,3EAWOID6MTX5P97XSGTAFUMNVI90VT,0,54,4.6,4.2,yes,USA,"When I was younger, I would go to school and and the joyfull","It's raining tomorrow, so  so effectively while camping out this way as ... as with us , I think perhaps it can be arranged so that you can",334,Good,Approved,3L4D84MILZS9VYBSZ1RD7I5W7RAJHL,7,2,-0.4,NA,no
A10T0161B70BXP,3O0M2G5VC62ORQCV8GBGZFN3L26942,0.018518519,54,1.375,6.125,yes,USA,"When I was younger, I would go to school and learn new things from my teachers.","It's raining tomorrow, so we're going to stay inside instead.",653,{},Approved,39N5ACM9HENC23W7W285RXTKXD89PL,7,6,4.75,NA,no
A11FFJZ0C984W4,3ZG552ORAM4CLJAB73XOYIF2SGSV27,0,108,1.625,6.875,yes,USA,"When I was younger, I would go to school and listen to what the teacher said.","It's raining tomorrow, so I will stay home and read a book.",2386,{},Approved,3M0NZ3JDP1YNFKW1GLTQ6FQWLGW5ZB,7,7,5.25,NA,no
A11FFJZ0C984W4,31HLTCK4BLV20DII6IID0M931X8GVH,0,108,1.625,6.875,yes,USA,"When I was younger, I would go to school and listen to the teacher.","It's raining tomorrow, so I will stay inside and read a book.",2841,{},Approved,3R9WASFE2ZGFHHPQMX6ZSRH99H4FZB,7,1,5.25,yes,yes
A11W55U13HODN1,35XW21VSVGE2UDFFNEAO2RU4ZCPLSH,0,54,1.5,5.375,yes,USA,"When I was younger, I would go to school and work my butt off.","It's raining tomorrow, so I'll take the day off.",1987,{},Approved,3DR23U6WE5ERPRGVLUXBOLVSDDATEL,NA,5,3.875,NA,no
A11YS0T8MV3Q7C,37AQKJ12TXORSQ0ZLNH5YN07V8PTTH,0.009259259,108,1.222222222,6.277777778,yes,USA,"When I was younger, I would go to school and learn more than one subject.","It's raining tomorrow, so I need to make sure my windows are closed.",1052,Great experiment!,Approved,326O153BMIYK82KYZ4XWJHD6ARNDEN,7,1,5.055555556,yes,yes
A11YS0T8MV3Q7C,3I7KR83SNAD95S1YT8YW6WCZHM6K98,0.009259259,108,1.222222222,6.277777778,yes,USA,"When I was younger, I would go to school and learn many different subjects.","It's raining tomorrow, so I need to wear a raincoat.",579,Great HIT!,Approved,338JKRMM26ZYU58O5VE0EJ2DGBAAH3,7,1,5.055555556,yes,yes
A122LRCSBAD6DC,3D17ECOUOEVLKPQW4PR4A4DE9QM130,0,108,1.875,6.1875,yes,USA,"When I was younger, I would go to school and complete my assignments in class.","It's raining tomorrow, so I will bring an umbrella with me.",1689,{},Approved,39KFRKBFINV9I4SEPEN61EHLWHXOY8,6,1,4.3125,NA,no
A122LRCSBAD6DC,3CVDZS288H0DWQSEH6B4V5QE9PWMF7,0,108,1.875,6.1875,yes,USA,"When I was younger, I would go to school and sit in class and learn.","It's raining tomorrow, so I will bring my umbrella and raincoat with me before going outside.",976,{},Approved,33LK57MYLT5OLMUCSH6YZQ0OY7XSZ6,7,1,4.3125,yes,yes
A12FTSX85NQ8N9,3OLZC0DJ8JFGW4ODW6IGLYMJHCPVII,0,162,1.307692308,6.576923077,yes,USA,"When I was younger, I would go to school and play for as long as I could at recess.","It's raining tomorrow, so remember to bring an umbrella.",932,{},Approved,39OWYR0EPKRFCRFLQB4GEK874G6FYD,7,1,5.269230769,yes,yes
A12FTSX85NQ8N9,3PR3LXCWSFZFPS05SRDLWQK1DVL9XM,0,162,1.307692308,6.576923077,yes,USA,"When I was younger, I would go to school and talk to every classmate in the room before being sent to detention.","It's raining tomorrow, so I want to wear my rubber boots and bring my umbrella.",1196,"I don't have any comments really, I don't think! :)",Rejected,37Q970SNZE8RQQ94K6X67WGCLSKS1H,7,1,5.269230769,yes,yes
A12FTSX85NQ8N9,3ZRKL6Z1E83M8L1ECND8PZPW2TESGO,0,162,1.307692308,6.576923077,yes,USA,"When I was younger, I would go to school and take the most detailed notes of anyone in the class.","It's raining tomorrow, so I'm planning on bringing rubber boots.",505,No comments :),Approved,3ND9UOO81K2XNEUHXLPQO0SBPEKLW0,6,1,5.269230769,NA,no
A12HWPFXQPITHD,3BJKPTD2QCCECBN7HYCAY8ZP7NSTR4,0,54,1.875,5.5,yes,USA,"When I was younger, I would go to school and learn with my friends.","It's raining tomorrow, so I'll use an umbrella.",2473,{},Approved,3HRMW88U16QOL6BH4QXKHIYWP45M0S,7,1,3.625,yes,yes
A12VDN3TJJCAQQ,3SD15I2WD2UGRBRTAV3L504VH12360,0,54,1,7,yes,USA,"When I was younger, I would go to school and wait for recess","It's raining tomorrow, so I will stay in and work",3516,{},Approved,3JV9LGBJWTE9WD7EV810UEAHRL7GO2,7,1,6,yes,yes
A13GUTDMGGZZDL,31GECDVA9JMFOUEBTX1JC3GFRS4669,0,108,1.111111111,5.888888889,yes,USA,"When I was younger, I would go to school and study all day.","It's raining tomorrow, so I will drive my car instead of riding my bike.",1537,{},Approved,3K9FOBBF2HJ70KL35KY3SHFKXSOLNY,7,1,4.777777778,yes,yes
A13GUTDMGGZZDL,3G9UA71JVVUAGP7NWQ00RLLG77I7JK,0,108,1.111111111,5.888888889,yes,USA,"When I was younger, I would go to school and pay attention to the teacher.","It's raining tomorrow, so I won't go on a hike.",520,{},Approved,3EJPLAJKEMGJYOWFL43VYL4WGI0Z6R,7,1,4.777777778,yes,yes
A13LKWKNDRONU7,3IHWR4LC7DDILSS0OD76TK2B6EP8IR,0,54,1.8,5.7,yes,USA,"When I was younger, I would go to school and I developed my artistic skill and learned a lot.","It's raining tomorrow, so all the school will be closed I think",1602,It was a knowledgeable one.,Approved,3V26SBZTBDELMYGQN906VJXRMF4ZZC,7,7,3.9,NA,no
A13WYXTOERACDD,3ICOHX7ENCBONYLBXQ40FQY1VN60EN,0,54,5.875,5.875,yes,USA,"When I was younger, I would go to school and playground","It's raining tomorrow, so i go to rest",287,nice,Approved,3ZPPDN2SLVW85C7HNOSUXLUGJ669E0,5,1,0,NA,no
A14EYTLSMJRPUK,3W3RSPVVGSRI9Q7JCJ5OHSCSK9ALUX,0,54,1,6.6,yes,USA,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I think I will stay inside.",1455,{},Approved,3VA45EW49NNCSYHBDPGXNR6BPWOO1A,7,1,5.6,yes,yes
A157DWY9SATKXQ,3THR0FZ95PTNWLNMGXTFIMK32NMOLN,0.018518519,54,4,4.125,yes,USA,"When I was younger, I would go to school and i went to home","It's raining tomorrow, so It Is Going To Rain Tomorrow",3206,good,Approved,3AWETUDC92SZR8RGN5CKVOU1Q22IZY,2,1,0.125,NA,no
A15LHHN76OW2UM,3T2EL38U0MKLHRHR9TO7ILAQOXEQXJ,0.055555556,54,1,5.5,,,"When I was younger, I would go to school and stick to myself.","It's raining tomorrow, so I will stay indoors.",1484,{},Approved,3AQF3RZ558IDT75FKS9OVTOE56D6F4,7,1,4.5,NA,no
A15T9HDPHV3X7Q,3DZKABX2ZI5PJ12D4WMUAVOO475VCG,0,54,1.125,6.875,yes,USA,"When I was younger, I would go to school and study very hard","It's raining tomorrow, so I will bring my umbrella",685,{},Approved,3T111IHZ5EQXEGCM9UCUWSTZYVXR9W,7,1,5.75,yes,yes
A166A2M31CW2C7,3Z8UJEJOCZD39UTR826XPAVX72A93H,0,54,1.375,5.375,yes,USA,"When I was younger, I would go to school and talk to friends.","It's raining tomorrow, so I'm going to stay in.",543,{},Approved,3BDCF01OGXU1CJPHCM7E9XDR1CSLYO,7,1,4,yes,yes
A16UAN46CNIRHY,31KPKEKW4ADQGV9RNZ2AEISGSQT0BN,0,54,1.125,6.625,yes,USA,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so I will make sure to carry my umbrella.",1401,{},Approved,3GNCZX450INQ7M6CO8M5NS443VQAP1,7,1,5.5,yes,yes
A16Z9FSSF1X74O,3WRKFXQBOB7X0YJI1H50SXQDZTRIYE,0,108,1.375,6.1875,yes,USA,"When I was younger, I would go to school and always wanted to sit at the front of the class.","It's raining tomorrow, so I will stay inside and clean the house.",3175,"Thank you, and have a nice day!",Approved,3WQ3B2KGE8GS94S29KBBH76CIX51BJ,7,1,4.8125,yes,yes
A16Z9FSSF1X74O,3LCXHSGDLT6OO75N6SNKPW4KPDZEST,0,108,1.375,6.1875,yes,USA,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so I will bring my umbrella.",1655,"Red Forest

Thank you, and have a nice day!",Approved,3XLBSAQ9Z4C22OAK4E8N4Z4SBWO7Z8,5,1,4.8125,NA,no
A171RZ3O028XF6,38B7Q9C28G526DG9R44VWD7HHTC96N,0,54,1.75,5.375,yes,USA,"When I was younger, I would go to school and learn about multiple subjects that were interesting to me.","It's raining tomorrow, so I am going to wear a raincoat and bring my umbrella.",823,Red Forest,Approved,3NPI0JQDAO5VMI5LU8DMIXUWRKBPT1,7,1,3.625,yes,yes
A173A97OFDAX9F,3UUIU9GZC55P7OP9KRZ7V7UTF53T5Q,0,54,1.6,7,yes,USA,"When I was younger, I would go to school and have lunch with my friends","It's raining tomorrow, so we should cancel the traveling plan",445,"nope, thanks",Approved,3VA45EW49NNCSYHBDPGXNR6BPWO1ON,7,1,5.4,yes,yes
A179M1VP5QMHNW,3DWNFENNE3VDX2P4US2TO916H7HJ46,0,54,4.1,4.8,yes,USA,"When I was younger, I would go to school and learn study and i would playin the games in childhood age.i would like to the chocalateand many snakes items in my child hood age after i would complete to my school life enter college level study.i will select to good major and achive my job target my futrue.","It's raining tomorrow, so avoided to go outside and then safe our houses inside.avoide to the cold food and icecreams children.prevention procedudre take in before the rain.",2120,good,Approved,320DUZ38G7MVV2GHFV9VMITVSRXJGM,7,1,0.7,NA,no
