WorkerId,AssignmentId,TrialNum,Answer.Rating,TrialType,Voice,Plausibility,Item,Input.trial
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,1,7,AAR,passive,plausible0,197,The envoy was entertained by the valet.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,2,7,AAR,passive,plausible1,383,The neighbor was snubbed by the newcomer.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,3,7,AAR,active,plausible0,183,The commentator vexed the athlete.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,4,7,AAR,passive,plausible1,263,The protestor was quoted by the leader.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,5,7,AAR,active,plausible1,375,The barrister paid the photographer.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,6,1,AAR,passive,plausible0,379,The mode was humiliated by the fashionista.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,7,7,AAR,active,plausible1,399,The retailer harassed the claims adjuster.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,8,7,AAR,active,plausible0,265,The postal worker repulsed the taxi-driver.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,9,5,AAR,passive,plausible1,207,The actuary was assuaged by the creditor.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,12,7,AI,passive,plausible,285,The button was pressed by the attendant.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,13,1,AI,passive,implausible,63,The woman was prepared by the dinner.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,14,2,AAN,passive,implausible,357,The bailiff was released by the ruffian.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,15,7,AI,passive,plausible,31,The word was mispronounced by the announcer.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,16,7,AAR,passive,plausible0,407,The movie star was favored by the cinematographer.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,17,1,AI,passive,implausible,309,The minuteman was loaded by the gun.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,18,7,AAR,active,plausible0,397,The infantryman upset the loyalist.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,19,7,AAN,passive,plausible,341,The cadet was supervised by the colonel.
A1YH2I4Y2SYAXJ,3OVHNO1VE61IJXBUVRB94REOXJNDZR,20,7,AAN,passive,plausible,173,The gold medalist was praised by the judge.
