SUBJECT,VERB,OBJECT,typicality,mean_rat,std_rat
woman,paint,toenail,T,6.1,1.51
reporter,hold,camera,T,4.5,1.57
programmer,use,computer,T,7,0
mason,mix,cement,T,6.65,0.65
bodybuilder,lift,weight,T,6.45,1.66
lumberjack,use,saw,T,6.15,1.77
tailor,sew,dress,T,6.55,0.59
skier,gain,speed,T,6.75,0.43
jockey,ride,horse,T,6.2,1.47
fighter,kick,opponent,T,5.55,1.77
singer,perform,music,T,6.7,0.56
firefighter,fight,fire,T,7,0
policeman,capture,thief,T,6.8,0.51
farmer,plow,field,T,6.8,0.51
thief,grab,money,T,5,2.21
knight,hold,sword,T,6.5,0.92
sailor,tie,rope,T,6.25,0.7
deejay,mix,music,T,6.65,1.11
athlete,start,match,T,4.15,2.37
librarian,climb,ladder,T,5.1,1.67
photographer,use,camera,T,6.65,1.31
politician,sign,agreement,T,6.35,0.73
magician,read,hand,T,4.4,2.08
doctor,use,stethoscope,T,5.85,1.68
champion,hold,cup,T,6.4,0.86
bartender,shake,drink,T,6.25,1.37
dealer,check,car,T,5.9,0.94
botanist,examine,plant,T,6.55,1.16
porter,stack,suitcase,T,5.5,2.27
carpenter,flip,board,T,6.35,0.91
climber,climb,rock,T,6.8,0.4
electrician,check,device,T,5.35,1.77
skipper,assemble,sailboat,T,3.8,1.83
baker,sell,bread,T,6.45,1.16
driver,hear,horn,T,5.75,1.79
sculptor,carve,stone,T,5.55,1.66
pilot,begin,race,T,4.8,2.23
journalist,write,article,T,6.85,0.36
mother,hold,child,T,6.9,0.3
customer,read,menu,T,5.45,2.29
goalkeeper,throw,ball,T,6.15,1.24
philologist,examine,book,T,6.2,1.25
confectioner,decorate,cake,T,6.05,1.36
sweeper,clean,street,T,6.5,0.92
cobbler,sew,shoe,T,6.6,0.49
surfer,catch,wave,T,7,0
guard,tie,prisoner,T,4.8,2.29
demonstrator,sign,petition,T,5.25,1.97
businessman,read,report,T,6.45,0.67
producer,release,film,T,6.3,1.31
general,win,battle,T,6.1,1.04
horse,pull,cart,T,4.95,1.69
butcher,sell,meat,T,6.95,0.22
professor,write,book,T,5.5,1.43
mechanic,fix,tire,T,6.45,0.86
candidate,celebrate,victory,T,5.9,1.81
footballer,chase,ball,T,5.75,1.95
artist,assemble,art,T,6.35,1.19
astronaut,reach,moon,T,5.4,1.83
engineer,complete,project,T,6.25,1.48
soldier,carry,rifle,T,7,0
terrorist,release,hostage,T,3.45,1.77
killer,pull,trigger,T,6.6,0.58
spectator,buy,ticket,T,6.45,1.32
cheerleader,shake,flag,T,5.15,2.06
painter,decorate,wall,T,6.6,0.58
surgeon,use,lancet,T,4.95,2.25
florist,sell,flower,T,6.15,1.74
player,gain,ball,T,5.45,1.16
nanny,hear,baby,T,6.35,1.35
teacher,help,child,T,6.1,1.45
barber,cut,hair,T,6.65,1.11
violinist,wear,tuxedo,T,5.9,0.89
child,throw,snowball,T,5.95,1.2
mover,move,furniture,T,4.9,2.43
referee,move,ball,T,5.05,2.18
waiter,open,bottle,T,6.25,0.99
dog,chase,ball,T,6.5,0.67
hairstylist,flip,hair,T,6.35,0.65
cook,cut,fish,T,5.75,1.37
musician,read,music,T,6.35,1.39
passenger,buy,ticket,T,6.5,1.16
guest,hang,coat,T,5.2,1.89
student,wear,glasses,T,6,0.89
barber,use,razor,T,6.55,1.02
waiter,clear,bar,T,6.05,1.5
player,enjoy,game,T,6.65,0.79
passenger,pass,check,T,3.75,1.79
mother,prepare,food,T,6.4,0.92
animal,find,food,T,5.85,1.85
pyromaniac,start,fire,T,6.2,1.47
dog,carry,ball,T,6,1.38
pilot,win,race,T,4.8,2.14
soldier,dig,trench,T,5.15,2.26
general,gather,soldier,T,5.9,1.87
demonstrator,carry,flag,T,5.85,1.24
astronaut,touch,ground,T,4.8,2.11
housemaid,clean,window,T,6.65,0.57
cyclist,ride,bike,T,6.5,1.5
waiter,mix,drink,T,5.4,1.53
waiter,hold,bottle,T,6.15,1.39
hairstylist,fix,hair,T,6.85,0.36
player,touch,base,T,5.5,1.32
biker,wear,helmet,T,6.8,0.51
soldier,reach,trench,T,6.25,0.89
musician,hold,guitar,T,6.55,0.5
truck,hit,car,T,4,1.7
spectator,enjoy,game,T,6.05,1.47
footballer,kick,ball,T,6.6,1.07
chemist,sell,drug,T,4.45,2.48
receiver,catch,baseball,T,4.75,2.28
mother,push,stroller,T,6.1,1.41
skater,ride,skateboard,T,6.25,1.55
student,drink,coffee,T,4.95,1.66
painter,mix,paint,T,6.35,1.59
child,chase,toy,T,6.1,1.34
comedian,entertain,audience,T,6.35,1.65
musician,entertain,crowd,T,6.4,1.16
woman,carry,bag,T,6.25,0.83
cook,flip,pancake,T,6.3,0.9
musician,touch,instrument,T,6.4,1.36
singer,hold,microphone,T,6.55,1.16
porter,carry,bag,T,5.1,2.53
guest,hold,drink,T,5.3,1.42
cameraman,record,video,T,6.85,0.48
biker,start,motorcycle,T,6.15,1.8
gardener,gather,grass,T,5.65,1.74
dog,dig,hole,T,6.5,0.74
refugee,find,shelter,T,6,1.55
lumberjack,cut,tree,T,6.55,1.32
policeman,check,bag,T,5.55,1.5
player,begin,match,T,5.7,1.49
painter,complete,painting,T,6.35,1.49
cat,chase,bird,T,5.85,1.39
child,visit,grandmother,T,5.95,1.72
programmer,describe,software,T,5.55,1.63
child,draw,flower,T,4.95,1.72
poet,write,sonet,T,5.8,1.33
president,deliver,speech,T,6.8,0.4
climber,face,wall,T,5.5,2.04
child,pick,flower,T,5.4,1.46
dog,pull,sled,T,5.05,1.86
mother,decorate,house,T,6.45,1.07
model,face,camera,T,6.9,0.3
artist,hang,picture,T,5.5,1.63
roofer,climb,ladder,T,6.6,1.02
child,cut,paper,T,5.35,1.53
mason,build,house,T,6.45,0.74
guide,describe,monument,T,5.9,1.58
child,grab,frisbee,T,4.95,1.47
tourist,visit,museum,T,5.95,1.32
mechanic,assemble,bicycle,T,4.5,2.09
cyclist,complete,race,T,6.25,1.22
child,eat,candy,T,6.35,0.73
chemist,mix,substance,T,6.85,0.36
assistant,help,cook,T,5.25,1.34
singer,record,song,T,6.8,0.51
butcher,use,knife,T,6.35,1.42
doctor,help,woman,T,6.1,1.22
sailor,mop,deck,T,4.6,2.37
soldier,fight,enemy,T,5.95,1.43
veterinarian,examine,dog,T,6.85,0.36
horse,draw,carriage,T,4.05,2.65
swimmer,wear,goggles,T,6.2,1.4
archer,release,arrow,T,6.6,0.92
mechanic,check,tire,T,6.7,0.56
scoutmaster,assemble,tent,T,4.7,2.24
policeman,fight,crime,T,6.4,0.86
painter,sign,paint,T,5.9,1.87
actor,win,award,T,5.8,1.03
housemaid,wash,floor,T,6.8,0.51
carver,build,sculpture,T,6.05,1.77
guard,open,jail,T,6.5,0.81
secretary,write,note,T,6.45,0.86
cook,buy,food,T,5.1,2.17
student,begin,trip,T,3.5,1.8
cook,check,grocery,T,6.2,1.21
cook,mix,ingredient,T,6.15,1.59
surfer,ride,wave,T,6.2,1.44
spectator,hear,speech,T,4.4,1.83
tourist,ride,camel,T,4.55,1.47
illustrator,draw,picture,T,6.3,1.65
student,pass,exam,T,6.35,0.91
cook,clean,fish,T,6.1,0.77
gardener,cut,grass,T,6.5,0.74
carpenter,fix,chair,T,5.55,1.43
businessman,tie,necktie,T,6.5,0.67
lumberjack,stack,wood,T,6.75,0.54
truck,plow,snow,T,4.65,1.85
soldier,gather,ammunition,T,6.25,1.34
nurse,push,wheelchair,T,5.9,1.37
teenager,hear,music,T,6.4,1.16
footballer,hit,ball,T,6.05,1.77
soldier,use,knife,T,5.05,1.6
sailor,face,ocean,T,6.75,0.43
horse,move,cart,T,4.3,2.05
illusionist,perform,trick,T,5.05,2.58
monkey,grab,banana,T,6.15,1.42
pilot,start,race,T,2.95,1.99
singer,begin,performance,T,6.5,1.02
fisherman,check,net,T,6.15,1.77
cobbler,fix,shoe,T,6.25,1.18
policeman,hit,demonstrator,T,4.75,1.79
speleologist,examine,cave,T,6,1.76
burglar,climb,wall,T,6.05,1.43
fisherman,catch,fish,T,6.45,1.12
student,wear,jeans,T,5.6,1.24
librarian,stack,book,T,6.5,0.67
cyclist,fix,bike,T,6.1,0.89
nurse,wash,infant,T,6.45,0.8
child,enjoy,ride,T,6.7,0.56
mason,fix,roof,T,4.15,2.2
dog,eat,bone,T,6.25,1.34
binman,pick,trash,T,5.35,2.17
businessman,wear,tie,T,6.55,1.12
farmer,pick,vegetable,T,5.8,1.57
child,climb,tree,T,5.2,1.21
mother,hang,laundry,T,5.8,1.96
woman,open,bag,T,6.45,0.8
cat,drink,milk,T,5.6,1.53
coach,check,team,T,6.95,0.22
footballer,deliver,kick,T,5.9,1.81
surfer,wear,swimsuit,T,6.25,1.18
hairstylist,wash,hair,T,6.15,0.96
student,read,book,T,6.6,0.8
child,cross,park,T,5.55,1.86
student,hear,lecture,T,6.75,0.54
doctor,sew,wound,T,5.65,1.42
author,sign,book,T,6.15,1.35
passenger,pull,suitcase,T,5.6,1.59
waiter,clear,table,T,6.25,1.41
nanny,watch,child,T,6.35,1.39
boxer,deliver,punch,T,6.15,1.65
speaker,entertain,audience,T,5.9,1.45
baker,gather,bread,T,6.3,1.14
soldier,celebrate,victory,T,5.2,1.75
soldier,wear,helmet,T,6.5,0.81
photographer,examine,camera,T,6.7,0.56
dog,catch,ball,T,5.65,1.71
housewife,clean,table,T,6.3,1.35
ant,stack,supply,T,4.4,2.42
soldier,gather,flag,T,4.7,1.85
snowboarder,flip,board,T,6.6,0.58
policeman,push,demonstrator,T,4.6,2.2
waiter,deliver,drink,T,6.35,1.53
goalkeeper,catch,ball,T,6,1.34
gardener,decorate,garden,T,6.3,1.05
undertaker,dig,grave,T,4.15,1.98
singer,start,concert,T,5.4,2.35
student,throw,frisbee,T,4.7,1.73
milkman,carry,bottle,T,6.7,0.46
child,visit,zoo,T,6.3,1
doctor,visit,patient,T,6.05,1.53
soldier,hang,rifle,T,5.8,1.75
