,sentence,typicality,rating
0,The actor won the battle.,AT,2.6
1,The actor won the award.,T,5.8
2,The anchorman told the parable.,AT,3.0
3,The anchorman told the news.,T,6.75
4,The animal found the map.,AT,2.0
5,The animal found the food.,T,5.85
6,The ant stacked the suitcase.,AT,1.95
7,The ant stacked the supply.,T,4.4
8,The archeologist examined the dog.,AT,1.6
9,The archeologist examined the epigraph.,T,5.5
10,The archer released the interview.,AT,2.5
11,The archer released the arrow.,T,6.6
12,The artist assembled the tent.,AT,2.0
13,The artist assembled the art.,T,6.35
14,The artist hung the motorcycle.,AT,1.95
15,The artist hung the picture.,T,5.5
16,The assistant helped the soldier.,AT,2.8
17,The assistant helped the cook.,T,5.25
18,The astronaut reached the baker.,AT,2.35
19,The astronaut reached the moon.,T,5.4
20,The astronaut touched the guitar.,AT,2.0
21,The astronaut touched the ground.,T,4.8
22,The athlete celebrated the marriage.,AT,3.1
23,The athlete celebrated the victory.,T,6.65
24,The athlete started the vacuum.,AT,3.45
25,The athlete started the match.,T,4.15
26,The athlete won the toy.,AT,3.15
27,The athlete won the cup.,T,5.15
28,The author signed the check.,AT,3.4
29,The author signed the book.,T,6.15
30,The baker gathered the soldier.,AT,1.0
31,The baker gathered the bread.,T,6.3
32,The baker sold the stroller.,AT,2.05
33,The baker sold the bread.,T,6.45
34,The bank assigned the book.,AT,2.1
35,The bank assigned the code.,T,6.15
36,The barber cut the cake.,AT,2.1
37,The barber cut the hair.,T,6.65
38,The barber used the microscope.,AT,1.2
39,The barber used the razor.,T,6.55
40,The bartender handed the lancet.,AT,1.4
41,The bartender handed the drink.,T,6.55
42,The bartender shook the flag.,AT,2.05
43,The bartender shook the drink.,T,6.25
44,The beautician spread the paint.,AT,2.9
45,The beautician spread the cream.,T,5.2
46,The biker started the lesson.,AT,3.4
47,The biker started the motorcycle.,T,6.15
48,The biker wore the swimsuit.,AT,2.1
49,The biker wore the helmet.,T,6.8
50,The billionaire donated the book.,AT,4.15
51,The billionaire donated the money.,T,6.2
52,The binman collected the flower.,AT,3.05
53,The binman collected the trash.,T,5.35
54,The biologist used the razor.,AT,3.3
55,The biologist used the microscope.,T,6.7
56,The blacksmith poured the wine.,AT,1.6
57,The blacksmith poured the metal.,T,6.5
58,The bodybuilder lifted the flag.,AT,3.1
59,The bodybuilder lifted the weight.,T,6.45
60,The boss assigned the medal.,AT,3.0
61,The boss assigned the job.,T,6.75
62,The boss promised the heaven.,AT,2.25
63,The boss promised the promotion.,T,5.95
64,The botanist examined the tire.,AT,3.0
65,The botanist examined the plant.,T,6.55
66,The boxer delivered the drink.,AT,2.2
67,The boxer delivered the punch.,T,6.15
68,The breeder sold the cigarette.,AT,1.9
69,The breeder sold the dog.,T,6.25
70,The burglar climbed the rock.,AT,2.75
71,The burglar climbed the wall.,T,6.05
72,The businessman read the fable.,AT,2.35
73,The businessman read the report.,T,6.45
74,The businessman tied the prisoner.,AT,1.45
75,The businessman tied the necktie.,T,6.5
76,The businessman wore the uniform.,AT,4.15
77,The businessman wore the tie.,T,6.55
78,The butcher carved the stone.,AT,2.3
79,The butcher carved the meat.,T,5.75
80,The butcher cut the tree.,AT,1.8
81,The butcher cut the meat.,T,6.75
82,The butcher sold the weapon.,AT,1.6
83,The butcher sold the meat.,T,6.95
84,The butcher used the camera.,AT,2.05
85,The butcher used the knife.,T,6.35
86,The cameraman recorded the sale.,AT,2.45
87,The cameraman recorded the video.,T,6.85
88,The candidate celebrated the holiday.,AT,5.0
89,The candidate celebrated the victory.,T,5.9
90,The carpenter fixed the shoe.,AT,1.2
91,The carpenter fixed the chair.,T,5.55
92,The carpenter flipped the hair.,AT,3.1
93,The carpenter flipped the board.,T,6.35
94,The carpenter grabbed the ball.,AT,1.25
95,The carpenter grabbed the board.,T,5.85
96,The carver built the house.,AT,2.9
97,The carver built the sculpture.,T,6.05
98,The cat chased the kite.,AT,3.9
99,The cat chased the bird.,T,5.85
100,The cat drank the coffee.,AT,1.45
101,The cat drank the milk.,T,5.6
102,The champion held the guitar.,AT,2.95
103,The champion held the cup.,T,6.4
104,The chauffeur carried the rifle.,AT,2.1
105,The chauffeur carried the passenger.,T,6.65
106,The cheerleader carried the rifle.,AT,2.2
107,The cheerleader carried the flag.,T,5.2
