,Dataset,Model,Layer,Iteration,Accuracy
0,DTFit,bert-large-cased,1,1,0.5
1,DTFit,bert-large-cased,1,2,0.5
2,DTFit,bert-large-cased,1,3,0.5
3,DTFit,bert-large-cased,1,4,0.5
4,DTFit,bert-large-cased,1,5,0.5
5,DTFit,bert-large-cased,1,6,0.5
6,DTFit,bert-large-cased,1,7,0.5
7,DTFit,bert-large-cased,1,8,0.5
8,DTFit,bert-large-cased,1,9,0.5
9,DTFit,bert-large-cased,1,10,0.5
10,DTFit,bert-large-cased,2,1,0.6666666666666666
11,DTFit,bert-large-cased,2,2,0.5833333333333334
12,DTFit,bert-large-cased,2,3,0.675
13,DTFit,bert-large-cased,2,4,0.6583333333333333
14,DTFit,bert-large-cased,2,5,0.6083333333333333
15,DTFit,bert-large-cased,2,6,0.5916666666666667
16,DTFit,bert-large-cased,2,7,0.6083333333333333
17,DTFit,bert-large-cased,2,8,0.5916666666666667
18,DTFit,bert-large-cased,2,9,0.65
19,DTFit,bert-large-cased,2,10,0.625
20,DTFit,bert-large-cased,3,1,0.6916666666666667
21,DTFit,bert-large-cased,3,2,0.6
22,DTFit,bert-large-cased,3,3,0.7
23,DTFit,bert-large-cased,3,4,0.6583333333333333
24,DTFit,bert-large-cased,3,5,0.6
25,DTFit,bert-large-cased,3,6,0.6583333333333333
26,DTFit,bert-large-cased,3,7,0.575
27,DTFit,bert-large-cased,3,8,0.6
28,DTFit,bert-large-cased,3,9,0.6
29,DTFit,bert-large-cased,3,10,0.6416666666666667
30,DTFit,bert-large-cased,4,1,0.7166666666666667
31,DTFit,bert-large-cased,4,2,0.6833333333333333
32,DTFit,bert-large-cased,4,3,0.65
33,DTFit,bert-large-cased,4,4,0.625
34,DTFit,bert-large-cased,4,5,0.725
35,DTFit,bert-large-cased,4,6,0.6583333333333333
36,DTFit,bert-large-cased,4,7,0.6916666666666667
37,DTFit,bert-large-cased,4,8,0.7166666666666667
38,DTFit,bert-large-cased,4,9,0.6583333333333333
39,DTFit,bert-large-cased,4,10,0.7166666666666667
40,DTFit,bert-large-cased,5,1,0.6416666666666667
41,DTFit,bert-large-cased,5,2,0.575
42,DTFit,bert-large-cased,5,3,0.65
43,DTFit,bert-large-cased,5,4,0.625
44,DTFit,bert-large-cased,5,5,0.65
45,DTFit,bert-large-cased,5,6,0.6416666666666667
46,DTFit,bert-large-cased,5,7,0.6833333333333333
47,DTFit,bert-large-cased,5,8,0.6
48,DTFit,bert-large-cased,5,9,0.6416666666666667
49,DTFit,bert-large-cased,5,10,0.6416666666666667
50,DTFit,bert-large-cased,6,1,0.6916666666666667
51,DTFit,bert-large-cased,6,2,0.7166666666666667
52,DTFit,bert-large-cased,6,3,0.6416666666666667
53,DTFit,bert-large-cased,6,4,0.6666666666666666
54,DTFit,bert-large-cased,6,5,0.6666666666666666
55,DTFit,bert-large-cased,6,6,0.5916666666666667
56,DTFit,bert-large-cased,6,7,0.625
57,DTFit,bert-large-cased,6,8,0.6916666666666667
58,DTFit,bert-large-cased,6,9,0.7083333333333334
59,DTFit,bert-large-cased,6,10,0.6166666666666667
60,DTFit,bert-large-cased,7,1,0.6166666666666667
61,DTFit,bert-large-cased,7,2,0.725
62,DTFit,bert-large-cased,7,3,0.6583333333333333
63,DTFit,bert-large-cased,7,4,0.7083333333333334
64,DTFit,bert-large-cased,7,5,0.7166666666666667
65,DTFit,bert-large-cased,7,6,0.575
66,DTFit,bert-large-cased,7,7,0.7
67,DTFit,bert-large-cased,7,8,0.7083333333333334
68,DTFit,bert-large-cased,7,9,0.7
69,DTFit,bert-large-cased,7,10,0.7166666666666667
70,DTFit,bert-large-cased,8,1,0.6916666666666667
71,DTFit,bert-large-cased,8,2,0.7333333333333333
72,DTFit,bert-large-cased,8,3,0.725
73,DTFit,bert-large-cased,8,4,0.75
74,DTFit,bert-large-cased,8,5,0.7166666666666667
75,DTFit,bert-large-cased,8,6,0.6916666666666667
76,DTFit,bert-large-cased,8,7,0.725
77,DTFit,bert-large-cased,8,8,0.6666666666666666
78,DTFit,bert-large-cased,8,9,0.6916666666666667
79,DTFit,bert-large-cased,8,10,0.675
80,DTFit,bert-large-cased,9,1,0.8
81,DTFit,bert-large-cased,9,2,0.775
82,DTFit,bert-large-cased,9,3,0.7333333333333333
83,DTFit,bert-large-cased,9,4,0.7333333333333333
84,DTFit,bert-large-cased,9,5,0.7583333333333333
85,DTFit,bert-large-cased,9,6,0.7583333333333333
