,Sentence,ItemNum,Score,Metric,NormScore,Plausibility,Voice,TrialType,agent_freq,patient_freq,sentence_freq,verb_freq,agent_freq_norm,patient_freq_norm,verb_freq_norm,sentence_freq_norm,Experiment,SynonymPair,NumSyn,LowerBetter,FinalNormScore
48,The raider caught the illness.,1,5.545454545454549,human,0.7575757575757579,1,active,AI,6.871091295,9.653614941,10.84245888,8.193953023999999,-0.749245679117755,0.67513049931876,-1.5960601321433898,-0.384066123950343,EventsAdapt,1.0,Version1,False,0.7575757575757579
49,The illness caught the raider.,1,3.0833333333333304,human,0.347222222222222,0,active,AI,9.653614941,6.871091295,10.84245888,8.193953023999999,0.67513049931876,-0.749245679117755,-1.5960601321433898,-0.384066123950343,EventsAdapt,1.0,Version1,False,0.347222222222222
50,The illness was caught by the raider.,1,5.33333333333333,human,0.7222222222222221,1,passive,AI,6.871091295,9.653614941,11.34340742,8.193953023999999,-0.749245679117755,0.67513049931876,-1.5960601321433898,0.493100665420287,EventsAdapt,1.0,Version1,False,0.7222222222222221
51,The raider was caught by the illness.,1,2.5416666666666696,human,0.256944444444444,0,passive,AI,9.653614941,6.871091295,11.34340742,8.193953023999999,0.67513049931876,-0.749245679117755,-1.5960601321433898,0.493100665420287,EventsAdapt,1.0,Version1,False,0.256944444444444
148,The marauder contracted the disease.,2,5.68,human,0.78,1,active,AI,7.11395611,11.07652681,11.10449228,11.49012756,-0.6249229774711109,1.40352027351951,1.27164246041395,0.0747574434082328,EventsAdapt,1.0,Version2,False,0.78
149,The disease contracted the marauder.,2,1.44,human,0.0733333333333333,0,active,AI,11.07652681,7.11395611,11.10449228,11.49012756,1.40352027351951,-0.6249229774711109,1.27164246041395,0.0747574434082328,EventsAdapt,1.0,Version2,False,0.0733333333333333
150,The disease was contracted by the marauder.,2,5.875,human,0.8125,1,passive,AI,7.11395611,11.07652681,11.53057413,11.49012756,-0.6249229774711109,1.40352027351951,1.27164246041395,0.820831777457789,EventsAdapt,1.0,Version2,False,0.8125
151,The marauder was contracted by the disease.,2,1.8181818181818201,human,0.136363636363636,0,passive,AI,11.07652681,7.11395611,11.53057413,11.49012756,1.40352027351951,-0.6249229774711109,1.27164246041395,0.820831777457789,EventsAdapt,1.0,Version2,False,0.136363636363636
248,The convict dreaded the prison.,3,6.20833333333333,human,0.868055555555555,1,active,AI,10.38263673,10.92222656,11.60318838,9.995793223,1.0483173620092199,1.3245338466682,-0.0284423517097136,0.9479801838291441,EventsAdapt,2.0,Version1,False,0.868055555555555
249,The prison dreaded the convict.,3,4.31818181818182,human,0.553030303030303,0,active,AI,10.92222656,10.38263673,11.60318838,9.995793223,1.3245338466682,1.0483173620092199,-0.0284423517097136,0.9479801838291441,EventsAdapt,2.0,Version1,False,0.553030303030303
250,The prison was dreaded by the convict.,3,5.5,human,0.75,1,passive,AI,10.38263673,10.92222656,11.88678563,9.995793223,1.0483173620092199,1.3245338466682,-0.0284423517097136,1.4445623063298703,EventsAdapt,2.0,Version1,False,0.75
251,The convict was dreaded by the prison.,3,2.92592592592593,human,0.320987654320988,0,passive,AI,10.92222656,10.38263673,11.88678563,9.995793223,1.3245338466682,1.0483173620092199,-0.0284423517097136,1.4445623063298703,EventsAdapt,2.0,Version1,False,0.320987654320988
348,The criminal feared the jail.,4,6.64,human,0.94,1,active,AI,10.07483242,9.992276515,11.50477123,11.13217736,0.8907520786326211,0.848491641909896,0.9602224475064692,0.775650595874843,EventsAdapt,2.0,Version2,False,0.94
349,The jail feared the criminal.,4,1.6666666666666698,human,0.111111111111111,0,active,AI,9.992276515,10.07483242,11.50477123,11.13217736,0.848491641909896,0.8907520786326211,0.9602224475064692,0.775650595874843,EventsAdapt,2.0,Version2,False,0.111111111111111
350,The jail was feared by the criminal.,4,4.36363636363636,human,0.5606060606060611,1,passive,AI,10.07483242,9.992276515,11.81648766,11.13217736,0.8907520786326211,0.848491641909896,0.9602224475064692,1.3214697334995902,EventsAdapt,2.0,Version2,False,0.5606060606060611
351,The criminal was feared by the jail.,4,3.2,human,0.3666666666666671,0,passive,AI,9.992276515,10.07483242,11.81648766,11.13217736,0.848491641909896,0.8907520786326211,0.9602224475064692,1.3214697334995902,EventsAdapt,2.0,Version2,False,0.3666666666666671
448,The prostitute squandered the cash.,5,6.703703703703701,human,0.9506172839506171,1,active,AI,8.633196867,10.36741023,11.00991983,8.718990525,0.15277763495367902,1.04052290394158,-1.1392726087998402,-0.0908400295965102,EventsAdapt,3.0,Version1,False,0.9506172839506171
449,The cash squandered the prostitute.,5,1.29166666666667,human,0.0486111111111111,0,active,AI,10.36741023,8.633196867,11.00991983,8.718990525,1.04052290394158,0.15277763495367902,-1.1392726087998402,-0.0908400295965102,EventsAdapt,3.0,Version1,False,0.0486111111111111
450,The cash was squandered by the prostitute.,5,6.0,human,0.833333333333333,1,passive,AI,8.633196867,10.36741023,11.46302238,8.718990525,0.15277763495367902,1.04052290394158,-1.1392726087998402,0.702547868168689,EventsAdapt,3.0,Version1,False,0.833333333333333
