,Dataset,Model,Layer,Iteration,Accuracy,Plot
0,DTFit,bert-large-cased,1,1,0.5,BERT DTFit
1,DTFit,bert-large-cased,1,2,0.5,BERT DTFit
2,DTFit,bert-large-cased,1,3,0.5,BERT DTFit
3,DTFit,bert-large-cased,1,4,0.5,BERT DTFit
4,DTFit,bert-large-cased,1,5,0.5,BERT DTFit
5,DTFit,bert-large-cased,1,6,0.5,BERT DTFit
6,DTFit,bert-large-cased,1,7,0.5,BERT DTFit
7,DTFit,bert-large-cased,1,8,0.5,BERT DTFit
8,DTFit,bert-large-cased,1,9,0.5,BERT DTFit
9,DTFit,bert-large-cased,1,10,0.5,BERT DTFit
10,DTFit,bert-large-cased,2,1,0.6666666666666666,BERT DTFit
11,DTFit,bert-large-cased,2,2,0.5833333333333334,BERT DTFit
12,DTFit,bert-large-cased,2,3,0.675,BERT DTFit
13,DTFit,bert-large-cased,2,4,0.6583333333333333,BERT DTFit
14,DTFit,bert-large-cased,2,5,0.6083333333333333,BERT DTFit
15,DTFit,bert-large-cased,2,6,0.5916666666666667,BERT DTFit
16,DTFit,bert-large-cased,2,7,0.6083333333333333,BERT DTFit
17,DTFit,bert-large-cased,2,8,0.5916666666666667,BERT DTFit
18,DTFit,bert-large-cased,2,9,0.65,BERT DTFit
19,DTFit,bert-large-cased,2,10,0.625,BERT DTFit
20,DTFit,bert-large-cased,3,1,0.6916666666666667,BERT DTFit
21,DTFit,bert-large-cased,3,2,0.6,BERT DTFit
22,DTFit,bert-large-cased,3,3,0.7,BERT DTFit
23,DTFit,bert-large-cased,3,4,0.6583333333333333,BERT DTFit
24,DTFit,bert-large-cased,3,5,0.6,BERT DTFit
25,DTFit,bert-large-cased,3,6,0.6583333333333333,BERT DTFit
26,DTFit,bert-large-cased,3,7,0.575,BERT DTFit
27,DTFit,bert-large-cased,3,8,0.6,BERT DTFit
28,DTFit,bert-large-cased,3,9,0.6,BERT DTFit
29,DTFit,bert-large-cased,3,10,0.6416666666666667,BERT DTFit
30,DTFit,bert-large-cased,4,1,0.7166666666666667,BERT DTFit
31,DTFit,bert-large-cased,4,2,0.6833333333333333,BERT DTFit
32,DTFit,bert-large-cased,4,3,0.65,BERT DTFit
33,DTFit,bert-large-cased,4,4,0.625,BERT DTFit
34,DTFit,bert-large-cased,4,5,0.725,BERT DTFit
35,DTFit,bert-large-cased,4,6,0.6583333333333333,BERT DTFit
36,DTFit,bert-large-cased,4,7,0.6916666666666667,BERT DTFit
37,DTFit,bert-large-cased,4,8,0.7166666666666667,BERT DTFit
38,DTFit,bert-large-cased,4,9,0.6583333333333333,BERT DTFit
39,DTFit,bert-large-cased,4,10,0.7166666666666667,BERT DTFit
40,DTFit,bert-large-cased,5,1,0.6416666666666667,BERT DTFit
41,DTFit,bert-large-cased,5,2,0.575,BERT DTFit
42,DTFit,bert-large-cased,5,3,0.65,BERT DTFit
43,DTFit,bert-large-cased,5,4,0.625,BERT DTFit
44,DTFit,bert-large-cased,5,5,0.65,BERT DTFit
45,DTFit,bert-large-cased,5,6,0.6416666666666667,BERT DTFit
46,DTFit,bert-large-cased,5,7,0.6833333333333333,BERT DTFit
47,DTFit,bert-large-cased,5,8,0.6,BERT DTFit
48,DTFit,bert-large-cased,5,9,0.6416666666666667,BERT DTFit
49,DTFit,bert-large-cased,5,10,0.6416666666666667,BERT DTFit
50,DTFit,bert-large-cased,6,1,0.6916666666666667,BERT DTFit
51,DTFit,bert-large-cased,6,2,0.7166666666666667,BERT DTFit
52,DTFit,bert-large-cased,6,3,0.6416666666666667,BERT DTFit
53,DTFit,bert-large-cased,6,4,0.6666666666666666,BERT DTFit
54,DTFit,bert-large-cased,6,5,0.6666666666666666,BERT DTFit
55,DTFit,bert-large-cased,6,6,0.5916666666666667,BERT DTFit
56,DTFit,bert-large-cased,6,7,0.625,BERT DTFit
57,DTFit,bert-large-cased,6,8,0.6916666666666667,BERT DTFit
58,DTFit,bert-large-cased,6,9,0.7083333333333334,BERT DTFit
59,DTFit,bert-large-cased,6,10,0.6166666666666667,BERT DTFit
60,DTFit,bert-large-cased,7,1,0.6166666666666667,BERT DTFit
61,DTFit,bert-large-cased,7,2,0.725,BERT DTFit
62,DTFit,bert-large-cased,7,3,0.6583333333333333,BERT DTFit
63,DTFit,bert-large-cased,7,4,0.7083333333333334,BERT DTFit
64,DTFit,bert-large-cased,7,5,0.7166666666666667,BERT DTFit
65,DTFit,bert-large-cased,7,6,0.575,BERT DTFit
66,DTFit,bert-large-cased,7,7,0.7,BERT DTFit
67,DTFit,bert-large-cased,7,8,0.7083333333333334,BERT DTFit
68,DTFit,bert-large-cased,7,9,0.7,BERT DTFit
69,DTFit,bert-large-cased,7,10,0.7166666666666667,BERT DTFit
70,DTFit,bert-large-cased,8,1,0.6916666666666667,BERT DTFit
71,DTFit,bert-large-cased,8,2,0.7333333333333333,BERT DTFit
72,DTFit,bert-large-cased,8,3,0.725,BERT DTFit
73,DTFit,bert-large-cased,8,4,0.75,BERT DTFit
74,DTFit,bert-large-cased,8,5,0.7166666666666667,BERT DTFit
75,DTFit,bert-large-cased,8,6,0.6916666666666667,BERT DTFit
76,DTFit,bert-large-cased,8,7,0.725,BERT DTFit
77,DTFit,bert-large-cased,8,8,0.6666666666666666,BERT DTFit
78,DTFit,bert-large-cased,8,9,0.6916666666666667,BERT DTFit
