0,The deckhand was unlocked by the door.,The adventurer was requested by the beverage.,The supervisor was supplied by the liquor.,The teacher was bought by the laptop.,The crackhead was smoked by the pipe.,The bellboy was erased by the message.,The crackhead was smoked by the pipe.,The teacher was bought by the laptop.,The bum was stolen by the necklace.,The supervisor was supplied by the liquor.,The boyfriend was basted by the turkey.,The house sitter was watered by the plant.,The traveler was lost by the souvenir.,The patient was swallowed by the medicine.,The woodworker was skimmed by the brochure.,The crackhead was smoked by the pipe.,The archaeologist was canceled by the trip.,The supervisor was supplied by the liquor.,The travel-agent was photocopied by the passport.,The marcher was sung by the anthem.,The potter was molded by the clay.,The forger was shipped by the package.,The cook was grilled by the octopus.,The meat-eater was devoured by the filet.,The instructor was purchased by the computer.,The serviceman was hoisted by the flag.,The archaeologist was canceled by the trip.,The woodworker was skimmed by the brochure.,The minuteman was loaded by the gun.,The instructor was purchased by the computer.,The villager was cultivated by the crop.,The father was pampered by the infant.,The house sitter was watered by the plant.,The archaeologist was canceled by the trip.,The voter was sealed by the envelope.,The attendant was pressed by the button.,The author was finished by the novel.,The cook was grilled by the octopus.,The marcher was sung by the anthem.,The overseer was provided by the alcohol.,The woman was prepared by the dinner.,The deckhand was unlocked by the door.,The uncle was hung by the ornament.,The winemaker was uncorked by the bottle.,The archaeologist was canceled by the trip.,The villager was cultivated by the crop.,The doctor was closed by the school.,The adventurer was requested by the beverage.,The overseer was provided by the alcohol.,The woodworker was skimmed by the brochure.
1,The carnivore was eaten by the steak.,The man was drunk by the soda.,The representative was given by the address.,The instructor was purchased by the computer.,The shark was mauled by the snorkeler.,The travel-agent was photocopied by the passport.,The patient was swallowed by the medicine.,The doctor was closed by the school.,The teacher was bought by the laptop.,The overseer was provided by the alcohol.,The servant was wiped by the sink.,The cellist was received by the prize.,The shark was mauled by the snorkeler.,The manicurist was rescheduled by the appointment.,The chef was sauteed by the squid.,The travel-agent was photocopied by the passport.,The announcer was mispronounced by the word.,The woodworker was skimmed by the brochure.,The traveler was lost by the souvenir.,The chef was sauteed by the squid.,The secretary was organized by the desk.,The nutritionist was detested by the marmalade.,The manicurist was rescheduled by the appointment.,The traveler was lost by the souvenir.,The scientist was discovered by the cure.,The tanner was placed by the order.,The reporter was abandoned by the story.,The soldier was raised by the banner.,The cellist was received by the prize.,The man was drunk by the soda.,The father was pampered by the infant.,The robber was burgled by the industrialist.,The scientist was discovered by the cure.,The teacher was bought by the laptop.,The researcher was found by the remedy.,The woman was prepared by the dinner.,The boss was fired by the worker.,The shark was mauled by the snorkeler.,The congressman was delivered by the speech.,The aviator was maneuvered by the jet.,The teacher was bought by the laptop.,The author was finished by the novel.,The humorist was verified by the schedule.,The owner was evicted by the tenant.,The friend was donned by the pullover.,The Frenchman was sliced by the baguette.,The uncle was hung by the ornament.,The sightseer was misplaced by the memento.,The shark was mauled by the snorkeler.,The president was pardoned by the traitor.
2,The representative was given by the address.,The marine was packed by the bag.,The travel-agent was photocopied by the passport.,The crackhead was smoked by the pipe.,The reporter was abandoned by the story.,The operative was blown by the assignment.,The crackhead was smoked by the pipe.,The archaeologist was canceled by the trip.,The mentor was revised by the manuscript.,The researcher was found by the remedy.,The policewoman was handcuffed by the offender.,The bellboy was erased by the message.,The serviceman was hoisted by the flag.,The marine was packed by the bag.,The sheriff was inspected by the estate.,The serviceman was hoisted by the flag.,The journalist was ditched by the article.,The doctor was closed by the school.,The man was drunk by the soda.,The agent was failed by the mission.,The villager was cultivated by the crop.,The call girl was wasted by the money.,The supervisor was supplied by the liquor.,The reporter was abandoned by the story.,The crackhead was smoked by the pipe.,The archaeologist was canceled by the trip.,The marcher was sung by the anthem.,The groundskeeper was changed by the light bulb.,The accountant was made by the chart.,The doctor was closed by the school.,The cardiologist was discredited by the quack.,The producer was cast by the actress.,The accountant was made by the chart.,The handyman was repaired by the faucet.,The groundskeeper was changed by the light bulb.,The bookseller was calculated by the profit.,The cellist was received by the prize.,The policewoman was handcuffed by the offender.,The owner was evicted by the tenant.,The man was drunk by the soda.,The aviator was maneuvered by the jet.,The president was pardoned by the traitor.,The policewoman was handcuffed by the offender.,The overseer was provided by the alcohol.,The reporter was abandoned by the story.,The serviceman was hoisted by the flag.,The marcher was sung by the anthem.,The producer was cast by the actress.,The jury was acquitted by the economist.,The overseer was provided by the alcohol.
3,The undertaker was prepared by the funeral.,The announcer was mispronounced by the word.,The seamstress was ironed by the shirt.,The policeman was subdued by the rabble-rouser.,The zookeeper was fed by the giraffe.,The receptionist was tidied by the table.,The guard was apprehended by the prisoner.,The scientist was discovered by the cure.,The manicurist was rescheduled by the appointment.,The instructor was purchased by the computer.,The doctor was closed by the school.,The schoolgirl was borrowed by the key.,The financier was sponsored by the project.,The carnivore was eaten by the steak.,The father was pampered by the infant.,The owner was evicted by the tenant.,The sightseer was misplaced by the memento.,The cellist was received by the prize.,The author was finished by the novel.,The producer was cast by the actress.,The patient was swallowed by the medicine.,The supervisor was supplied by the liquor.,The cellist was received by the prize.,The father was pampered by the infant.,The traveler was lost by the souvenir.,The overseer was provided by the alcohol.,The supervisor was supplied by the liquor.,The carnivore was eaten by the steak.,The teacher was bought by the laptop.,The robber was burgled by the industrialist.,The aviator was maneuvered by the jet.,The woodworker was skimmed by the brochure.,The father was pampered by the infant.,The man was drunk by the soda.,The scientist was discovered by the cure.,The supervisor was supplied by the liquor.,The humorist was verified by the schedule.,The teacher was bought by the laptop.,The handyman was repaired by the faucet.,The man was drunk by the soda.,The cardiologist was discredited by the quack.,The producer was cast by the actress.,The assistant principal was expelled by the sociopath.,The father was pampered by the infant.,The vagabond was revered by the priest.,The undertaker was prepared by the funeral.,The convalescent was taken by the pill.,The secretary was organized by the desk.,The father was pampered by the infant.,The fisherman was emptied by the trashcan.
4,The policewoman was handcuffed by the offender.,The winemaker was uncorked by the bottle.,The schoolgirl was borrowed by the key.,The doctor was closed by the school.,The uncle was hung by the ornament.,The accountant was made by the chart.,The doctor was closed by the school.,The scientist was discovered by the cure.,The serviceman was hoisted by the flag.,The researcher was found by the remedy.,The house sitter was watered by the plant.,The producer was cast by the actress.,The president was pardoned by the traitor.,The scientist was discovered by the cure.,The jury was acquitted by the economist.,The sightseer was misplaced by the memento.,The attendant was pressed by the button.,The zookeeper was fed by the giraffe.,The cellist was received by the prize.,The doctor was closed by the school.,The convalescent was taken by the pill.,The villager was cultivated by the crop.,The groundskeeper was changed by the light bulb.,The winemaker was uncorked by the bottle.,The schoolgirl was borrowed by the key.,The congressman was delivered by the speech.,The winemaker was uncorked by the bottle.,The couch-potato was forgotten by the umbrella.,The producer was cast by the actress.,The mentor was revised by the manuscript.,The congressman was delivered by the speech.,The author was finished by the novel.,The carnivore was eaten by the steak.,The president was pardoned by the traitor.,The handyman was repaired by the faucet.,The patient was swallowed by the medicine.,The potter was molded by the clay.,The Frenchman was sliced by the baguette.,The aviator was maneuvered by the jet.,The president was pardoned by the traitor.,The minuteman was loaded by the gun.,The shark was mauled by the snorkeler.,The researcher was found by the remedy.,The instructor was purchased by the computer.,The carnivore was eaten by the steak.,The groundskeeper was changed by the light bulb.,The policewoman was handcuffed by the offender.,The announcer was mispronounced by the word.,The robber was burgled by the industrialist.,The servant was wiped by the sink.
5,The convalescent was taken by the pill.,The couch-potato was forgotten by the umbrella.,The friend was donned by the pullover.,The nutritionist was detested by the marmalade.,The president was pardoned by the traitor.,The sightseer was misplaced by the memento.,The nutritionist was detested by the marmalade.,The winemaker was uncorked by the bottle.,The author was finished by the novel.,The fisherman was emptied by the trashcan.,The Frenchman was sliced by the baguette.,The schoolgirl was borrowed by the key.,The nutritionist was detested by the marmalade.,The author was finished by the novel.,The aviator was maneuvered by the jet.,The shark was mauled by the snorkeler.,The schoolgirl was borrowed by the key.,The sightseer was misplaced by the memento.,The woodworker was skimmed by the brochure.,The father was pampered by the infant.,The convalescent was taken by the pill.,The attendant was pressed by the button.,The marcher was sung by the anthem.,The winemaker was uncorked by the bottle.,The uncle was hung by the ornament.,The teacher was bought by the laptop.,The woodworker was skimmed by the brochure.,The jury was acquitted by the economist.,The father was pampered by the infant.,The marcher was sung by the anthem.,The zookeeper was fed by the giraffe.,The father was pampered by the infant.,The couch-potato was forgotten by the umbrella.,The instructor was purchased by the computer.,The jury was acquitted by the economist.,The chef was sauteed by the squid.,The adventurer was requested by the beverage.,The couch-potato was forgotten by the umbrella.,The uncle was hung by the ornament.,The marcher was sung by the anthem.,The adventurer was requested by the beverage.,The researcher was found by the remedy.,The winemaker was uncorked by the bottle.,The sightseer was misplaced by the memento.,The handyman was repaired by the faucet.,The boyfriend was basted by the turkey.,The cellist was received by the prize.,The couch-potato was forgotten by the umbrella.,The meat-eater was devoured by the filet.,The friend was donned by the pullover.
6,The guard was apprehended by the prisoner.,The bellboy was erased by the message.,The house sitter was watered by the plant.,The pilot was steered by the airplane.,The couch-potato was forgotten by the umbrella.,The cellist was received by the prize.,The serviceman was hoisted by the flag.,The marine was packed by the bag.,The ditch digger was bent by the wire.,The cook was grilled by the octopus.,The doctor was closed by the school.,The boyfriend was basted by the turkey.,The chef was sauteed by the squid.,The teacher was bought by the laptop.,The woodworker was skimmed by the brochure.,The guide was reached by the target.,The carnivore was eaten by the steak.,The researcher was found by the remedy.,The repairman was fixed by the tap.,The woodworker was skimmed by the brochure.,The author was finished by the novel.,The chef was sauteed by the squid.,The repairman was fixed by the tap.,The bum was stolen by the necklace.,The producer was cast by the actress.,The scientist was discovered by the cure.,The owner was evicted by the tenant.,The friend was donned by the pullover.,The president was pardoned by the traitor.,The woodworker was skimmed by the brochure.,The assistant principal was expelled by the sociopath.,The doctor was closed by the school.,The ditch digger was bent by the wire.,The father was pampered by the infant.,The chef was sauteed by the squid.,The flight-attendant was dragged by the luggage.,The potter was molded by the clay.,The voter was sealed by the envelope.,The president was pardoned by the traitor.,The fisherman was emptied by the trashcan.,The bellboy was erased by the message.,The robber was burgled by the industrialist.,The scientist was discovered by the cure.,The friend was donned by the pullover.,The uncle was hung by the ornament.,The repairman was fixed by the tap.,The headmaster was reprimanded by the kid.,The secretary was organized by the desk.,The jury was acquitted by the economist.,The teacher was bought by the laptop.
7,The crackhead was smoked by the pipe.,The scientist was discovered by the cure.,The guide was reached by the target.,The headmaster was reprimanded by the kid.,The zookeeper was fed by the giraffe.,The marine was packed by the bag.,The teacher was bought by the laptop.,The meat-eater was devoured by the filet.,The ditch digger was bent by the wire.,The uncle was hung by the ornament.,The zookeeper was fed by the giraffe.,The couch-potato was forgotten by the umbrella.,The teacher was bought by the laptop.,The woodworker was skimmed by the brochure.,The aviator was maneuvered by the jet.,The serviceman was hoisted by the flag.,The nutritionist was detested by the marmalade.,The voter was sealed by the envelope.,The producer was cast by the actress.,The traveler was lost by the souvenir.,The troublemaker was crashed by the car.,The supervisor was supplied by the liquor.,The robber was burgled by the industrialist.,The ditch digger was bent by the wire.,The producer was cast by the actress.,The mentor was revised by the manuscript.,The headmaster was reprimanded by the kid.,The cellist was received by the prize.,The fisherman was emptied by the trashcan.,The woodworker was skimmed by the brochure.,The exterminator was filed by the complaint.,The supervisor was supplied by the liquor.,The copycat was redecorated by the apartment.,The robber was burgled by the industrialist.,The woodworker was skimmed by the brochure.,The friend was donned by the pullover.,The marine was packed by the bag.,The nutritionist was detested by the marmalade.,The travel-agent was photocopied by the passport.,The father was pampered by the infant.,The doctor was closed by the school.,The couch-potato was forgotten by the umbrella.,The shark was mauled by the snorkeler.,The traveler was lost by the souvenir.,The announcer was mispronounced by the word.,The artisan was trained by the apprentice.,The producer was cast by the actress.,The president was pardoned by the traitor.,The owner was evicted by the tenant.,The robber was burgled by the industrialist.
8,The undertaker was prepared by the funeral.,The driver was transported by the ambassador.,The doctor was closed by the school.,The president was pardoned by the traitor.,The father was pampered by the infant.,The woman was prepared by the dinner.,The headmaster was reprimanded by the kid.,The mother was disciplined by the toddler.,The exterminator was filed by the complaint.,The copycat was redecorated by the apartment.,The doctor was closed by the school.,The handyman was repaired by the faucet.,The ditch digger was bent by the wire.,The crackhead was smoked by the pipe.,The archaeologist was canceled by the trip.,The repairman was fixed by the tap.,The marcher was sung by the anthem.,The copycat was redecorated by the apartment.,The boyfriend was basted by the turkey.,The mother was disciplined by the toddler.,The seamstress was ironed by the shirt.,The uncle was hung by the ornament.,The attendant was pressed by the button.,The robber was burgled by the industrialist.,The scientist was discovered by the cure.,The jury was acquitted by the economist.,The father was pampered by the infant.,The colonel was supervised by the cadet.,The owner was evicted by the tenant.,The shark was mauled by the snorkeler.,The headmaster was reprimanded by the kid.,The crackhead was smoked by the pipe.,The brunette was tipped by the busboy.,The cook was grilled by the octopus.,The tycoon was run by the company.,The schoolgirl was borrowed by the key.,The dressmaker was attired by the ballerina.,The manicurist was rescheduled by the appointment.,The instructor was purchased by the computer.,The artisan was trained by the apprentice.,The aviator was maneuvered by the jet.,The colonel was supervised by the cadet.,The president was pardoned by the traitor.,The uncle was hung by the ornament.,The mother was disciplined by the toddler.,The adventurer was requested by the beverage.,The fisherman was emptied by the trashcan.,The father was pampered by the infant.,The meat-eater was devoured by the filet.,The couch-potato was forgotten by the umbrella.
9,The driver was transported by the ambassador.,The abolitionist was hidden by the slave.,The attendant was pressed by the button.,The roommate was adopted by the newborn.,The experimenter was recruited by the subject.,The thief was robbed by the manufacturer.,The hatter was decorated by the bowler.,The victory was guaranteed by the skipper.,The traveler was lost by the souvenir.,The skipper was guaranteed by the victory.,The social worker was comforted by the abused woman.,The environmentalist was cautioned by the tobacconist.,The bum was stolen by the necklace.,The thief was robbed by the manufacturer.,The nutritionist was detested by the marmalade.,The marauder was contracted by the disease.,The bailiff was released by the ruffian.,The president was pardoned by the traitor.,The traveler was lost by the souvenir.,The owner was evicted by the tenant.,The attorney was interrogated by the bystander.,The fairy was enchanted by the troll.,The guard was apprehended by the prisoner.,The crackhead was smoked by the pipe.,The marine was packed by the bag.,The terrorist was petrified by the first lady.,The owner was evicted by the tenant.,The mother was disciplined by the toddler.,The bum was stolen by the necklace.,The traveler was lost by the souvenir.,The friend was donned by the pullover.,The fisherman was emptied by the trashcan.,The guard was apprehended by the prisoner.,The master was encouraged by the rookie.,The meat-eater was devoured by the filet.,The announcer was mispronounced by the word.,The adventurer was requested by the beverage.,The marcher was sung by the anthem.,The roommate was adopted by the newborn.,The attorney was interrogated by the bystander.,The seamstress was ironed by the shirt.,The producer was cast by the actress.,The mother was disciplined by the toddler.,The financier was sponsored by the project.,The traveler was lost by the souvenir.,The crackhead was smoked by the pipe.,The TV station head was promoted by the newsagent.,The uncle was hung by the ornament.,The traveler was lost by the souvenir.,The cashier was billed by the senior citizen.
