0,The battery recharged the diver.,The laptop bought the teacher.,The property examined the constable.,The squid sauteed the chef.,The light bulb changed the groundskeeper.,The turkey basted the boyfriend.,The passport photocopied the travel-agent.,The laptop bought the teacher.,The plant watered the house sitter.,The necklace stole the bum.,The airplane steered the pilot.,The umbrella forgot the couch-potato.,The laptop bought the teacher.,The money wasted the call girl.,The sugar sprinkled the confectioner.,The suit wrinkled the interviewee.,The octopus grilled the cook.,The game won the poker player.,The banner raised the soldier.,The necklace stole the bum.,The banner raised the soldier.,The bus exited the tourist.,The passport photocopied the travel-agent.,The speech delivered the congressman.,The property examined the constable.,The poem recited the bookworm.,The jam loathed the dietitian.,The steak ate the carnivore.,The sink wiped the servant.,The grain farmed the townsperson.,The trip canceled the archaeologist.,The poem recited the bookworm.,The graph created the bookkeeper.,The pipe smoked the crackhead.,The key borrowed the schoolgirl.,The sink wiped the servant.,The gun loaded the minuteman.,The envelope sealed the voter.,The squid sauteed the chef.,The graph created the bookkeeper.,The anthem sang the marcher.,The flag hoisted the serviceman.,The squid sauteed the chef.,The speech delivered the congressman.,The money wasted the call girl.,The medicine swallowed the patient.,The clay molded the potter.,The octopus grilled the cook.,The graph created the bookkeeper.,The plant watered the house sitter.
1,The vote prejudiced the activist.,The seamstress ironed the shirt.,The shirt ironed the seamstress.,The desk organized the secretary.,The cushion lifted the maid.,The luggage dragged the flight-attendant.,The door unlocked the deckhand.,The beverage requested the adventurer.,The plant watered the house sitter.,The bus exited the tourist.,The photograph signed the celebrity.,The estate inspected the sheriff.,The bag packed the marine.,The brochure skimmed the woodworker.,The luggage dragged the flight-attendant.,The umbrella forgot the couch-potato.,The ballot biased the campaigner.,The sink wiped the servant.,The envelope sealed the voter.,The estate inspected the sheriff.,The patient swallowed the medicine.,The sugar sprinkled the confectioner.,The medicine swallowed the patient.,The money wasted the call girl.,The passport photocopied the travel-agent.,The filet devoured the meat-eater.,The package shipped the forger.,The desk organized the secretary.,The wash basin cleaned the domestic.,The word mispronounced the announcer.,The bus exited the tourist.,The mission failed the agent.,The sink wiped the servant.,The sugar sprinkled the confectioner.,The medicine swallowed the patient.,The brochure skimmed the woodworker.,The manuscript revised the mentor.,The sugar sprinkled the confectioner.,The poem recited the bookworm.,The profit calculated the bookseller.,The computer purchased the instructor.,The painting inherited the count.,The airplane steered the pilot.,The clay molded the potter.,The shirt ironed the seamstress.,The patient swallowed the medicine.,The suit wrinkled the interviewee.,The shirt ironed the seamstress.,The medicine swallowed the patient.,The word mispronounced the announcer.
2,The book completed the writer.,The octopus grilled the cook.,The mentor revised the manuscript.,The manuscript revised the mentor.,The burial arranged the mortician.,The couch-potato forgot the umbrella.,The clay molded the potter.,The squid sauteed the chef.,The appointment rescheduled the manicurist.,The umbrella forgot the couch-potato.,The necklace stole the bum.,The pullover donned the friend.,The service rated the cheapskate.,The burial arranged the mortician.,The stash hid the hoarder.,The estate inspected the sheriff.,The mission failed the agent.,The stash hid the hoarder.,The wire bent the ditch digger.,The banner raised the soldier.,The couch-potato forgot the umbrella.,The bus exited the tourist.,The book completed the writer.,The tap fixed the repairman.,The umbrella forgot the couch-potato.,The mentor revised the manuscript.,The novel finished the author.,The pipe smoked the crackhead.,The banner raised the soldier.,The manuscript revised the mentor.,The luggage dragged the flight-attendant.,The assignment blew the operative.,The cure discovered the scientist.,The offer accepted the sociologist.,The victory guaranteed the skipper.,The complaint filed the exterminator.,The mentor revised the manuscript.,The estate inspected the sheriff.,The manuscript revised the mentor.,The victory guaranteed the skipper.,The picture autographed the star.,The wash basin cleaned the domestic.,The tap fixed the repairman.,The property examined the constable.,The fedora adorned the milliner.,The chart made the accountant.,The wire bent the ditch digger.,The offer accepted the sociologist.,The clay molded the potter.,The book completed the writer.
3,The filet devoured the meat-eater.,The company ran the tycoon.,The target reached the guide.,The novel finished the author.,The medicine swallowed the patient.,The poem recited the bookworm.,The operative blew the assignment.,The assignment blew the operative.,The pill took the convalescent.,The convalescent took the pill.,The luggage dragged the flight-attendant.,The anthem sang the marcher.,The fedora adorned the milliner.,The novel finished the author.,The envelope sealed the voter.,The fedora adorned the milliner.,The beverage requested the adventurer.,The adventurer requested the beverage.,The medicine swallowed the patient.,The bus exited the tourist.,The money wasted the call girl.,The trashcan emptied the fisherman.,The jet maneuvered the aviator.,The story abandoned the reporter.,The novel finished the author.,The money wasted the call girl.,The supper cooked the lady.,The manuscript revised the mentor.,The mentor revised the manuscript.,The profit calculated the bookseller.,The bus exited the tourist.,The steak ate the carnivore.,The picture autographed the star.,The jail feared the criminal.,The luggage dragged the flight-attendant.,The skipper guaranteed the victory.,The envelope sealed the voter.,The wire bent the ditch digger.,The ditch digger bent the wire.,The victory guaranteed the skipper.,The bus exited the tourist.,The repairman fixed the tap.,The tap fixed the repairman.,The apartment redecorated the copycat.,The fedora adorned the milliner.,The triumph promised the ship captain.,The battery recharged the diver.,The ship captain promised the triumph.,The novel finished the author.,The umbrella forgot the couch-potato.
4,The cryptographer sent the letter.,The bag packed the marine.,The operative blew the assignment.,The clay molded the potter.,The assignment blew the operative.,The dinner prepared the woman.,The jet maneuvered the aviator.,The paper edited the advisor.,The umbrella forgot the couch-potato.,The steak ate the carnivore.,The octopus grilled the cook.,The souvenir lost the traveler.,The fedora adorned the milliner.,The wire bent the ditch digger.,The ditch digger bent the wire.,The bottle uncorked the winemaker.,The medicine swallowed the patient.,The steak ate the carnivore.,The pipe smoked the crackhead.,The necklace stole the bum.,The bus exited the tourist.,The school closed the doctor.,The envelope sealed the voter.,The poem recited the bookworm.,The pipe smoked the crackhead.,The bus exited the tourist.,The flight-attendant dragged the luggage.,The luggage dragged the flight-attendant.,The company ran the tycoon.,The assignment blew the operative.,The bus exited the tourist.,The story abandoned the reporter.,The company ran the tycoon.,The ship captain promised the triumph.,The necklace stole the bum.,The schedule verified the humorist.,The apartment redecorated the copycat.,The flight-attendant dragged the luggage.,The luggage dragged the flight-attendant.,The filet devoured the meat-eater.,The speech delivered the congressman.,The comedian confirmed the itinerary.,The clay molded the potter.,The poem recited the bookworm.,The necklace stole the bum.,The ornament hung the uncle.,The pine tree felled the logger.,The victory guaranteed the skipper.,The skipper guaranteed the victory.,The ship captain promised the triumph.
5,The woman prepared the dinner.,The dinner prepared the woman.,The company ran the tycoon.,The groundskeeper changed the light bulb.,The light bulb changed the groundskeeper.,The couch-potato forgot the umbrella.,The umbrella forgot the couch-potato.,The doctor closed the school.,The wire bent the ditch digger.,The ditch digger bent the wire.,The supremacist established the fund.,The tap fixed the repairman.,The writer completed the book.,The filet devoured the meat-eater.,The book completed the writer.,The flight-attendant dragged the luggage.,The luggage dragged the flight-attendant.,The advisor edited the paper.,The paper edited the advisor.,The target reached the guide.,The bus exited the tourist.,The repairman fixed the tap.,The writer completed the book.,The tap fixed the repairman.,The book completed the writer.,The cure discovered the scientist.,The bus exited the tourist.,The poem recited the bookworm.,The liquor supplied the supervisor.,The supervisor supplied the liquor.,The supremacist established the fund.,The celebrity signed the photograph.,The campaigner biased the ballot.,The voter sealed the envelope.,The envelope sealed the voter.,The dietitian loathed the jam.,The cushion lifted the maid.,The dinner prepared the woman.,The target reached the guide.,The jam loathed the dietitian.,The banner raised the soldier.,The advisor edited the paper.,The victory guaranteed the skipper.,The paper edited the advisor.,The packrat concealed the stockpile.,The pipe smoked the crackhead.,The jam loathed the dietitian.,The voter sealed the envelope.,The envelope sealed the voter.,The octopus grilled the cook.
6,The house sitter watered the plant.,The paper edited the advisor.,The target reached the guide.,The trashcan emptied the fisherman.,The plant watered the house sitter.,The filet devoured the meat-eater.,The paper edited the advisor.,The plant watered the house sitter.,The pill took the convalescent.,The convalescent took the pill.,The vacationer left the shuttle.,The soldier raised the banner.,The light bulb changed the groundskeeper.,The banner raised the soldier.,The groundskeeper changed the light bulb.,The envelope sealed the voter.,The company ran the tycoon.,The pill took the convalescent.,The plant watered the house sitter.,The convalescent took the pill.,The door unlocked the deckhand.,The marauder contracted the disease.,The disease contracted the marauder.,The cellist received the prize.,The prize received the cellist.,The address gave the representative.,The sink wiped the servant.,The couch-potato forgot the umbrella.,The umbrella forgot the couch-potato.,The servant wiped the sink.,The cellist received the prize.,The necklace stole the bum.,The prize received the cellist.,The address gave the representative.,The bus exited the tourist.,The dinner prepared the woman.,The company ran the tycoon.,The voter sealed the envelope.,The disease contracted the marauder.,The envelope sealed the voter.,The cash squandered the prostitute.,The necklace stole the bum.,The operative blew the assignment.,The steak ate the carnivore.,The assignment blew the operative.,The comedian confirmed the itinerary.,The wire bent the ditch digger.,The octopus grilled the cook.,The ditch digger bent the wire.,The campaigner biased the ballot.
7,The cure discovered the scientist.,The question posed the caseworker.,The caseworker posed the question.,The operative blew the assignment.,The assignment blew the operative.,The liquor supplied the supervisor.,The cure discovered the scientist.,The vehicle wrecked the hooligan.,The light bulb changed the groundskeeper.,The apartment redecorated the copycat.,The townsperson farmed the grain.,The address gave the representative.,The light bulb changed the groundskeeper.,The groundskeeper changed the light bulb.,The anthem sang the marcher.,The itinerary confirmed the comedian.,The comedian confirmed the itinerary.,The jam loathed the dietitian.,The celebrity signed the photograph.,The paper edited the advisor.,The vacationer left the shuttle.,The liquor supplied the supervisor.,The estate inspected the sheriff.,The flight-attendant dragged the luggage.,The luggage dragged the flight-attendant.,The photograph signed the celebrity.,The address gave the representative.,The pill took the convalescent.,The celebrity signed the photograph.,The convalescent took the pill.,The woman prepared the dinner.,The dinner prepared the woman.,The steak ate the carnivore.,The carnivore ate the steak.,The address gave the representative.,The couch-potato forgot the umbrella.,The bus exited the tourist.,The necklace stole the bum.,The umbrella forgot the couch-potato.,The apartment redecorated the copycat.,The marauder contracted the disease.,The campaigner biased the ballot.,The disease contracted the marauder.,The groundskeeper changed the light bulb.,The light bulb changed the groundskeeper.,The cure discovered the scientist.,The confectioner sprinkled the sugar.,The writer completed the book.,The sugar sprinkled the confectioner.,The comedian confirmed the itinerary.
8,The property examined the constable.,The attendant pressed the button.,The appointment rescheduled the manicurist.,The painting inherited the count.,The banner raised the soldier.,The cushion lifted the maid.,The password memorized the hacker.,The ditch digger bent the wire.,The wire bent the ditch digger.,The necklace stole the bum.,The carnivore ate the steak.,The envelope sealed the voter.,The airplane steered the pilot.,The steak ate the carnivore.,The sugar sprinkled the confectioner.,The necklace stole the bum.,The poem recited the bookworm.,The pill took the convalescent.,The memento misplaced the sightseer.,The convalescent took the pill.,The cash squandered the prostitute.,The apartment redecorated the copycat.,The octopus grilled the cook.,The word mispronounced the announcer.,The baguette sliced the Frenchman.,The contract burned the charlatan.,The confectioner sprinkled the sugar.,The cure discovered the scientist.,The form initialed the guarantor.,The sugar sprinkled the confectioner.,The supervisor supplied the liquor.,The voter sealed the envelope.,The light bulb changed the groundskeeper.,The groundskeeper changed the light bulb.,The envelope sealed the voter.,The ship captain promised the triumph.,The filet devoured the meat-eater.,The jail feared the criminal.,The target reached the guide.,The bus exited the tourist.,The woman prepared the dinner.,The banner raised the soldier.,The dinner prepared the woman.,The liquor supplied the supervisor.,The supervisor supplied the liquor.,The vehicle wrecked the hooligan.,The address gave the representative.,The painting inherited the count.,The concert attended the groupie.,The packrat concealed the stockpile.
9,The brochure skimmed the woodworker.,The ditch digger bent the wire.,The luggage dragged the flight-attendant.,The wire bent the ditch digger.,The target reached the guide.,The comedian confirmed the itinerary.,The assignment blew the operative.,The brochure skimmed the woodworker.,The luggage dragged the flight-attendant.,The anthem sang the marcher.,The desk organized the secretary.,The bus exited the tourist.,The target reached the guide.,The painting inherited the count.,The mission failed the agent.,The secretary organized the desk.,The filet devoured the meat-eater.,The pilot steered the airplane.,The baguette sliced the Frenchman.,The airplane steered the pilot.,The pilot steered the airplane.,The airplane steered the pilot.,The steak ate the carnivore.,The sugar sprinkled the confectioner.,The poem recited the bookworm.,The ballot biased the campaigner.,The project sponsored the financier.,The company ran the tycoon.,The groundskeeper changed the light bulb.,The light bulb changed the groundskeeper.,The octopus grilled the cook.,The faucet repaired the handyman.,The door unlocked the deckhand.,The necklace stole the bum.,The jail feared the criminal.,The supervisor supplied the liquor.,The marmalade detested the nutritionist.,The confectioner sprinkled the sugar.,The faucet repaired the handyman.,The sugar sprinkled the confectioner.,The liquor supplied the supervisor.,The marauder contracted the disease.,The bag packed the marine.,The plant watered the house sitter.,The disease contracted the marauder.,The apartment redecorated the copycat.,The concert attended the groupie.,The desk organized the secretary.,The secretary organized the desk.,The baguette sliced the Frenchman.
