,Unnamed: 0,Dataset,Model,VoiceType,TrialType,Fold,Iteration,Accuracy,Plot
0,0,DTFit,bert-large-cased,normal,normal,1,1,0.925,BERT DTFit
1,1,DTFit,bert-large-cased,normal,normal,2,1,0.9375,BERT DTFit
2,2,DTFit,bert-large-cased,normal,normal,3,1,0.925,BERT DTFit
3,3,DTFit,bert-large-cased,normal,normal,4,1,0.95,BERT DTFit
4,4,DTFit,bert-large-cased,normal,normal,5,1,0.9125,BERT DTFit
5,5,DTFit,bert-large-cased,normal,normal,6,1,0.925,BERT DTFit
6,6,DTFit,bert-large-cased,normal,normal,7,1,0.95,BERT DTFit
7,7,DTFit,bert-large-cased,normal,normal,8,1,0.9743589743589745,BERT DTFit
8,8,DTFit,bert-large-cased,normal,normal,9,1,0.935897435897436,BERT DTFit
9,9,DTFit,bert-large-cased,normal,normal,10,1,0.9102564102564102,BERT DTFit
10,10,EventsAdapt,bert-large-cased,normal,normal,1,1,0.9519230769230768,BERT EventsAdapt
11,11,EventsAdapt,bert-large-cased,normal,normal,2,1,0.8846153846153846,BERT EventsAdapt
12,12,EventsAdapt,bert-large-cased,normal,normal,3,1,0.8846153846153846,BERT EventsAdapt
13,13,EventsAdapt,bert-large-cased,normal,normal,4,1,0.9230769230769232,BERT EventsAdapt
14,14,EventsAdapt,bert-large-cased,normal,normal,5,1,0.8846153846153846,BERT EventsAdapt
15,15,EventsAdapt,bert-large-cased,normal,normal,6,1,0.9326923076923076,BERT EventsAdapt
16,16,EventsAdapt,bert-large-cased,normal,normal,7,1,0.8653846153846154,BERT EventsAdapt
17,17,EventsAdapt,bert-large-cased,normal,normal,8,1,0.9423076923076924,BERT EventsAdapt
18,18,EventsAdapt,bert-large-cased,normal,normal,9,1,0.9423076923076924,BERT EventsAdapt
19,19,EventsAdapt,bert-large-cased,normal,normal,10,1,0.94,BERT EventsAdapt
20,20,EventsAdapt,bert-large-cased,active-active,normal,1,1,0.9615384615384616,BERT EventsAdapt a-a
21,21,EventsAdapt,bert-large-cased,active-active,normal,2,1,0.8653846153846154,BERT EventsAdapt a-a
22,22,EventsAdapt,bert-large-cased,active-active,normal,3,1,0.903846153846154,BERT EventsAdapt a-a
23,23,EventsAdapt,bert-large-cased,active-active,normal,4,1,0.9423076923076924,BERT EventsAdapt a-a
24,24,EventsAdapt,bert-large-cased,active-active,normal,5,1,0.8846153846153846,BERT EventsAdapt a-a
25,25,EventsAdapt,bert-large-cased,active-active,normal,6,1,0.9423076923076924,BERT EventsAdapt a-a
26,26,EventsAdapt,bert-large-cased,active-active,normal,7,1,0.8653846153846154,BERT EventsAdapt a-a
27,27,EventsAdapt,bert-large-cased,active-active,normal,8,1,0.9423076923076924,BERT EventsAdapt a-a
28,28,EventsAdapt,bert-large-cased,active-active,normal,9,1,0.9423076923076924,BERT EventsAdapt a-a
29,29,EventsAdapt,bert-large-cased,active-active,normal,10,1,0.94,BERT EventsAdapt a-a
30,30,EventsAdapt,bert-large-cased,passive-passive,normal,1,1,0.9423076923076924,BERT EventsAdapt p-p
31,31,EventsAdapt,bert-large-cased,passive-passive,normal,2,1,0.8846153846153846,BERT EventsAdapt p-p
32,32,EventsAdapt,bert-large-cased,passive-passive,normal,3,1,0.8653846153846154,BERT EventsAdapt p-p
33,33,EventsAdapt,bert-large-cased,passive-passive,normal,4,1,0.903846153846154,BERT EventsAdapt p-p
34,34,EventsAdapt,bert-large-cased,passive-passive,normal,5,1,0.8461538461538461,BERT EventsAdapt p-p
35,35,EventsAdapt,bert-large-cased,passive-passive,normal,6,1,0.9230769230769232,BERT EventsAdapt p-p
36,36,EventsAdapt,bert-large-cased,passive-passive,normal,7,1,0.8461538461538461,BERT EventsAdapt p-p
37,37,EventsAdapt,bert-large-cased,passive-passive,normal,8,1,0.9615384615384616,BERT EventsAdapt p-p
38,38,EventsAdapt,bert-large-cased,passive-passive,normal,9,1,0.9230769230769232,BERT EventsAdapt p-p
39,39,EventsAdapt,bert-large-cased,passive-passive,normal,10,1,0.94,BERT EventsAdapt p-p
40,40,EventsAdapt,bert-large-cased,active-passive,normal,1,1,0.9423076923076924,BERT EventsAdapt a-p
41,41,EventsAdapt,bert-large-cased,active-passive,normal,2,1,0.8846153846153846,BERT EventsAdapt a-p
42,42,EventsAdapt,bert-large-cased,active-passive,normal,3,1,0.8653846153846154,BERT EventsAdapt a-p
43,43,EventsAdapt,bert-large-cased,active-passive,normal,4,1,0.903846153846154,BERT EventsAdapt a-p
44,44,EventsAdapt,bert-large-cased,active-passive,normal,5,1,0.8653846153846154,BERT EventsAdapt a-p
45,45,EventsAdapt,bert-large-cased,active-passive,normal,6,1,0.9230769230769232,BERT EventsAdapt a-p
46,46,EventsAdapt,bert-large-cased,active-passive,normal,7,1,0.8461538461538461,BERT EventsAdapt a-p
47,47,EventsAdapt,bert-large-cased,active-passive,normal,8,1,0.9615384615384616,BERT EventsAdapt a-p
48,48,EventsAdapt,bert-large-cased,active-passive,normal,9,1,0.9230769230769232,BERT EventsAdapt a-p
49,49,EventsAdapt,bert-large-cased,active-passive,normal,10,1,0.94,BERT EventsAdapt a-p
50,50,EventsAdapt,bert-large-cased,passive-active,normal,1,1,0.9615384615384616,BERT EventsAdapt p-a
51,51,EventsAdapt,bert-large-cased,passive-active,normal,2,1,0.8653846153846154,BERT EventsAdapt p-a
52,52,EventsAdapt,bert-large-cased,passive-active,normal,3,1,0.903846153846154,BERT EventsAdapt p-a
53,53,EventsAdapt,bert-large-cased,passive-active,normal,4,1,0.9423076923076924,BERT EventsAdapt p-a
54,54,EventsAdapt,bert-large-cased,passive-active,normal,5,1,0.8846153846153846,BERT EventsAdapt p-a
